"age_group";"covid_date";"n";"n_total";"cum_sum"
"18-49";2020-12-27;6;19154;0.000313250495979952
"18-49";2020-12-28;21;19154;0.00140962723190978
"18-49";2020-12-29;13;19154;0.00208833663986635
"18-49";2020-12-30;32;19154;0.00375900595175942
"18-49";2020-12-31;17;19154;0.00464654902370262
"18-49";2021-01-01;7;19154;0.00501200793567923
"18-49";2021-01-02;11;19154;0.00558630051164248
"18-49";2021-01-03;7;19154;0.00595175942361909
"18-49";2021-01-04;22;19154;0.00710034457554558
"18-49";2021-01-05;28;19154;0.00856218022345202
"18-49";2021-01-06;3;19154;0.008718805471442
"18-49";2021-01-07;19;19154;0.00971076537537851
"18-49";2021-01-08;32;19154;0.0113814346872716
"18-49";2021-01-09;2;19154;0.0114858515192649
"18-49";2021-01-10;10;19154;0.0120079356792315
"18-49";2021-01-11;34;19154;0.0137830218231179
"18-49";2021-01-12;34;19154;0.0155581079670043
"18-49";2021-01-13;30;19154;0.017124360446904
"18-49";2021-01-14;30;19154;0.0186906129268038
"18-49";2021-01-15;32;19154;0.0203612822386969
"18-49";2021-01-16;7;19154;0.0207267411506735
"18-49";2021-01-17;7;19154;0.0210922000626501
"18-49";2021-01-18;31;19154;0.0227106609585465
"18-49";2021-01-19;23;19154;0.0239114545264697
"18-49";2021-01-20;24;19154;0.0251644565103895
"18-49";2021-01-21;28;19154;0.0266262921582959
"18-49";2021-01-22;16;19154;0.0274616268142425
"18-49";2021-01-23;2;19154;0.0275660436462358
"18-49";2021-01-24;9;19154;0.0280359193902057
"18-49";2021-01-25;15;19154;0.0288190456301556
"18-49";2021-01-26;15;19154;0.0296021718701055
"18-49";2021-01-27;20;19154;0.0306463401900386
"18-49";2021-01-28;18;19154;0.0315860916779785
"18-49";2021-01-29;16;19154;0.032421426333925
"18-49";2021-01-30;9;19154;0.032891302077895
"18-49";2021-01-31;8;19154;0.0333089694058682
"18-49";2021-02-01;19;19154;0.0343009293098047
"18-49";2021-02-02;14;19154;0.035031847133758
"18-49";2021-02-03;12;19154;0.0356583481257179
"18-49";2021-02-04;11;19154;0.0362326407016811
"18-49";2021-02-05;7;19154;0.0365980996136577
"18-49";2021-02-06;4;19154;0.0368069332776444
"18-49";2021-02-07;1;19154;0.036859141693641
"18-49";2021-02-08;12;19154;0.0374856426856009
"18-49";2021-02-09;8;19154;0.0379033100135742
"18-49";2021-02-10;6;19154;0.0382165605095541
"18-49";2021-02-11;13;19154;0.0388952699175107
"18-49";2021-02-12;10;19154;0.0394173540774773
"18-49";2021-02-13;2;19154;0.0395217709094706
"18-49";2021-02-14;4;19154;0.0397306045734572
"18-49";2021-02-15;11;19154;0.0403048971494205
"18-49";2021-02-16;9;19154;0.0407747728933904
"18-49";2021-02-17;6;19154;0.0410880233893704
"18-49";2021-02-18;12;19154;0.0417145243813303
"18-49";2021-02-19;7;19154;0.0420799832933069
"18-49";2021-02-20;2;19154;0.0421844001253002
"18-49";2021-02-21;1;19154;0.0422366085412969
"18-49";2021-02-22;9;19154;0.0427064842852668
"18-49";2021-02-23;8;19154;0.0431241516132401
"18-49";2021-02-24;2;19154;0.0432285684452334
"18-49";2021-02-25;5;19154;0.0434896105252167
"18-49";2021-02-26;2;19154;0.04359402735721
"18-49";2021-02-27;1;19154;0.0436462357732066
"18-49";2021-02-28;1;19154;0.0436984441892033
"18-49";2021-03-01;10;19154;0.0442205283491699
"18-49";2021-03-02;7;19154;0.0445859872611465
"18-49";2021-03-03;5;19154;0.0448470293411298
"18-49";2021-03-04;6;19154;0.0451602798371097
"18-49";2021-03-05;6;19154;0.0454735303330897
"18-49";2021-03-06;1;19154;0.0455257387490864
"18-49";2021-03-07;3;19154;0.0456823639970763
"18-49";2021-03-08;10;19154;0.0462044481570429
"18-49";2021-03-09;8;19154;0.0466221154850162
"18-49";2021-03-10;1;19154;0.0466743239010128
"18-49";2021-03-11;8;19154;0.0470919912289861
"18-49";2021-03-12;6;19154;0.0474052417249661
"18-49";2021-03-13;1;19154;0.0474574501409627
"18-49";2021-03-14;4;19154;0.0476662838049494
"18-49";2021-03-15;5;19154;0.0479273258849326
"18-49";2021-03-16;4;19154;0.0481361595489193
"18-49";2021-03-17;4;19154;0.0483449932129059
"18-49";2021-03-18;2;19154;0.0484494100448992
"18-49";2021-03-19;7;19154;0.0488148689568758
"18-49";2021-03-20;1;19154;0.0488670773728725
"18-49";2021-03-21;5;19154;0.0491281194528558
"18-49";2021-03-22;12;19154;0.0497546204448157
"18-49";2021-03-23;6;19154;0.0500678709407957
"18-49";2021-03-24;7;19154;0.0504333298527723
"18-49";2021-03-25;5;19154;0.0506943719327556
"18-49";2021-03-26;9;19154;0.0511642476767255
"18-49";2021-03-27;3;19154;0.0513208729247155
"18-49";2021-03-28;2;19154;0.0514252897567088
"18-49";2021-03-29;8;19154;0.051842957084682
"18-49";2021-03-30;4;19154;0.0520517907486687
"18-49";2021-03-31;3;19154;0.0522084159966587
"18-49";2021-04-01;10;19154;0.0527305001566252
"18-49";2021-04-02;4;19154;0.0529393338206119
"18-49";2021-04-03;5;19154;0.0532003759005952
"18-49";2021-04-04;7;19154;0.0535658348125718
"18-49";2021-04-05;3;19154;0.0537224600605618
"18-49";2021-04-06;11;19154;0.054296752636525
"18-49";2021-04-07;10;19154;0.0548188367964916
"18-49";2021-04-08;14;19154;0.0555497546204448
"18-49";2021-04-09;9;19154;0.0560196303644147
"18-49";2021-04-10;4;19154;0.0562284640284014
"18-49";2021-04-11;2;19154;0.0563328808603947
"18-49";2021-04-12;19;19154;0.0573248407643312
"18-49";2021-04-13;8;19154;0.0577425080923045
"18-49";2021-04-14;11;19154;0.0583168006682677
"18-49";2021-04-15;7;19154;0.0586822595802443
"18-49";2021-04-16;4;19154;0.058891093244231
"18-49";2021-04-17;3;19154;0.0590477184922209
"18-49";2021-04-18;1;19154;0.0590999269082176
"18-49";2021-04-19;8;19154;0.0595175942361909
"18-49";2021-04-20;6;19154;0.0598308447321708
"18-49";2021-04-21;5;19154;0.0600918868121541
"18-49";2021-04-22;8;19154;0.0605095541401274
"18-49";2021-04-23;7;19154;0.060875013052104
"18-49";2021-04-24;3;19154;0.061031638300094
"18-49";2021-04-25;4;19154;0.0612404719640806
"18-49";2021-04-26;7;19154;0.0616059308760572
"18-49";2021-04-27;10;19154;0.0621280150360238
"18-49";2021-04-28;12;19154;0.0627545160279837
"18-49";2021-04-29;13;19154;0.0634332254359403
"18-49";2021-04-30;1;19154;0.0634854338519369
"18-49";2021-05-01;3;19154;0.0636420590999269
"18-49";2021-05-02;5;19154;0.0639031011799102
"18-49";2021-05-03;5;19154;0.0641641432598935
"18-49";2021-05-04;7;19154;0.0645296021718701
"18-49";2021-05-05;4;19154;0.0647384358358567
"18-49";2021-05-06;6;19154;0.0650516863318367
"18-49";2021-05-07;6;19154;0.0653649368278166
"18-49";2021-05-08;2;19154;0.06546935365981
"18-49";2021-05-09;3;19154;0.0656259789077999
"18-49";2021-05-10;5;19154;0.0658870209877832
"18-49";2021-05-11;4;19154;0.0660958546517699
"18-49";2021-05-12;4;19154;0.0663046883157565
"18-49";2021-05-13;5;19154;0.0665657303957398
"18-49";2021-05-14;3;19154;0.0667223556437298
"18-49";2021-05-15;1;19154;0.0667745640597264
"18-49";2021-05-16;1;19154;0.0668267724757231
"18-49";2021-05-17;7;19154;0.0671922313876997
"18-49";2021-05-18;12;19154;0.0678187323796596
"18-49";2021-05-19;1;19154;0.0678709407956563
"18-49";2021-05-20;5;19154;0.0681319828756396
"18-49";2021-05-21;2;19154;0.0682363997076329
"18-49";2021-05-22;1;19154;0.0682886081236295
"18-49";2021-05-23;1;19154;0.0683408165396262
"18-49";2021-05-24;1;19154;0.0683930249556228
"18-49";2021-05-25;4;19154;0.0686018586196095
"18-49";2021-05-26;4;19154;0.0688106922835961
"18-49";2021-05-27;2;19154;0.0689151091155894
"18-49";2021-05-28;1;19154;0.0689673175315861
"18-49";2021-05-29;1;19154;0.0690195259475827
"18-49";2021-05-31;2;19154;0.0691239427795761
"18-49";2021-06-01;14;19154;0.0698548606035293
"18-49";2021-06-02;9;19154;0.0703247363474992
"18-49";2021-06-03;5;19154;0.0705857784274825
"18-49";2021-06-04;6;19154;0.0708990289234625
"18-49";2021-06-05;2;19154;0.0710034457554558
"18-49";2021-06-06;1;19154;0.0710556541714524
"18-49";2021-06-07;9;19154;0.0715255299154224
"18-49";2021-06-08;3;19154;0.0716821551634123
"18-49";2021-06-09;7;19154;0.072047614075389
"18-49";2021-06-10;8;19154;0.0724652814033622
"18-49";2021-06-11;4;19154;0.0726741150673489
"18-49";2021-06-13;1;19154;0.0727263234833455
"18-49";2021-06-14;5;19154;0.0729873655633288
"18-49";2021-06-15;2;19154;0.0730917823953221
"18-49";2021-06-16;6;19154;0.0734050328913021
"18-49";2021-06-17;2;19154;0.0735094497232954
"18-49";2021-06-18;7;19154;0.073874908635272
"18-49";2021-06-20;1;19154;0.0739271170512687
"18-49";2021-06-21;7;19154;0.0742925759632453
"18-49";2021-06-22;6;19154;0.0746058264592252
"18-49";2021-06-23;10;19154;0.0751279106191918
"18-49";2021-06-25;3;19154;0.0752845358671818
"18-49";2021-06-26;2;19154;0.0753889526991751
"18-49";2021-06-27;5;19154;0.0756499947791584
"18-49";2021-06-28;13;19154;0.076328704187115
"18-49";2021-06-29;18;19154;0.0772684556750548
"18-49";2021-06-30;25;19154;0.0785736660749713
"18-49";2021-07-01;26;19154;0.0799310848908844
"18-49";2021-07-02;21;19154;0.0810274616268142
"18-49";2021-07-03;8;19154;0.0814451289547875
"18-49";2021-07-04;8;19154;0.0818627962827608
"18-49";2021-07-05;36;19154;0.0837422992586405
"18-49";2021-07-06;34;19154;0.0855173854025269
