"cancer_diagnosis_time";"covid_date";"n";"n_total"
"0";2020-12-27;10;25795
"0";2020-12-28;25;25795
"0";2020-12-29;23;25795
"0";2020-12-30;38;25795
"0";2020-12-31;25;25795
"0";2021-01-01;7;25795
"0";2021-01-02;16;25795
"0";2021-01-03;7;25795
"0";2021-01-04;28;25795
"0";2021-01-05;30;25795
"0";2021-01-06;11;25795
"0";2021-01-07;30;25795
"0";2021-01-08;30;25795
"0";2021-01-09;4;25795
"0";2021-01-10;10;25795
"0";2021-01-11;44;25795
"0";2021-01-12;39;25795
"0";2021-01-13;33;25795
"0";2021-01-14;47;25795
"0";2021-01-15;24;25795
"0";2021-01-16;9;25795
"0";2021-01-17;6;25795
"0";2021-01-18;31;25795
"0";2021-01-19;35;25795
"0";2021-01-20;23;25795
"0";2021-01-21;30;25795
"0";2021-01-22;22;25795
"0";2021-01-23;5;25795
"0";2021-01-24;9;25795
"0";2021-01-25;27;25795
"0";2021-01-26;21;25795
"0";2021-01-27;29;25795
"0";2021-01-28;15;25795
"0";2021-01-29;23;25795
"0";2021-01-30;14;25795
"0";2021-01-31;5;25795
"0";2021-02-01;15;25795
"0";2021-02-02;21;25795
"0";2021-02-03;20;25795
"0";2021-02-04;18;25795
"0";2021-02-05;11;25795
"0";2021-02-06;4;25795
"0";2021-02-07;6;25795
"0";2021-02-08;19;25795
"0";2021-02-09;12;25795
"0";2021-02-10;8;25795
"0";2021-02-11;15;25795
"0";2021-02-12;5;25795
"0";2021-02-13;2;25795
"0";2021-02-14;2;25795
"0";2021-02-15;12;25795
"0";2021-02-16;15;25795
"0";2021-02-17;13;25795
"0";2021-02-18;13;25795
"0";2021-02-19;4;25795
"0";2021-02-20;4;25795
"0";2021-02-21;2;25795
"0";2021-02-22;6;25795
"0";2021-02-23;9;25795
"0";2021-02-24;7;25795
"0";2021-02-25;4;25795
"0";2021-02-26;3;25795
"0";2021-02-27;3;25795
"0";2021-02-28;1;25795
"0";2021-03-01;6;25795
"0";2021-03-02;6;25795
"0";2021-03-03;5;25795
"0";2021-03-04;7;25795
"0";2021-03-05;9;25795
"0";2021-03-06;4;25795
"0";2021-03-07;2;25795
"0";2021-03-08;8;25795
"0";2021-03-09;2;25795
"0";2021-03-10;8;25795
"0";2021-03-11;7;25795
"0";2021-03-12;6;25795
"0";2021-03-13;1;25795
"0";2021-03-14;1;25795
"0";2021-03-15;5;25795
"0";2021-03-16;5;25795
"0";2021-03-17;4;25795
"0";2021-03-18;5;25795
"0";2021-03-19;5;25795
"0";2021-03-20;1;25795
"0";2021-03-21;1;25795
"0";2021-03-22;12;25795
"0";2021-03-23;9;25795
"0";2021-03-24;9;25795
"0";2021-03-25;10;25795
"0";2021-03-26;10;25795
"0";2021-03-27;1;25795
"0";2021-03-28;4;25795
"0";2021-03-29;14;25795
"0";2021-03-30;5;25795
"0";2021-03-31;6;25795
"0";2021-04-01;12;25795
"0";2021-04-02;4;25795
"0";2021-04-03;3;25795
"0";2021-04-04;11;25795
"0";2021-04-05;3;25795
"0";2021-04-06;16;25795
"0";2021-04-07;14;25795
"0";2021-04-08;12;25795
"0";2021-04-09;1;25795
"0";2021-04-10;3;25795
"0";2021-04-11;2;25795
"0";2021-04-12;12;25795
"0";2021-04-13;9;25795
"0";2021-04-14;9;25795
"0";2021-04-15;16;25795
"0";2021-04-16;1;25795
"0";2021-04-17;2;25795
"0";2021-04-18;2;25795
"0";2021-04-19;8;25795
"0";2021-04-20;9;25795
"0";2021-04-21;5;25795
"0";2021-04-22;10;25795
"0";2021-04-23;12;25795
"0";2021-04-24;3;25795
"0";2021-04-25;2;25795
"0";2021-04-26;8;25795
"0";2021-04-27;7;25795
"0";2021-04-28;7;25795
"0";2021-04-29;5;25795
"0";2021-04-30;5;25795
"0";2021-05-01;3;25795
"0";2021-05-02;3;25795
"0";2021-05-03;12;25795
"0";2021-05-04;8;25795
"0";2021-05-05;6;25795
"0";2021-05-06;4;25795
"0";2021-05-07;12;25795
"0";2021-05-08;3;25795
"0";2021-05-09;2;25795
"0";2021-05-10;5;25795
"0";2021-05-11;4;25795
"0";2021-05-12;4;25795
"0";2021-05-13;4;25795
"0";2021-05-14;4;25795
"0";2021-05-15;1;25795
"0";2021-05-17;6;25795
"0";2021-05-18;9;25795
"0";2021-05-19;5;25795
"0";2021-05-20;3;25795
"0";2021-05-21;9;25795
"0";2021-05-22;1;25795
"0";2021-05-23;1;25795
"0";2021-05-24;3;25795
"0";2021-05-25;8;25795
"0";2021-05-26;6;25795
"0";2021-05-27;4;25795
"0";2021-05-28;3;25795
"0";2021-05-30;1;25795
"0";2021-05-31;4;25795
"0";2021-06-01;11;25795
"0";2021-06-02;9;25795
"0";2021-06-03;9;25795
"0";2021-06-04;3;25795
"0";2021-06-07;11;25795
"0";2021-06-08;2;25795
"0";2021-06-09;16;25795
"0";2021-06-10;7;25795
"0";2021-06-11;5;25795
"0";2021-06-13;2;25795
"0";2021-06-14;10;25795
"0";2021-06-15;6;25795
"0";2021-06-16;9;25795
"0";2021-06-17;4;25795
"0";2021-06-18;4;25795
"0";2021-06-19;1;25795
"0";2021-06-20;2;25795
"0";2021-06-21;6;25795
"0";2021-06-22;2;25795
"0";2021-06-23;7;25795
"0";2021-06-25;5;25795
"0";2021-06-26;2;25795
"0";2021-06-27;3;25795
"0";2021-06-28;11;25795
"0";2021-06-29;9;25795
"0";2021-06-30;15;25795
"0";2021-07-01;21;25795
"0";2021-07-02;11;25795
"0";2021-07-03;10;25795
"0";2021-07-04;1;25795
"0";2021-07-05;27;25795
"0";2021-07-06;24;25795
"0";2021-07-07;30;25795
"0";2021-07-08;29;25795
"0";2021-07-09;28;25795
"0";2021-07-10;14;25795
"0";2021-07-11;9;25795
"0";2021-07-12;26;25795
"0";2021-07-13;22;25795
"0";2021-07-14;34;25795
"0";2021-07-15;29;25795
"0";2021-07-16;28;25795
"0";2021-07-17;10;25795
"0";2021-07-18;5;25795
"0";2021-07-19;34;25795
"0";2021-07-20;33;25795
"0";2021-07-21;31;25795
"0";2021-07-22;25;25795
"0";2021-07-23;25;25795
"0";2021-07-24;17;25795
"0";2021-07-25;11;25795
"0";2021-07-26;27;25795
"0";2021-07-27;19;25795
"0";2021-07-28;12;25795
"0";2021-07-29;11;25795
"0";2021-07-30;18;25795
"0";2021-07-31;8;25795
