"covid_date";"n"
2020-12-27;33
2020-12-28;94
2020-12-29;82
2020-12-30;102
2020-12-31;89
2021-01-01;26
2021-01-02;31
2021-01-03;30
2021-01-04;95
2021-01-05;117
2021-01-06;29
2021-01-07;102
2021-01-08;114
2021-01-09;18
2021-01-10;39
2021-01-11;149
2021-01-12;124
2021-01-13;110
2021-01-14;123
2021-01-15;110
2021-01-16;40
2021-01-17;33
2021-01-18;115
2021-01-19;116
2021-01-20;95
2021-01-21;110
2021-01-22;77
2021-01-23;22
2021-01-24;31
2021-01-25;108
2021-01-26;84
2021-01-27;91
2021-01-28;75
2021-01-29;60
2021-01-30;38
2021-01-31;25
2021-02-01;65
2021-02-02;69
2021-02-03;66
2021-02-04;60
2021-02-05;52
2021-02-06;20
2021-02-07;25
2021-02-08;60
2021-02-09;40
2021-02-10;36
2021-02-11;49
2021-02-12;33
2021-02-13;9
2021-02-14;13
2021-02-15;54
2021-02-16;44
2021-02-17;41
2021-02-18;45
2021-02-19;25
2021-02-20;16
2021-02-21;9
2021-02-22;35
2021-02-23;33
2021-02-24;21
2021-02-25;23
2021-02-26;21
2021-02-27;7
2021-02-28;5
2021-03-01;37
2021-03-02;26
2021-03-03;24
2021-03-04;28
2021-03-05;25
2021-03-06;5
2021-03-07;11
2021-03-08;30
2021-03-09;15
2021-03-10;22
2021-03-11;24
2021-03-12;26
2021-03-13;3
2021-03-14;7
2021-03-15;30
2021-03-16;25
2021-03-17;22
2021-03-18;25
2021-03-19;30
2021-03-20;11
2021-03-21;13
2021-03-22;39
2021-03-23;37
2021-03-24;30
2021-03-25;36
2021-03-26;49
2021-03-27;13
2021-03-28;13
2021-03-29;43
2021-03-30;37
2021-03-31;27
2021-04-01;47
2021-04-02;19
2021-04-03;17
2021-04-04;21
2021-04-05;18
2021-04-06;50
2021-04-07;41
2021-04-08;53
2021-04-09;38
2021-04-10;15
2021-04-11;19
2021-04-12;49
2021-04-13;36
2021-04-14;48
2021-04-15;55
2021-04-16;28
2021-04-17;18
2021-04-18;6
2021-04-19;40
2021-04-20;32
2021-04-21;31
2021-04-22;42
2021-04-23;31
2021-04-24;16
2021-04-25;7
2021-04-26;42
2021-04-27;49
2021-04-28;34
2021-04-29;31
2021-04-30;24
2021-05-01;11
2021-05-02;14
2021-05-03;37
2021-05-04;32
2021-05-05;31
2021-05-06;22
2021-05-07;40
2021-05-08;9
2021-05-09;14
2021-05-10;34
2021-05-11;23
2021-05-12;34
2021-05-13;24
2021-05-14;25
2021-05-15;2
2021-05-16;3
2021-05-17;24
2021-05-18;33
2021-05-19;14
2021-05-20;20
2021-05-21;23
2021-05-22;2
2021-05-23;5
2021-05-24;9
2021-05-25;21
2021-05-26;19
2021-05-27;15
2021-05-28;11
2021-05-29;4
2021-05-30;2
2021-05-31;12
2021-06-01;44
2021-06-02;37
2021-06-03;34
2021-06-04;32
2021-06-05;5
2021-06-06;2
2021-06-07;46
2021-06-08;25
2021-06-09;37
2021-06-10;32
2021-06-11;20
2021-06-12;3
2021-06-13;3
2021-06-14;22
2021-06-15;18
2021-06-16;24
2021-06-17;13
2021-06-18;17
2021-06-19;1
2021-06-20;4
2021-06-21;17
2021-06-22;22
2021-06-23;29
2021-06-24;2
2021-06-25;22
2021-06-26;6
2021-06-27;8
2021-06-28;30
2021-06-29;43
2021-06-30;46
2021-07-01;83
2021-07-02;61
2021-07-03;32
2021-07-04;17
2021-07-05;103
2021-07-06;105
2021-07-07;92
2021-07-08;102
2021-07-09;93
2021-07-10;50
2021-07-11;48
2021-07-12;118
2021-07-13;105
2021-07-14;115
2021-07-15;96
2021-07-16;93
2021-07-17;59
2021-07-18;28
2021-07-19;124
2021-07-20;122
2021-07-21;104
2021-07-22;94
2021-07-23;101
2021-07-24;44
2021-07-25;37
2021-07-26;101
