"level";"Overall"
"";"111576"
"";" 65.03 (15.58)"
"18-49";" 19154 ( 17.2) "
"50-59";" 18844 ( 16.9) "
"60-69";" 26953 ( 24.2) "
"70-79";" 27628 ( 24.8) "
"80-115";" 18997 ( 17.0) "
"M";" 54875 ( 49.2) "
"F";" 56701 ( 50.8) "
"0N";" 14465 ( 13.0) "
"R";" 17077 ( 15.3) "
"U1";" 17552 ( 15.7) "
"U2";" 16661 ( 14.9) "
"U3";" 16156 ( 14.5) "
"U4";" 15799 ( 14.2) "
"U5";" 13866 ( 12.4) "
"Alt Camp i Conca de Barberà";"  1036 (  0.9) "
"Alt Empordà";"  1980 (  1.8) "
"Alt Maresme";"  1544 (  1.4) "
"Alt Penedès";"  1685 (  1.5) "
"Alt Urgell";"   403 (  0.4) "
"Alta Ribagorça";"    90 (  0.1) "
"Altebrat";"   735 (  0.7) "
"Anoia";"  1744 (  1.6) "
"Bages i Solsonès";"  3243 (  2.9) "
"Baix Camp i Priorat";"  2142 (  1.9) "
"Baix Ebre";"  1612 (  1.4) "
"Baix Empordà";"   665 (  0.6) "
"Baix Llobregat Centre i Fontsanta -L'H N";"  7050 (  6.3) "
"Baix Llobregat Litoral i Sant Boi";"  2315 (  2.1) "
"Baix Llobregat Litoral i Viladecans";"  3065 (  2.7) "
"Baix Llobregat Nord";"  2316 (  2.1) "
"Baix Montseny";"  1055 (  0.9) "
"Baix Penedès";"    35 (  0.0) "
"Baix Vallès";"  3169 (  2.8) "
"Barcelona Dreta";"  5444 (  4.9) "
"Barcelona Esquerra";"  7857 (  7.0) "
"Barcelona Litoral Mar";"  4890 (  4.4) "
"Barcelona Nord";"  7940 (  7.1) "
"Barcelonès Nord i Baix Maresme";"  6203 (  5.6) "
"Berguedà";"   845 (  0.8) "
"Cerdanya";"     3 (  0.0) "
"Garraf";"  2715 (  2.4) "
"Garrotxa";"   787 (  0.7) "
"Gironès Nord i Pla de l'Estany";"  2715 (  2.4) "
"Gironès Sud i Selva Interior";"  1563 (  1.4) "
"L'Hospitalet Sud i el Prat de Llobregat";"  4227 (  3.8) "
"Lleida";"  6343 (  5.7) "
"Maresme Central";"  4003 (  3.6) "
"Montsià";"  1289 (  1.2) "
"Osona";"  2107 (  1.9) "
"Pallars";"   427 (  0.4) "
"Ripollès";"   403 (  0.4) "
"Selva Marítima";"   788 (  0.7) "
"Tarragonès";"  3086 (  2.8) "
"Vallès Occidental Est";"  7304 (  6.5) "
"Vallès Occidental Oest";"   593 (  0.5) "
"Vallès Oriental Central";"  4050 (  3.6) "
NA;"   110 (  0.1) "
"Pfizer-mRNA-BNT162b";" 58700 ( 52.6) "
"Moderna-mRNA-1273";" 17570 ( 15.7) "
"AZ-ChAdOx1";" 17423 ( 15.6) "
"Jansen-Ad26";"  3601 (  3.2) "
NA;" 14282 ( 12.8) "
"Pfizer-mRNA-BNT162b";" 58102 ( 52.1) "
"Moderna-mRNA-1273";" 19695 ( 17.7) "
"AZ-ChAdOx1";" 16910 ( 15.2) "
NA;" 16869 ( 15.1) "
"Pfizer-mRNA-BNT162b";" 18033 ( 16.2) "
"Moderna-mRNA-1273";" 58056 ( 52.0) "
"AZ-ChAdOx1";"     9 (  0.0) "
NA;" 35478 ( 31.8) "
"Pfizer-mRNA-BNT162b";"     2 (  0.0) "
"Moderna-mRNA-1273";"     4 (  0.0) "
"AZ-ChAdOx1";"     1 (  0.0) "
NA;"111569 (100.0) "
