"level";"0";"1";"p";"test"
"";"14282";"97294";"";""
"";"63.93 (17.39)";"65.19 (15.29)";"<0.001";""
"18-49";" 3025 ( 21.2) ";"16129 ( 16.6) ";"<0.001";""
"50-59";" 2430 ( 17.0) ";"16414 ( 16.9) ";"";""
"60-69";" 3176 ( 22.2) ";"23777 ( 24.4) ";"";""
"70-79";" 2819 ( 19.7) ";"24809 ( 25.5) ";"";""
"80-115";" 2832 ( 19.8) ";"16165 ( 16.6) ";"";""
"M";" 6988 ( 48.9) ";"47887 ( 49.2) ";" 0.523";""
"F";" 7294 ( 51.1) ";"49407 ( 50.8) ";"";""
"0N";" 3424 ( 24.0) ";"11041 ( 11.3) ";"<0.001";""
"R";" 1942 ( 13.6) ";"15135 ( 15.6) ";"";""
"U1";" 1850 ( 13.0) ";"15702 ( 16.1) ";"";""
"U2";" 1757 ( 12.3) ";"14904 ( 15.3) ";"";""
"U3";" 1842 ( 12.9) ";"14314 ( 14.7) ";"";""
"U4";" 1725 ( 12.1) ";"14074 ( 14.5) ";"";""
"U5";" 1742 ( 12.2) ";"12124 ( 12.5) ";"";""
"Alt Camp i Conca de Barberà";"  120 (  0.8) ";"  916 (  0.9) ";"<0.001";""
"Alt Empordà";"  265 (  1.9) ";" 1715 (  1.8) ";"";""
"Alt Maresme";"  211 (  1.5) ";" 1333 (  1.4) ";"";""
"Alt Penedès";"  236 (  1.7) ";" 1449 (  1.5) ";"";""
"Alt Urgell";"   72 (  0.5) ";"  331 (  0.3) ";"";""
"Alta Ribagorça";"   10 (  0.1) ";"   80 (  0.1) ";"";""
"Altebrat";"   78 (  0.5) ";"  657 (  0.7) ";"";""
"Anoia";"  204 (  1.4) ";" 1540 (  1.6) ";"";""
"Bages i Solsonès";"  436 (  3.1) ";" 2807 (  2.9) ";"";""
"Baix Camp i Priorat";"  272 (  1.9) ";" 1870 (  1.9) ";"";""
"Baix Ebre";"  204 (  1.4) ";" 1408 (  1.4) ";"";""
"Baix Empordà";"   96 (  0.7) ";"  569 (  0.6) ";"";""
"Baix Llobregat Centre i Fontsanta -L'H N";"  778 (  5.4) ";" 6272 (  6.4) ";"";""
"Baix Llobregat Litoral i Sant Boi";"  276 (  1.9) ";" 2039 (  2.1) ";"";""
"Baix Llobregat Litoral i Viladecans";"  363 (  2.5) ";" 2702 (  2.8) ";"";""
"Baix Llobregat Nord";"  271 (  1.9) ";" 2045 (  2.1) ";"";""
"Baix Montseny";"  167 (  1.2) ";"  888 (  0.9) ";"";""
"Baix Penedès";"    8 (  0.1) ";"   27 (  0.0) ";"";""
"Baix Vallès";"  319 (  2.2) ";" 2850 (  2.9) ";"";""
"Barcelona Dreta";"  709 (  5.0) ";" 4735 (  4.9) ";"";""
"Barcelona Esquerra";" 1089 (  7.6) ";" 6768 (  7.0) ";"";""
