"0";"1";"p";"test";"SMD"
"14282";"97294";"";"";""
"63.93 (17.39)";"65.19 (15.29)";"<0.001";"";" 0.077"
"";"";"<0.001";"";" 0.184"
" 3025 ( 21.2) ";"16129 ( 16.6) ";"";"";""
" 2430 ( 17.0) ";"16414 ( 16.9) ";"";"";""
" 3176 ( 22.2) ";"23777 ( 24.4) ";"";"";""
" 2819 ( 19.7) ";"24809 ( 25.5) ";"";"";""
" 2832 ( 19.8) ";"16165 ( 16.6) ";"";"";""
" 7294 ( 51.1) ";"49407 ( 50.8) ";" 0.523";"";" 0.006"
"";"";"<0.001";"";" 0.341"
" 3424 ( 24.0) ";"11041 ( 11.3) ";"";"";""
" 1942 ( 13.6) ";"15135 ( 15.6) ";"";"";""
" 1850 ( 13.0) ";"15702 ( 16.1) ";"";"";""
" 1757 ( 12.3) ";"14904 ( 15.3) ";"";"";""
" 1842 ( 12.9) ";"14314 ( 14.7) ";"";"";""
" 1725 ( 12.1) ";"14074 ( 14.5) ";"";"";""
" 1742 ( 12.2) ";"12124 ( 12.5) ";"";"";""
"";"";"<0.001";"";" 0.151"
"  120 (  0.8) ";"  916 (  0.9) ";"";"";""
"  265 (  1.9) ";" 1715 (  1.8) ";"";"";""
"  211 (  1.5) ";" 1333 (  1.4) ";"";"";""
"  236 (  1.7) ";" 1449 (  1.5) ";"";"";""
"   72 (  0.5) ";"  331 (  0.3) ";"";"";""
"   10 (  0.1) ";"   80 (  0.1) ";"";"";""
"   78 (  0.5) ";"  657 (  0.7) ";"";"";""
"  204 (  1.4) ";" 1540 (  1.6) ";"";"";""
"  436 (  3.1) ";" 2807 (  2.9) ";"";"";""
"  272 (  1.9) ";" 1870 (  1.9) ";"";"";""
"  204 (  1.4) ";" 1408 (  1.4) ";"";"";""
"   96 (  0.7) ";"  569 (  0.6) ";"";"";""
"  778 (  5.4) ";" 6272 (  6.4) ";"";"";""
"  276 (  1.9) ";" 2039 (  2.1) ";"";"";""
"  363 (  2.5) ";" 2702 (  2.8) ";"";"";""
"  271 (  1.9) ";" 2045 (  2.1) ";"";"";""
"  167 (  1.2) ";"  888 (  0.9) ";"";"";""
"    8 (  0.1) ";"   27 (  0.0) ";"";"";""
"  319 (  2.2) ";" 2850 (  2.9) ";"";"";""
"  709 (  5.0) ";" 4735 (  4.9) ";"";"";""
" 1089 (  7.6) ";" 6768 (  7.0) ";"";"";""
"  799 (  5.6) ";" 4091 (  4.2) ";"";"";""
" 1016 (  7.1) ";" 6924 (  7.1) ";"";"";""
"  923 (  6.5) ";" 5280 (  5.4) ";"";"";""
"  119 (  0.8) ";"  726 (  0.7) ";"";"";""
"    1 (  0.0) ";"    2 (  0.0) ";"";"";""
"  336 (  2.4) ";" 2379 (  2.4) ";"";"";""
"   84 (  0.6) ";"  703 (  0.7) ";"";"";""
"  349 (  2.4) ";" 2366 (  2.4) ";"";"";""
"  206 (  1.4) ";" 1357 (  1.4) ";"";"";""
"  442 (  3.1) ";" 3785 (  3.9) ";"";"";""
"  860 (  6.0) ";" 5483 (  5.6) ";"";"";""
"  495 (  3.5) ";" 3508 (  3.6) ";"";"";""
"  192 (  1.3) ";" 1097 (  1.1) ";"";"";""
"  290 (  2.0) ";" 1817 (  1.9) ";"";"";""
"   52 (  0.4) ";"  375 (  0.4) ";"";"";""
"   48 (  0.3) ";"  355 (  0.4) ";"";"";""
"  121 (  0.8) ";"  667 (  0.7) ";"";"";""
