"age_group";"vac_number";"vac_exposure_date";"n";"n_total";"cum_sum"
"18-49";"Dose One";2020-12-27;2;19154;0.000104416831993317
"18-49";"Dose One";2020-12-29;2;19154;0.000208833663986635
"18-49";"Dose One";2020-12-30;6;19154;0.000522084159966587
"18-49";"Dose One";2020-12-31;8;19154;0.000939751487939856
"18-49";"Dose One";2021-01-02;2;19154;0.00104416831993317
"18-49";"Dose One";2021-01-04;7;19154;0.00140962723190978
"18-49";"Dose One";2021-01-05;34;19154;0.00318471337579618
"18-49";"Dose One";2021-01-06;3;19154;0.00334133862378615
"18-49";"Dose One";2021-01-07;38;19154;0.00532525843165918
"18-49";"Dose One";2021-01-08;69;19154;0.00892763913542863
"18-49";"Dose One";2021-01-09;20;19154;0.0099718074553618
"18-49";"Dose One";2021-01-10;16;19154;0.0108071421113083
"18-49";"Dose One";2021-01-11;39;19154;0.012843270335178
"18-49";"Dose One";2021-01-12;52;19154;0.0155581079670043
"18-49";"Dose One";2021-01-13;51;19154;0.0182207371828339
"18-49";"Dose One";2021-01-14;40;19154;0.0203090738227002
"18-49";"Dose One";2021-01-15;57;19154;0.0232849535345098
"18-49";"Dose One";2021-01-16;21;19154;0.0243813302704396
"18-49";"Dose One";2021-01-17;6;19154;0.0246945807664195
"18-49";"Dose One";2021-01-18;43;19154;0.0269395426542759
"18-49";"Dose One";2021-01-19;11;19154;0.0275138352302391
"18-49";"Dose One";2021-01-20;14;19154;0.0282447530541923
"18-49";"Dose One";2021-01-21;11;19154;0.0288190456301556
"18-49";"Dose One";2021-01-22;15;19154;0.0296021718701055
"18-49";"Dose One";2021-01-23;3;19154;0.0297587971180954
"18-49";"Dose One";2021-01-25;9;19154;0.0302286728620654
"18-49";"Dose One";2021-01-26;5;19154;0.0304897149420487
"18-49";"Dose One";2021-01-27;2;19154;0.030594131774042
"18-49";"Dose One";2021-01-28;5;19154;0.0308551738540253
"18-49";"Dose One";2021-01-29;4;19154;0.0310640075180119
"18-49";"Dose One";2021-01-30;2;19154;0.0311684243500052
"18-49";"Dose One";2021-01-31;2;19154;0.0312728411819985
"18-49";"Dose One";2021-02-01;5;19154;0.0315338832619818
"18-49";"Dose One";2021-02-02;2;19154;0.0316383000939751
"18-49";"Dose One";2021-02-03;3;19154;0.0317949253419651
"18-49";"Dose One";2021-02-04;4;19154;0.0320037590059518
"18-49";"Dose One";2021-02-05;7;19154;0.0323692179179284
"18-49";"Dose One";2021-02-06;2;19154;0.0324736347499217
"18-49";"Dose One";2021-02-07;2;19154;0.032578051581915
