"cancer_diagnosis_time";"vac_number";"vac_exposure_date";"n";"n_total";"cum_sum"
"0";"Dose One";2020-12-27;1;25795;3.87672029463074e-05
"0";"Dose One";2020-12-29;2;25795;0.000116301608838922
"0";"Dose One";2020-12-30;7;25795;0.000387672029463074
"0";"Dose One";2020-12-31;8;25795;0.000697809653033534
"0";"Dose One";2021-01-02;5;25795;0.000891645667765071
"0";"Dose One";2021-01-04;8;25795;0.00120178329133553
"0";"Dose One";2021-01-05;21;25795;0.00201589455320799
"0";"Dose One";2021-01-06;6;25795;0.00224849777088583
"0";"Dose One";2021-01-07;24;25795;0.00317891064159721
"0";"Dose One";2021-01-08;48;25795;0.00503973638301997
"0";"Dose One";2021-01-09;22;25795;0.00589261484783873
"0";"Dose One";2021-01-10;11;25795;0.00631905408024811
"0";"Dose One";2021-01-11;22;25795;0.00717193254506687
"0";"Dose One";2021-01-12;45;25795;0.00891645667765071
"0";"Dose One";2021-01-13;47;25795;0.0107385152161272
"0";"Dose One";2021-01-14;37;25795;0.0121729017251405
"0";"Dose One";2021-01-15;50;25795;0.0141112618724559
"0";"Dose One";2021-01-16;13;25795;0.0146152355107579
"0";"Dose One";2021-01-17;6;25795;0.0148478387284357
"0";"Dose One";2021-01-18;31;25795;0.0160496220197713
"0";"Dose One";2021-01-19;10;25795;0.0164372940492343
"0";"Dose One";2021-01-20;7;25795;0.0167086644698585
"0";"Dose One";2021-01-21;8;25795;0.017018802093429
"0";"Dose One";2021-01-22;15;25795;0.0176003101376236
"0";"Dose One";2021-01-23;5;25795;0.0177941461523551
"0";"Dose One";2021-01-25;5;25795;0.0179879821670866
"0";"Dose One";2021-01-26;5;25795;0.0181818181818182
"0";"Dose One";2021-01-27;4;25795;0.0183368869936034
"0";"Dose One";2021-01-28;1;25795;0.0183756541965497
"0";"Dose One";2021-01-29;5;25795;0.0185694902112813
"0";"Dose One";2021-01-30;3;25795;0.0186857918201202
"0";"Dose One";2021-01-31;3;25795;0.0188020934289591
"0";"Dose One";2021-02-01;4;25795;0.0189571622407443
"0";"Dose One";2021-02-02;1;25795;0.0189959294436906
"0";"Dose One";2021-02-03;3;25795;0.0191122310525296
"0";"Dose One";2021-02-04;3;25795;0.0192285326613685
"0";"Dose One";2021-02-05;5;25795;0.0194223686761
"0";"Dose One";2021-02-06;1;25795;0.0194611358790463
"0";"Dose One";2021-02-07;3;25795;0.0195774374878852
"0";"Dose One";2021-02-08;6;25795;0.0198100407055631
"0";"Dose One";2021-02-09;6;25795;0.0200426439232409
"0";"Dose One";2021-02-10;23;25795;0.020934289591006
