"vac_number";"vac_exposure_date";"n";"n_total";"cum_sum"
"Dose One";2020-12-27;4;164467;2.43209884049688e-05
"Dose One";2020-12-29;4;164467;4.86419768099376e-05
"Dose One";2020-12-30;12;164467;0.000121604942024844
"Dose One";2020-12-31;9;164467;0.000176327165936024
"Dose One";2021-01-02;9;164467;0.000231049389847203
"Dose One";2021-01-04;17;164467;0.000334413590568321
"Dose One";2021-01-05;94;164467;0.000905956818085087
"Dose One";2021-01-06;14;164467;0.000991080277502478
"Dose One";2021-01-07;102;164467;0.00161126548182918
"Dose One";2021-01-08;149;164467;0.00251722229991427
"Dose One";2021-01-09;59;164467;0.00287595687888756
"Dose One";2021-01-10;29;164467;0.00305228404482358
"Dose One";2021-01-11;91;164467;0.00360558653103662
"Dose One";2021-01-12;130;164467;0.00439601865419811
"Dose One";2021-01-13;134;164467;0.00521077176576456
"Dose One";2021-01-14;106;164467;0.00585527795849623
"Dose One";2021-01-15;145;164467;0.00673691378817635
"Dose One";2021-01-16;47;164467;0.00702268540193473
"Dose One";2021-01-17;14;164467;0.00710780886135213
"Dose One";2021-01-18;109;164467;0.00777055579538752
"Dose One";2021-01-19;31;164467;0.00795904345552603
"Dose One";2021-01-20;27;164467;0.00812321012725957
"Dose One";2021-01-21;28;164467;0.00829345704609435
"Dose One";2021-01-22;44;164467;0.00856098791854901
"Dose One";2021-01-23;16;164467;0.00865827187216888
"Dose One";2021-01-24;3;164467;0.00867651261347261
"Dose One";2021-01-25;21;164467;0.0088041978025987
"Dose One";2021-01-26;14;164467;0.00888932126201609
"Dose One";2021-01-27;8;164467;0.00893796323882603
"Dose One";2021-01-28;10;164467;0.00899876570983845
"Dose One";2021-01-29;11;164467;0.00906564842795211
"Dose One";2021-01-30;4;164467;0.00908996941635708
"Dose One";2021-01-31;6;164467;0.00912645089896453
"Dose One";2021-02-01;14;164467;0.00921157435838192
"Dose One";2021-02-02;5;164467;0.00924197559388814
"Dose One";2021-02-03;7;164467;0.00928453732359683
"Dose One";2021-02-04;8;164467;0.00933317930040677
"Dose One";2021-02-05;15;164467;0.0094243830069254
"Dose One";2021-02-06;2;164467;0.00943654350112789
"Dose One";2021-02-07;5;164467;0.0094669447366341
"Dose One";2021-02-08;29;164467;0.00964327190257012
"Dose One";2021-02-09;16;164467;0.00974055585619
"Dose One";2021-02-10;81;164467;0.0102330558713906
"Dose One";2021-02-11;103;164467;0.0108593213228186
"Dose One";2021-02-12;130;164467;0.01164975344598
"Dose One";2021-02-13;25;164467;0.0118017596235111
"Dose One";2021-02-14;6;164467;0.0118382411061186
"Dose One";2021-02-15;91;164467;0.0123915435923316
"Dose One";2021-02-16;78;164467;0.0128658028662285
"Dose One";2021-02-17;141;164467;0.0137231177075036
"Dose One";2021-02-18;295;164467;0.0155167906023701
"Dose One";2021-02-19;347;164467;0.0176266363465011
"Dose One";2021-02-20;25;164467;0.0177786425240322
"Dose One";2021-02-21;5;164467;0.0178090437595384
"Dose One";2021-02-22;167;164467;0.0188244450254458
"Dose One";2021-02-23;663;164467;0.0228556488535694
"Dose One";2021-02-24;1146;164467;0.029823612031593
"Dose One";2021-02-25;1176;164467;0.0369739826226538
"Dose One";2021-02-26;812;164467;0.0419111432688624
"Dose One";2021-02-27;45;164467;0.0421847543884183
"Dose One";2021-02-28;5;164467;0.0422151556239246
"Dose One";2021-03-01;93;164467;0.0427806186043401
"Dose One";2021-03-02;556;164467;0.0461612359926307
"Dose One";2021-03-03;950;164467;0.0519374707388108
"Dose One";2021-03-04;819;164467;0.0569171931147282
"Dose One";2021-03-05;559;164467;0.0603160512443226
