"outcomes";"outcomes_dates";"n";"n_total";"cum_sum"
"death_date";2020-12-27;9;164467;5.47222239111797e-05
"death_date";2020-12-28;7;164467;9.72839536198751e-05
"death_date";2020-12-29;12;164467;0.000170246918834781
"death_date";2020-12-30;59;164467;0.000528981497808071
"death_date";2020-12-31;5;164467;0.000559382733314282
"death_date";2021-01-01;4;164467;0.000583703721719251
"death_date";2021-01-02;1;164467;0.000589783968820493
"death_date";2021-01-03;1;164467;0.000595864215921735
"death_date";2021-01-04;4;164467;0.000620185204326704
"death_date";2021-01-05;2;164467;0.000632345698529188
"death_date";2021-01-06;136;164467;0.00145925930429813
"death_date";2021-01-07;7;164467;0.00150182103400682
"death_date";2021-01-08;6;164467;0.00153830251661428
"death_date";2021-01-09;61;164467;0.00190919758979005
"death_date";2021-01-11;11;164467;0.00197608030790371
"death_date";2021-01-12;10;164467;0.00203688277891613
"death_date";2021-01-13;53;164467;0.00235913587528197
"death_date";2021-01-14;12;164467;0.00243209884049688
"death_date";2021-01-15;20;164467;0.00255370378252172
"death_date";2021-01-16;4;164467;0.00257802477092669
"death_date";2021-01-18;7;164467;0.00262058650063539
"death_date";2021-01-19;16;164467;0.00271787045425526
"death_date";2021-01-20;49;164467;0.00301580256221613
"death_date";2021-01-21;36;164467;0.00323469145786085
"death_date";2021-01-22;15;164467;0.00332589516437948
"death_date";2021-01-23;35;164467;0.00353870381292296
"death_date";2021-01-25;15;164467;0.00362990751944159
"death_date";2021-01-26;108;164467;0.00428657420637575
"death_date";2021-01-27;36;164467;0.00450546310202047
"death_date";2021-01-28;20;164467;0.00462706804404531
"death_date";2021-01-29;50;164467;0.00493108039910742
"death_date";2021-01-30;58;164467;0.00528373473097947
"death_date";2021-02-01;62;164467;0.00566071005125648
"death_date";2021-02-02;49;164467;0.00595864215921735
"death_date";2021-02-03;42;164467;0.00621401253746952
"death_date";2021-02-04;10;164467;0.00627481500848194
"death_date";2021-02-05;29;164467;0.00645114217441797
"death_date";2021-02-06;26;164467;0.00660922859905027
"death_date";2021-02-08;9;164467;0.00666395082296144
"death_date";2021-02-09;46;164467;0.00694364218961859
"death_date";2021-02-10;79;164467;0.00742398171061672
"death_date";2021-02-11;16;164467;0.00752126566423659
