"age_group";"vac_exposure_date";"vac_concept_id";"n"
"18-49";2020-12-27;"Pfizer-mRNA-BNT162b";2
"18-49";2020-12-29;"Pfizer-mRNA-BNT162b";2
"18-49";2020-12-30;"Pfizer-mRNA-BNT162b";6
"18-49";2020-12-31;"Pfizer-mRNA-BNT162b";8
"18-49";2021-01-02;"Pfizer-mRNA-BNT162b";2
"18-49";2021-01-04;"Pfizer-mRNA-BNT162b";6
"18-49";2021-01-04;"Jansen-Ad26";1
"18-49";2021-01-05;"Pfizer-mRNA-BNT162b";34
"18-49";2021-01-06;"Pfizer-mRNA-BNT162b";3
"18-49";2021-01-07;"Pfizer-mRNA-BNT162b";38
"18-49";2021-01-08;"Pfizer-mRNA-BNT162b";68
"18-49";2021-01-08;"Jansen-Ad26";1
"18-49";2021-01-09;"Pfizer-mRNA-BNT162b";20
"18-49";2021-01-10;"Pfizer-mRNA-BNT162b";16
"18-49";2021-01-11;"Pfizer-mRNA-BNT162b";39
"18-49";2021-01-12;"Pfizer-mRNA-BNT162b";52
"18-49";2021-01-13;"Pfizer-mRNA-BNT162b";51
"18-49";2021-01-14;"Pfizer-mRNA-BNT162b";40
"18-49";2021-01-15;"Pfizer-mRNA-BNT162b";57
"18-49";2021-01-16;"Pfizer-mRNA-BNT162b";21
"18-49";2021-01-17;"Pfizer-mRNA-BNT162b";5
"18-49";2021-01-17;"Moderna-mRNA-1273";1
"18-49";2021-01-18;"Pfizer-mRNA-BNT162b";42
"18-49";2021-01-18;"Moderna-mRNA-1273";1
"18-49";2021-01-19;"Pfizer-mRNA-BNT162b";9
"18-49";2021-01-19;"Moderna-mRNA-1273";4
"18-49";2021-01-20;"Pfizer-mRNA-BNT162b";11
"18-49";2021-01-20;"Moderna-mRNA-1273";7
"18-49";2021-01-21;"Pfizer-mRNA-BNT162b";13
"18-49";2021-01-21;"Moderna-mRNA-1273";1
"18-49";2021-01-22;"Pfizer-mRNA-BNT162b";22
"18-49";2021-01-22;"Moderna-mRNA-1273";1
"18-49";2021-01-23;"Pfizer-mRNA-BNT162b";4
"18-49";2021-01-25;"Pfizer-mRNA-BNT162b";11
"18-49";2021-01-25;"Moderna-mRNA-1273";2
"18-49";2021-01-26;"Pfizer-mRNA-BNT162b";25
"18-49";2021-01-26;"Moderna-mRNA-1273";2
"18-49";2021-01-27;"Pfizer-mRNA-BNT162b";17
"18-49";2021-01-28;"Pfizer-mRNA-BNT162b";31
"18-49";2021-01-28;"Moderna-mRNA-1273";2
"18-49";2021-01-29;"Pfizer-mRNA-BNT162b";51
"18-49";2021-01-30;"Pfizer-mRNA-BNT162b";18
"18-49";2021-01-31;"Pfizer-mRNA-BNT162b";13
"18-49";2021-02-01;"Pfizer-mRNA-BNT162b";30
"18-49";2021-02-01;"Moderna-mRNA-1273";2
"18-49";2021-02-01;"Jansen-Ad26";1
"18-49";2021-02-02;"Pfizer-mRNA-BNT162b";50
"18-49";2021-02-03;"Pfizer-mRNA-BNT162b";50
"18-49";2021-02-03;"Moderna-mRNA-1273";1
"18-49";2021-02-04;"Pfizer-mRNA-BNT162b";36
"18-49";2021-02-04;"Moderna-mRNA-1273";3
"18-49";2021-02-05;"Pfizer-mRNA-BNT162b";66
"18-49";2021-02-05;"Moderna-mRNA-1273";4
"18-49";2021-02-06;"Pfizer-mRNA-BNT162b";13
"18-49";2021-02-06;"Moderna-mRNA-1273";2
"18-49";2021-02-07;"Pfizer-mRNA-BNT162b";1
"18-49";2021-02-07;"Moderna-mRNA-1273";2
"18-49";2021-02-08;"Pfizer-mRNA-BNT162b";31
"18-49";2021-02-08;"Moderna-mRNA-1273";8
"18-49";2021-02-09;"Pfizer-mRNA-BNT162b";33
"18-49";2021-02-09;"AZ-ChAdOx1";3
"18-49";2021-02-10;"Pfizer-mRNA-BNT162b";35
"18-49";2021-02-10;"Moderna-mRNA-1273";5
"18-49";2021-02-10;"AZ-ChAdOx1";44
"18-49";2021-02-11;"Pfizer-mRNA-BNT162b";23
"18-49";2021-02-11;"Moderna-mRNA-1273";10
"18-49";2021-02-11;"AZ-ChAdOx1";34
"18-49";2021-02-12;"Pfizer-mRNA-BNT162b";63
"18-49";2021-02-12;"Moderna-mRNA-1273";10
"18-49";2021-02-12;"AZ-ChAdOx1";24
"18-49";2021-02-13;"Pfizer-mRNA-BNT162b";12
"18-49";2021-02-14;"Pfizer-mRNA-BNT162b";1
"18-49";2021-02-14;"AZ-ChAdOx1";4
"18-49";2021-02-15;"Pfizer-mRNA-BNT162b";37
"18-49";2021-02-15;"Moderna-mRNA-1273";9
"18-49";2021-02-16;"Pfizer-mRNA-BNT162b";23
"18-49";2021-02-16;"Moderna-mRNA-1273";3
"18-49";2021-02-16;"AZ-ChAdOx1";13
"18-49";2021-02-17;"Pfizer-mRNA-BNT162b";20
"18-49";2021-02-17;"Moderna-mRNA-1273";1
"18-49";2021-02-17;"AZ-ChAdOx1";43
"18-49";2021-02-18;"Pfizer-mRNA-BNT162b";27
"18-49";2021-02-18;"Moderna-mRNA-1273";5
"18-49";2021-02-18;"AZ-ChAdOx1";49
"18-49";2021-02-19;"Pfizer-mRNA-BNT162b";38
"18-49";2021-02-19;"Moderna-mRNA-1273";8
"18-49";2021-02-19;"AZ-ChAdOx1";41
"18-49";2021-02-20;"Pfizer-mRNA-BNT162b";4
"18-49";2021-02-21;"AZ-ChAdOx1";1
"18-49";2021-02-22;"Pfizer-mRNA-BNT162b";10
"18-49";2021-02-22;"Moderna-mRNA-1273";2
"18-49";2021-02-22;"AZ-ChAdOx1";40
"18-49";2021-02-23;"Pfizer-mRNA-BNT162b";20
"18-49";2021-02-23;"Moderna-mRNA-1273";5
"18-49";2021-02-23;"AZ-ChAdOx1";51
"18-49";2021-02-24;"Pfizer-mRNA-BNT162b";38
"18-49";2021-02-24;"Moderna-mRNA-1273";2
"18-49";2021-02-24;"AZ-ChAdOx1";55
"18-49";2021-02-25;"Pfizer-mRNA-BNT162b";37
"18-49";2021-02-25;"Moderna-mRNA-1273";3
"18-49";2021-02-25;"AZ-ChAdOx1";64
"18-49";2021-02-26;"Pfizer-mRNA-BNT162b";23
"18-49";2021-02-26;"Moderna-mRNA-1273";3
"18-49";2021-02-26;"AZ-ChAdOx1";63
"18-49";2021-02-27;"Pfizer-mRNA-BNT162b";4
"18-49";2021-02-27;"AZ-ChAdOx1";13
"18-49";2021-02-28;"AZ-ChAdOx1";4
"18-49";2021-03-01;"Pfizer-mRNA-BNT162b";2
"18-49";2021-03-01;"Moderna-mRNA-1273";4
"18-49";2021-03-01;"AZ-ChAdOx1";12
"18-49";2021-03-02;"Pfizer-mRNA-BNT162b";8
"18-49";2021-03-02;"Moderna-mRNA-1273";2
"18-49";2021-03-02;"AZ-ChAdOx1";23
