"vac_exposure_date";"vac_number";"cancer_diagnosis_time";"n"
2020-12-27;"Dose One";"0";1
2020-12-27;"Dose One";"2";2
2020-12-27;"Dose One";"4";1
2020-12-29;"Dose One";"0";2
2020-12-29;"Dose One";"4";2
2020-12-30;"Dose One";"0";7
2020-12-30;"Dose One";"2";3
2020-12-30;"Dose One";"3";1
2020-12-30;"Dose One";"4";1
2020-12-31;"Dose One";"0";8
2020-12-31;"Dose One";"2";1
2021-01-02;"Dose One";"0";5
2021-01-02;"Dose One";"1";1
2021-01-02;"Dose One";"2";1
2021-01-02;"Dose One";"3";2
2021-01-04;"Dose One";"0";8
2021-01-04;"Dose One";"1";2
2021-01-04;"Dose One";"2";3
2021-01-04;"Dose One";"3";3
2021-01-04;"Dose One";"4";1
2021-01-05;"Dose One";"0";21
2021-01-05;"Dose One";"1";23
2021-01-05;"Dose One";"2";16
2021-01-05;"Dose One";"3";19
2021-01-05;"Dose One";"4";15
2021-01-06;"Dose One";"0";6
2021-01-06;"Dose One";"1";4
2021-01-06;"Dose One";"2";1
2021-01-06;"Dose One";"3";1
2021-01-06;"Dose One";"4";2
2021-01-07;"Dose One";"0";24
2021-01-07;"Dose One";"1";21
2021-01-07;"Dose One";"2";22
2021-01-07;"Dose One";"3";16
2021-01-07;"Dose One";"4";19
2021-01-08;"Dose One";"0";48
2021-01-08;"Dose One";"1";27
2021-01-08;"Dose One";"2";31
2021-01-08;"Dose One";"3";26
2021-01-08;"Dose One";"4";17
2021-01-09;"Dose One";"0";22
2021-01-09;"Dose One";"1";8
2021-01-09;"Dose One";"2";8
2021-01-09;"Dose One";"3";12
2021-01-09;"Dose One";"4";9
2021-01-10;"Dose One";"0";11
2021-01-10;"Dose One";"1";5
2021-01-10;"Dose One";"2";3
2021-01-10;"Dose One";"3";5
2021-01-10;"Dose One";"4";5
2021-01-11;"Dose One";"0";22
2021-01-11;"Dose One";"1";18
2021-01-11;"Dose One";"2";16
2021-01-11;"Dose One";"3";16
2021-01-11;"Dose One";"4";19
2021-01-12;"Dose One";"0";45
2021-01-12;"Dose One";"1";20
2021-01-12;"Dose One";"2";26
2021-01-12;"Dose One";"3";17
2021-01-12;"Dose One";"4";22
2021-01-13;"Dose One";"0";47
2021-01-13;"Dose One";"1";31
2021-01-13;"Dose One";"2";15
2021-01-13;"Dose One";"3";28
2021-01-13;"Dose One";"4";13
2021-01-14;"Dose One";"0";37
2021-01-14;"Dose One";"1";18
2021-01-14;"Dose One";"2";21
2021-01-14;"Dose One";"3";11
2021-01-14;"Dose One";"4";19
2021-01-15;"Dose One";"0";50
2021-01-15;"Dose One";"1";26
2021-01-15;"Dose One";"2";29
2021-01-15;"Dose One";"3";22
2021-01-15;"Dose One";"4";18
2021-01-16;"Dose One";"0";13
2021-01-16;"Dose One";"1";9
2021-01-16;"Dose One";"2";10
2021-01-16;"Dose One";"3";10
2021-01-16;"Dose One";"4";5
2021-01-17;"Dose One";"0";6
