"vac_exposure_date";"vac_number";"cancer_diagnosis_time";"vac_concept_id";"n"
2020-12-27;"Dose One";"0";"Pfizer-mRNA-BNT162b";1
2020-12-27;"Dose One";"2";"Pfizer-mRNA-BNT162b";2
2020-12-27;"Dose One";"4";"Pfizer-mRNA-BNT162b";1
2020-12-29;"Dose One";"0";"Pfizer-mRNA-BNT162b";2
2020-12-29;"Dose One";"4";"Pfizer-mRNA-BNT162b";2
2020-12-30;"Dose One";"0";"Pfizer-mRNA-BNT162b";7
2020-12-30;"Dose One";"2";"Pfizer-mRNA-BNT162b";3
2020-12-30;"Dose One";"3";"Pfizer-mRNA-BNT162b";1
2020-12-30;"Dose One";"4";"Pfizer-mRNA-BNT162b";1
2020-12-31;"Dose One";"0";"Pfizer-mRNA-BNT162b";8
2020-12-31;"Dose One";"2";"Pfizer-mRNA-BNT162b";1
2021-01-02;"Dose One";"0";"Pfizer-mRNA-BNT162b";5
2021-01-02;"Dose One";"1";"Pfizer-mRNA-BNT162b";1
2021-01-02;"Dose One";"2";"Pfizer-mRNA-BNT162b";1
2021-01-02;"Dose One";"3";"Pfizer-mRNA-BNT162b";2
2021-01-04;"Dose One";"0";"Pfizer-mRNA-BNT162b";7
2021-01-04;"Dose One";"0";"Jansen-Ad26";1
2021-01-04;"Dose One";"1";"Pfizer-mRNA-BNT162b";2
2021-01-04;"Dose One";"2";"Pfizer-mRNA-BNT162b";3
2021-01-04;"Dose One";"3";"Pfizer-mRNA-BNT162b";3
2021-01-04;"Dose One";"4";"Pfizer-mRNA-BNT162b";1
2021-01-05;"Dose One";"0";"Pfizer-mRNA-BNT162b";21
2021-01-05;"Dose One";"1";"Pfizer-mRNA-BNT162b";23
2021-01-05;"Dose One";"2";"Pfizer-mRNA-BNT162b";16
2021-01-05;"Dose One";"3";"Pfizer-mRNA-BNT162b";19
2021-01-05;"Dose One";"4";"Pfizer-mRNA-BNT162b";15
2021-01-06;"Dose One";"0";"Pfizer-mRNA-BNT162b";6
2021-01-06;"Dose One";"1";"Pfizer-mRNA-BNT162b";4
2021-01-06;"Dose One";"2";"Pfizer-mRNA-BNT162b";1
2021-01-06;"Dose One";"3";"Pfizer-mRNA-BNT162b";1
2021-01-06;"Dose One";"4";"Pfizer-mRNA-BNT162b";2
2021-01-07;"Dose One";"0";"Pfizer-mRNA-BNT162b";24
2021-01-07;"Dose One";"1";"Pfizer-mRNA-BNT162b";21
2021-01-07;"Dose One";"2";"Pfizer-mRNA-BNT162b";22
2021-01-07;"Dose One";"3";"Pfizer-mRNA-BNT162b";16
2021-01-07;"Dose One";"4";"Pfizer-mRNA-BNT162b";19
2021-01-08;"Dose One";"0";"Pfizer-mRNA-BNT162b";48
2021-01-08;"Dose One";"1";"Pfizer-mRNA-BNT162b";26
2021-01-08;"Dose One";"1";"Jansen-Ad26";1
2021-01-08;"Dose One";"2";"Pfizer-mRNA-BNT162b";31
2021-01-08;"Dose One";"3";"Pfizer-mRNA-BNT162b";26
2021-01-08;"Dose One";"4";"Pfizer-mRNA-BNT162b";17
2021-01-09;"Dose One";"0";"Pfizer-mRNA-BNT162b";22
2021-01-09;"Dose One";"1";"Pfizer-mRNA-BNT162b";8
2021-01-09;"Dose One";"2";"Pfizer-mRNA-BNT162b";8
2021-01-09;"Dose One";"3";"Pfizer-mRNA-BNT162b";12
2021-01-09;"Dose One";"4";"Pfizer-mRNA-BNT162b";9
2021-01-10;"Dose One";"0";"Pfizer-mRNA-BNT162b";11
2021-01-10;"Dose One";"1";"Pfizer-mRNA-BNT162b";5
2021-01-10;"Dose One";"2";"Pfizer-mRNA-BNT162b";3
2021-01-10;"Dose One";"3";"Pfizer-mRNA-BNT162b";5
2021-01-10;"Dose One";"4";"Pfizer-mRNA-BNT162b";5
2021-01-11;"Dose One";"0";"Pfizer-mRNA-BNT162b";22
2021-01-11;"Dose One";"1";"Pfizer-mRNA-BNT162b";18
2021-01-11;"Dose One";"2";"Pfizer-mRNA-BNT162b";16
2021-01-11;"Dose One";"3";"Pfizer-mRNA-BNT162b";16
2021-01-11;"Dose One";"4";"Pfizer-mRNA-BNT162b";19
2021-01-12;"Dose One";"0";"Pfizer-mRNA-BNT162b";45
2021-01-12;"Dose One";"1";"Pfizer-mRNA-BNT162b";20
2021-01-12;"Dose One";"2";"Pfizer-mRNA-BNT162b";26
2021-01-12;"Dose One";"3";"Pfizer-mRNA-BNT162b";17
2021-01-12;"Dose One";"4";"Pfizer-mRNA-BNT162b";22
2021-01-13;"Dose One";"0";"Pfizer-mRNA-BNT162b";47
2021-01-13;"Dose One";"1";"Pfizer-mRNA-BNT162b";31
2021-01-13;"Dose One";"2";"Pfizer-mRNA-BNT162b";15
2021-01-13;"Dose One";"3";"Pfizer-mRNA-BNT162b";28
2021-01-13;"Dose One";"4";"Pfizer-mRNA-BNT162b";13
2021-01-14;"Dose One";"0";"Pfizer-mRNA-BNT162b";37
2021-01-14;"Dose One";"1";"Pfizer-mRNA-BNT162b";18
2021-01-14;"Dose One";"2";"Pfizer-mRNA-BNT162b";21
2021-01-14;"Dose One";"3";"Pfizer-mRNA-BNT162b";11
2021-01-14;"Dose One";"4";"Pfizer-mRNA-BNT162b";19
2021-01-15;"Dose One";"0";"Pfizer-mRNA-BNT162b";50
2021-01-15;"Dose One";"1";"Pfizer-mRNA-BNT162b";26
2021-01-15;"Dose One";"2";"Pfizer-mRNA-BNT162b";29
2021-01-15;"Dose One";"3";"Pfizer-mRNA-BNT162b";22
2021-01-15;"Dose One";"4";"Pfizer-mRNA-BNT162b";18
2021-01-16;"Dose One";"0";"Pfizer-mRNA-BNT162b";13
2021-01-16;"Dose One";"1";"Pfizer-mRNA-BNT162b";9
2021-01-16;"Dose One";"2";"Pfizer-mRNA-BNT162b";9
2021-01-16;"Dose One";"2";"Moderna-mRNA-1273";1
2021-01-16;"Dose One";"3";"Pfizer-mRNA-BNT162b";10
2021-01-16;"Dose One";"4";"Pfizer-mRNA-BNT162b";5
2021-01-17;"Dose One";"0";"Pfizer-mRNA-BNT162b";6
2021-01-17;"Dose One";"1";"Pfizer-mRNA-BNT162b";2
2021-01-17;"Dose One";"1";"Moderna-mRNA-1273";1
2021-01-17;"Dose One";"2";"Pfizer-mRNA-BNT162b";2
2021-01-17;"Dose One";"3";"Pfizer-mRNA-BNT162b";2
2021-01-17;"Dose One";"4";"Pfizer-mRNA-BNT162b";1
2021-01-18;"Dose One";"0";"Pfizer-mRNA-BNT162b";31
2021-01-18;"Dose One";"1";"Pfizer-mRNA-BNT162b";18
2021-01-18;"Dose One";"2";"Pfizer-mRNA-BNT162b";24
2021-01-18;"Dose One";"2";"Moderna-mRNA-1273";1
2021-01-18;"Dose One";"3";"Pfizer-mRNA-BNT162b";16
2021-01-18;"Dose One";"3";"Moderna-mRNA-1273";1
2021-01-18;"Dose One";"4";"Pfizer-mRNA-BNT162b";17
2021-01-18;"Dose One";"4";"Moderna-mRNA-1273";1
2021-01-19;"Dose One";"0";"Pfizer-mRNA-BNT162b";9
2021-01-19;"Dose One";"0";"Moderna-mRNA-1273";1
2021-01-19;"Dose One";"1";"Pfizer-mRNA-BNT162b";4
2021-01-19;"Dose One";"1";"Moderna-mRNA-1273";2
2021-01-19;"Dose One";"2";"Pfizer-mRNA-BNT162b";4
2021-01-19;"Dose One";"2";"Moderna-mRNA-1273";1
2021-01-19;"Dose One";"3";"Pfizer-mRNA-BNT162b";4
2021-01-19;"Dose One";"3";"Moderna-mRNA-1273";2
2021-01-19;"Dose One";"4";"Pfizer-mRNA-BNT162b";4
2021-01-19;"Dose Two";"0";"Pfizer-mRNA-BNT162b";2
2021-01-19;"Dose Two";"4";"Pfizer-mRNA-BNT162b";2
2021-01-20;"Dose One";"0";"Pfizer-mRNA-BNT162b";5
2021-01-20;"Dose One";"0";"Moderna-mRNA-1273";2
2021-01-20;"Dose One";"1";"Pfizer-mRNA-BNT162b";5
2021-01-20;"Dose One";"2";"Pfizer-mRNA-BNT162b";4
2021-01-20;"Dose One";"2";"Moderna-mRNA-1273";2
2021-01-20;"Dose One";"3";"Pfizer-mRNA-BNT162b";1
2021-01-20;"Dose One";"3";"Moderna-mRNA-1273";2
2021-01-20;"Dose One";"4";"Pfizer-mRNA-BNT162b";2
2021-01-20;"Dose One";"4";"Moderna-mRNA-1273";4
2021-01-20;"Dose Two";"0";"Pfizer-mRNA-BNT162b";6
2021-01-20;"Dose Two";"2";"Pfizer-mRNA-BNT162b";4
2021-01-20;"Dose Two";"4";"Pfizer-mRNA-BNT162b";1
2021-01-21;"Dose One";"0";"Pfizer-mRNA-BNT162b";8
2021-01-21;"Dose One";"1";"Pfizer-mRNA-BNT162b";4
2021-01-21;"Dose One";"1";"Moderna-mRNA-1273";1
2021-01-21;"Dose One";"2";"Pfizer-mRNA-BNT162b";4
2021-01-21;"Dose One";"3";"Pfizer-mRNA-BNT162b";5
2021-01-21;"Dose One";"4";"Pfizer-mRNA-BNT162b";5
2021-01-21;"Dose One";"4";"Moderna-mRNA-1273";1
2021-01-21;"Dose Two";"0";"Pfizer-mRNA-BNT162b";2
2021-01-21;"Dose Two";"2";"Pfizer-mRNA-BNT162b";2
2021-01-22;"Dose One";"0";"Pfizer-mRNA-BNT162b";14
2021-01-22;"Dose One";"0";"Moderna-mRNA-1273";1
2021-01-22;"Dose One";"1";"Pfizer-mRNA-BNT162b";6
2021-01-22;"Dose One";"1";"Moderna-mRNA-1273";1
2021-01-22;"Dose One";"2";"Pfizer-mRNA-BNT162b";7
2021-01-22;"Dose One";"3";"Pfizer-mRNA-BNT162b";8
2021-01-22;"Dose One";"3";"Moderna-mRNA-1273";1
2021-01-22;"Dose One";"4";"Pfizer-mRNA-BNT162b";6
2021-01-22;"Dose Two";"0";"Pfizer-mRNA-BNT162b";8
2021-01-23;"Dose One";"0";"Pfizer-mRNA-BNT162b";5
2021-01-23;"Dose One";"1";"Pfizer-mRNA-BNT162b";2
2021-01-23;"Dose One";"2";"Pfizer-mRNA-BNT162b";4
2021-01-23;"Dose One";"3";"Pfizer-mRNA-BNT162b";4
2021-01-23;"Dose One";"4";"Pfizer-mRNA-BNT162b";1
2021-01-23;"Dose Two";"0";"Pfizer-mRNA-BNT162b";1
2021-01-23;"Dose Two";"2";"Pfizer-mRNA-BNT162b";1
2021-01-24;"Dose One";"1";"Pfizer-mRNA-BNT162b";1
2021-01-24;"Dose One";"3";"Pfizer-mRNA-BNT162b";1
2021-01-24;"Dose One";"4";"Pfizer-mRNA-BNT162b";1
2021-01-24;"Dose Two";"0";"Pfizer-mRNA-BNT162b";1
2021-01-25;"Dose One";"0";"Pfizer-mRNA-BNT162b";4
2021-01-25;"Dose One";"0";"Moderna-mRNA-1273";1
2021-01-25;"Dose One";"1";"Pfizer-mRNA-BNT162b";5
2021-01-25;"Dose One";"1";"Moderna-mRNA-1273";1
2021-01-25;"Dose One";"2";"Pfizer-mRNA-BNT162b";3
2021-01-25;"Dose One";"3";"Pfizer-mRNA-BNT162b";3
2021-01-25;"Dose One";"4";"Pfizer-mRNA-BNT162b";4
2021-01-25;"Dose Two";"0";"Pfizer-mRNA-BNT162b";7
2021-01-25;"Dose Two";"1";"Pfizer-mRNA-BNT162b";2
2021-01-25;"Dose Two";"2";"Pfizer-mRNA-BNT162b";2
