"vac_exposure_date";"vac_concept_id";"n"
2020-12-27;"Pfizer-mRNA-BNT162b";4
2020-12-29;"Pfizer-mRNA-BNT162b";4
2020-12-30;"Pfizer-mRNA-BNT162b";12
2020-12-31;"Pfizer-mRNA-BNT162b";9
2021-01-02;"Pfizer-mRNA-BNT162b";9
2021-01-04;"Pfizer-mRNA-BNT162b";16
2021-01-04;"Jansen-Ad26";1
2021-01-05;"Pfizer-mRNA-BNT162b";94
2021-01-06;"Pfizer-mRNA-BNT162b";14
2021-01-07;"Pfizer-mRNA-BNT162b";102
2021-01-08;"Pfizer-mRNA-BNT162b";148
2021-01-08;"Jansen-Ad26";1
2021-01-09;"Pfizer-mRNA-BNT162b";59
2021-01-10;"Pfizer-mRNA-BNT162b";29
2021-01-11;"Pfizer-mRNA-BNT162b";91
2021-01-12;"Pfizer-mRNA-BNT162b";130
2021-01-13;"Pfizer-mRNA-BNT162b";134
2021-01-14;"Pfizer-mRNA-BNT162b";106
2021-01-15;"Pfizer-mRNA-BNT162b";145
2021-01-16;"Pfizer-mRNA-BNT162b";46
2021-01-16;"Moderna-mRNA-1273";1
2021-01-17;"Pfizer-mRNA-BNT162b";13
2021-01-17;"Moderna-mRNA-1273";1
2021-01-18;"Pfizer-mRNA-BNT162b";106
2021-01-18;"Moderna-mRNA-1273";3
2021-01-19;"Pfizer-mRNA-BNT162b";29
2021-01-19;"Moderna-mRNA-1273";6
2021-01-20;"Pfizer-mRNA-BNT162b";28
2021-01-20;"Moderna-mRNA-1273";10
2021-01-21;"Pfizer-mRNA-BNT162b";30
2021-01-21;"Moderna-mRNA-1273";2
2021-01-22;"Pfizer-mRNA-BNT162b";49
2021-01-22;"Moderna-mRNA-1273";3
2021-01-23;"Pfizer-mRNA-BNT162b";18
2021-01-24;"Pfizer-mRNA-BNT162b";4
2021-01-25;"Pfizer-mRNA-BNT162b";32
2021-01-25;"Moderna-mRNA-1273";2
2021-01-26;"Pfizer-mRNA-BNT162b";71
2021-01-26;"Moderna-mRNA-1273";7
2021-01-27;"Pfizer-mRNA-BNT162b";45
2021-01-27;"Moderna-mRNA-1273";1
2021-01-28;"Pfizer-mRNA-BNT162b";79
2021-01-28;"Moderna-mRNA-1273";3
2021-01-29;"Pfizer-mRNA-BNT162b";134
2021-01-30;"Pfizer-mRNA-BNT162b";46
2021-01-31;"Pfizer-mRNA-BNT162b";29
2021-02-01;"Pfizer-mRNA-BNT162b";82
2021-02-01;"Moderna-mRNA-1273";3
2021-02-01;"AZ-ChAdOx1";1
2021-02-01;"Jansen-Ad26";1
2021-02-02;"Pfizer-mRNA-BNT162b";111
2021-02-02;"Moderna-mRNA-1273";1
2021-02-03;"Pfizer-mRNA-BNT162b";120
2021-02-03;"Moderna-mRNA-1273";1
2021-02-04;"Pfizer-mRNA-BNT162b";96
2021-02-04;"Moderna-mRNA-1273";4
2021-02-05;"Pfizer-mRNA-BNT162b";152
2021-02-05;"Moderna-mRNA-1273";10
2021-02-06;"Pfizer-mRNA-BNT162b";27
2021-02-06;"Moderna-mRNA-1273";2
2021-02-07;"Pfizer-mRNA-BNT162b";2
2021-02-07;"Moderna-mRNA-1273";4
2021-02-07;"AZ-ChAdOx1";1
2021-02-08;"Pfizer-mRNA-BNT162b";80
2021-02-08;"Moderna-mRNA-1273";19
2021-02-09;"Pfizer-mRNA-BNT162b";95
2021-02-09;"Moderna-mRNA-1273";3
2021-02-09;"AZ-ChAdOx1";5
2021-02-10;"Pfizer-mRNA-BNT162b";76
2021-02-10;"Moderna-mRNA-1273";11
2021-02-10;"AZ-ChAdOx1";60
2021-02-11;"Pfizer-mRNA-BNT162b";82
2021-02-11;"Moderna-mRNA-1273";27
2021-02-11;"AZ-ChAdOx1";50
2021-02-12;"Pfizer-mRNA-BNT162b";151
2021-02-12;"Moderna-mRNA-1273";23
2021-02-12;"AZ-ChAdOx1";33
2021-02-13;"Pfizer-mRNA-BNT162b";41
2021-02-13;"Moderna-mRNA-1273";1
2021-02-13;"AZ-ChAdOx1";1
2021-02-14;"Pfizer-mRNA-BNT162b";6
2021-02-14;"AZ-ChAdOx1";4
2021-02-14;"Jansen-Ad26";1
2021-02-15;"Pfizer-mRNA-BNT162b";96
2021-02-15;"Moderna-mRNA-1273";21
2021-02-16;"Pfizer-mRNA-BNT162b";56
2021-02-16;"Moderna-mRNA-1273";6
2021-02-16;"AZ-ChAdOx1";23
2021-02-17;"Pfizer-mRNA-BNT162b";70
2021-02-17;"Moderna-mRNA-1273";6
2021-02-17;"AZ-ChAdOx1";74
