"vac_exposure_date";"vac_number";"vac_concept_id";"n"
2020-12-27;"Dose One";"Pfizer-mRNA-BNT162b";4
2020-12-29;"Dose One";"Pfizer-mRNA-BNT162b";4
2020-12-30;"Dose One";"Pfizer-mRNA-BNT162b";12
2020-12-31;"Dose One";"Pfizer-mRNA-BNT162b";9
2021-01-02;"Dose One";"Pfizer-mRNA-BNT162b";9
2021-01-04;"Dose One";"Pfizer-mRNA-BNT162b";16
2021-01-04;"Dose One";"Jansen-Ad26";1
2021-01-05;"Dose One";"Pfizer-mRNA-BNT162b";94
2021-01-06;"Dose One";"Pfizer-mRNA-BNT162b";14
2021-01-07;"Dose One";"Pfizer-mRNA-BNT162b";102
2021-01-08;"Dose One";"Pfizer-mRNA-BNT162b";148
2021-01-08;"Dose One";"Jansen-Ad26";1
2021-01-09;"Dose One";"Pfizer-mRNA-BNT162b";59
2021-01-10;"Dose One";"Pfizer-mRNA-BNT162b";29
2021-01-11;"Dose One";"Pfizer-mRNA-BNT162b";91
2021-01-12;"Dose One";"Pfizer-mRNA-BNT162b";130
2021-01-13;"Dose One";"Pfizer-mRNA-BNT162b";134
2021-01-14;"Dose One";"Pfizer-mRNA-BNT162b";106
2021-01-15;"Dose One";"Pfizer-mRNA-BNT162b";145
2021-01-16;"Dose One";"Pfizer-mRNA-BNT162b";46
2021-01-16;"Dose One";"Moderna-mRNA-1273";1
2021-01-17;"Dose One";"Pfizer-mRNA-BNT162b";13
2021-01-17;"Dose One";"Moderna-mRNA-1273";1
2021-01-18;"Dose One";"Pfizer-mRNA-BNT162b";106
2021-01-18;"Dose One";"Moderna-mRNA-1273";3
2021-01-19;"Dose One";"Pfizer-mRNA-BNT162b";25
2021-01-19;"Dose One";"Moderna-mRNA-1273";6
2021-01-19;"Dose Two";"Pfizer-mRNA-BNT162b";4
2021-01-20;"Dose One";"Pfizer-mRNA-BNT162b";17
2021-01-20;"Dose One";"Moderna-mRNA-1273";10
2021-01-20;"Dose Two";"Pfizer-mRNA-BNT162b";11
2021-01-21;"Dose One";"Pfizer-mRNA-BNT162b";26
2021-01-21;"Dose One";"Moderna-mRNA-1273";2
2021-01-21;"Dose Two";"Pfizer-mRNA-BNT162b";4
2021-01-22;"Dose One";"Pfizer-mRNA-BNT162b";41
2021-01-22;"Dose One";"Moderna-mRNA-1273";3
2021-01-22;"Dose Two";"Pfizer-mRNA-BNT162b";8
2021-01-23;"Dose One";"Pfizer-mRNA-BNT162b";16
2021-01-23;"Dose Two";"Pfizer-mRNA-BNT162b";2
2021-01-24;"Dose One";"Pfizer-mRNA-BNT162b";3
2021-01-24;"Dose Two";"Pfizer-mRNA-BNT162b";1
2021-01-25;"Dose One";"Pfizer-mRNA-BNT162b";19
2021-01-25;"Dose One";"Moderna-mRNA-1273";2
2021-01-25;"Dose Two";"Pfizer-mRNA-BNT162b";13
2021-01-26;"Dose One";"Pfizer-mRNA-BNT162b";7
2021-01-26;"Dose One";"Moderna-mRNA-1273";7
2021-01-26;"Dose Two";"Pfizer-mRNA-BNT162b";64
2021-01-27;"Dose One";"Pfizer-mRNA-BNT162b";7
2021-01-27;"Dose One";"Moderna-mRNA-1273";1
2021-01-27;"Dose Two";"Pfizer-mRNA-BNT162b";38
2021-01-28;"Dose One";"Pfizer-mRNA-BNT162b";7
2021-01-28;"Dose One";"Moderna-mRNA-1273";3
2021-01-28;"Dose Two";"Pfizer-mRNA-BNT162b";72
2021-01-29;"Dose One";"Pfizer-mRNA-BNT162b";11
2021-01-29;"Dose Two";"Pfizer-mRNA-BNT162b";123
2021-01-30;"Dose One";"Pfizer-mRNA-BNT162b";4
2021-01-30;"Dose Two";"Pfizer-mRNA-BNT162b";42
2021-01-31;"Dose One";"Pfizer-mRNA-BNT162b";6
2021-01-31;"Dose Two";"Pfizer-mRNA-BNT162b";23
