"0";"1";"p";"test";"SMD"
"n";"34047";"92372";"";"";""
"matched_any (mean (SD))";" 0.00 (0.00)";" 1.00 (0.00)";"<0.001";"";"   Inf"
"age (mean (SD))";"62.93 (18.55)";"64.58 (15.18)";"<0.001";"";" 0.098"
"age_group (%)";"";"";"<0.001";"";" 0.241"
"   18-49";" 8244 ( 24.2) ";"15948 ( 17.3) ";"";"";""
"   50-59";" 5494 ( 16.1) ";"15982 ( 17.3) ";"";"";""
"   60-69";" 6757 ( 19.8) ";"23078 ( 25.0) ";"";"";""
"   70-79";" 6920 ( 20.3) ";"23350 ( 25.3) ";"";"";""
"   80-115";" 6632 ( 19.5) ";"14014 ( 15.2) ";"";"";""
"gender_concept_id = F (%)";"17647 ( 51.8) ";"47017 ( 50.9) ";" 0.003";"";" 0.019"
"medea_group_2001 (%)";"";"";"<0.001";"";" 0.222"
"   0N";" 6328 ( 18.6) ";"10459 ( 11.3) ";"";"";""
"   R";" 5394 ( 15.8) ";"13765 ( 14.9) ";"";"";""
"   U1";" 4601 ( 13.5) ";"15154 ( 16.4) ";"";"";""
"   U2";" 4426 ( 13.0) ";"14353 ( 15.5) ";"";"";""
"   U3";" 4601 ( 13.5) ";"13624 ( 14.7) ";"";"";""
"   U4";" 4440 ( 13.0) ";"13448 ( 14.6) ";"";"";""
"   U5";" 4257 ( 12.5) ";"11569 ( 12.5) ";"";"";""
"aga_name (%)";"";"";"<0.001";"";" 0.252"
"   Alt Camp i Conca de Barberà";"  416 (  1.2) ";"  769 (  0.8) ";"";"";""
"   Alt Empordà";"  635 (  1.9) ";" 1593 (  1.7) ";"";"";""
"   Alt Maresme";"  559 (  1.6) ";" 1213 (  1.3) ";"";"";""
"   Alt Penedès";"  555 (  1.6) ";" 1372 (  1.5) ";"";"";""
"   Alt Urgell";"  243 (  0.7) ";"  214 (  0.2) ";"";"";""
"   Alta Ribagorça";"   85 (  0.2) ";"   18 (  0.0) ";"";"";""
"   Altebrat";"  305 (  0.9) ";"  522 (  0.6) ";"";"";""
"   Anoia";"  635 (  1.9) ";" 1365 (  1.5) ";"";"";""
"   Bages i Solsonès";"  955 (  2.8) ";" 2709 (  2.9) ";"";"";""
"   Baix Camp i Priorat";"  663 (  1.9) ";" 1764 (  1.9) ";"";"";""
"   Baix Ebre";"  529 (  1.6) ";" 1268 (  1.4) ";"";"";""
"   Baix Empordà";"  327 (  1.0) ";"  450 (  0.5) ";"";"";""
"   Baix Llobregat Centre i Fontsanta -L'H N";" 1795 (  5.3) ";" 6198 (  6.7) ";"";"";""
"   Baix Llobregat Litoral i Sant Boi";"  679 (  2.0) ";" 1908 (  2.1) ";"";"";""
"   Baix Llobregat Litoral i Viladecans";"  894 (  2.6) ";" 2554 (  2.8) ";"";"";""
"   Baix Llobregat Nord";"  730 (  2.1) ";" 1904 (  2.1) ";"";"";""
"   Baix Montseny";"  433 (  1.3) ";"  765 (  0.8) ";"";"";""
"   Baix Penedès";"   38 (  0.1) ";"    4 (  0.0) ";"";"";""
"   Baix Vallès";"  837 (  2.5) ";" 2750 (  3.0) ";"";"";""
"   Barcelona Dreta";" 1537 (  4.5) ";" 4691 (  5.1) ";"";"";""
"   Barcelona Esquerra";" 2168 (  6.4) ";" 6709 (  7.3) ";"";"";""
"   Barcelona Litoral Mar";" 1545 (  4.5) ";" 4064 (  4.4) ";"";"";""
"   Barcelona Nord";" 2209 (  6.5) ";" 6736 (  7.3) ";"";"";""
"   Barcelonès Nord i Baix Maresme";" 1814 (  5.3) ";" 5184 (  5.6) ";"";"";""
"   Berguedà";"  379 (  1.1) ";"  567 (  0.6) ";"";"";""
"   Cerdanya";"    3 (  0.0) ";"    0 (  0.0) ";"";"";""
"   Garraf";"  790 (  2.3) ";" 2288 (  2.5) ";"";"";""
"   Garrotxa";"  381 (  1.1) ";"  515 (  0.6) ";"";"";""
"   Gironès Nord i Pla de l'Estany";"  868 (  2.5) ";" 2218 (  2.4) ";"";"";""
"   Gironès Sud i Selva Interior";"  570 (  1.7) ";" 1224 (  1.3) ";"";"";""
"   L'Hospitalet Sud i el Prat de Llobregat";" 1113 (  3.3) ";" 3652 (  4.0) ";"";"";""
"   Lleida";" 1847 (  5.4) ";" 5343 (  5.8) ";"";"";""
"   Maresme Central";" 1157 (  3.4) ";" 3368 (  3.6) ";"";"";""
"   Montsià";"  483 (  1.4) ";" 1001 (  1.1) ";"";"";""
"   Osona";"  734 (  2.2) ";" 1633 (  1.8) ";"";"";""
"   Pallars";"  246 (  0.7) ";"  233 (  0.3) ";"";"";""
"   Ripollès";"  241 (  0.7) ";"  201 (  0.2) ";"";"";""
"   Selva Marítima";"  343 (  1.0) ";"  540 (  0.6) ";"";"";""
"   Tarragonès";"  892 (  2.6) ";" 2596 (  2.8) ";"";"";""
"   Vallès Occidental Est";" 1875 (  5.5) ";" 6424 (  7.0) ";"";"";""
"   Vallès Occidental Oest";"  287 (  0.8) ";"  381 (  0.4) ";"";"";""
"   Vallès Oriental Central";" 1154 (  3.4) ";" 3434 (  3.7) ";"";"";""
"   NA";"   98 (  0.3) ";"   30 (  0.0) ";"";"";""
"cancer_diagnosis_time (%)";"";"";"<0.001";"";" 0.418"
"   0";"10897 ( 32.0) ";"29731 ( 32.2) ";"";"";""
"   1";" 5322 ( 15.6) ";"19126 ( 20.7) ";"";"";""
"   2";" 4550 ( 13.4) ";"16990 ( 18.4) ";"";"";""
"   3";" 4282 ( 12.6) ";"16113 ( 17.4) ";"";"";""
"   4";" 8996 ( 26.4) ";"10412 ( 11.3) ";"";"";""
"cancer_dx_breast = 1 (%)";" 5153 ( 15.1) ";"15690 ( 17.0) ";"<0.001";"";" 0.050"
"cancer_dx_prostate = 1 (%)";" 3196 (  9.4) ";"11338 ( 12.3) ";"<0.001";"";" 0.093"
"cancer_dx_colorectal = 1 (%)";" 4252 ( 12.5) ";"12125 ( 13.1) ";" 0.003";"";" 0.019"
"cancer_dx_lung = 1 (%)";" 2458 (  7.2) ";" 5198 (  5.6) ";"<0.001";"";" 0.065"
"cancer_dx_head_neck = 1 (%)";" 1023 (  3.0) ";" 2703 (  2.9) ";" 0.476";"";" 0.005"
"cancer_dx_endometrium = 1 (%)";"  630 (  1.9) ";" 1929 (  2.1) ";" 0.008";"";" 0.017"
"cancer_dx_cervix_uterus = 1 (%)";"  864 (  2.5) ";" 1835 (  2.0) ";"<0.001";"";" 0.037"
"cancer_dx_bladder = 1 (%)";" 2698 (  7.9) ";" 8209 (  8.9) ";"<0.001";"";" 0.035"
"cancer_dx_liver_biliary = 1 (%)";"  851 (  2.5) ";" 1653 (  1.8) ";"<0.001";"";" 0.049"
"cancer_dx_melanoma = 1 (%)";" 1198 (  3.5) ";" 3597 (  3.9) ";" 0.002";"";" 0.020"
"cancer_dx_pancreas = 1 (%)";"  749 (  2.2) ";" 1342 (  1.5) ";"<0.001";"";" 0.056"
"cancer_dx_kidney = 1 (%)";" 1081 (  3.2) ";" 3382 (  3.7) ";"<0.001";"";" 0.027"
"cancer_dx_gastric = 1 (%)";"  709 (  2.1) ";" 1502 (  1.6) ";"<0.001";"";" 0.034"
"cancer_dx_esophagus = 1 (%)";"  230 (  0.7) ";"  477 (  0.5) ";" 0.001";"";" 0.021"
"cancer_dx_testis = 1 (%)";"  357 (  1.0) ";"  607 (  0.7) ";"<0.001";"";" 0.043"
"cancer_dx_thyroid = 1 (%)";"  760 (  2.2) ";" 1667 (  1.8) ";"<0.001";"";" 0.030"
"cancer_dx_CNS = 1 (%)";"  526 (  1.5) ";"  912 (  1.0) ";"<0.001";"";" 0.050"
"cancer_dx_neuroendocrine = 1 (%)";"  164 (  0.5) ";"  429 (  0.5) ";" 0.725";"";" 0.003"
