"Overall"
"n";"126419"
"matched_vac = 1 (%)";" 92372 ( 73.1) "
"matched_control = 1 (%)";" 52684 ( 41.7) "
"matched_any = 1 (%)";" 92372 ( 73.1) "
"age (mean (SD))";" 64.14 (16.17)"
"age_group (%)";""
"   18-49";" 24192 ( 19.1) "
"   50-59";" 21476 ( 17.0) "
"   60-69";" 29835 ( 23.6) "
"   70-79";" 30270 ( 23.9) "
"   80-115";" 20646 ( 16.3) "
"gender_concept_id = F (%)";" 64664 ( 51.2) "
"medea_group_2001 (%)";""
"   0N";" 16787 ( 13.3) "
"   R";" 19159 ( 15.2) "
"   U1";" 19755 ( 15.6) "
"   U2";" 18779 ( 14.9) "
"   U3";" 18225 ( 14.4) "
"   U4";" 17888 ( 14.1) "
"   U5";" 15826 ( 12.5) "
"aga_name (%)";""
"   Alt Camp i Conca de Barberà";"  1185 (  0.9) "
"   Alt Empordà";"  2228 (  1.8) "
"   Alt Maresme";"  1772 (  1.4) "
"   Alt Penedès";"  1927 (  1.5) "
"   Alt Urgell";"   457 (  0.4) "
"   Alta Ribagorça";"   103 (  0.1) "
"   Altebrat";"   827 (  0.7) "
"   Anoia";"  2000 (  1.6) "
"   Bages i Solsonès";"  3664 (  2.9) "
"   Baix Camp i Priorat";"  2427 (  1.9) "
"   Baix Ebre";"  1797 (  1.4) "
"   Baix Empordà";"   777 (  0.6) "
"   Baix Llobregat Centre i Fontsanta -L'H N";"  7993 (  6.3) "
"   Baix Llobregat Litoral i Sant Boi";"  2587 (  2.0) "
"   Baix Llobregat Litoral i Viladecans";"  3448 (  2.7) "
"   Baix Llobregat Nord";"  2634 (  2.1) "
"   Baix Montseny";"  1198 (  0.9) "
"   Baix Penedès";"    42 (  0.0) "
"   Baix Vallès";"  3587 (  2.8) "
"   Barcelona Dreta";"  6228 (  4.9) "
"   Barcelona Esquerra";"  8877 (  7.0) "
"   Barcelona Litoral Mar";"  5609 (  4.4) "
"   Barcelona Nord";"  8945 (  7.1) "
"   Barcelonès Nord i Baix Maresme";"  6998 (  5.5) "
