"0";"1";"p";"test"
"n";"92372";"92372";"";""
"outcome_covid_status (%)";"";"";"<0.001";""
"   0";"87959 (95.2) ";"89589 (97.0) ";"";""
"   1";" 2464 ( 2.7) ";"  710 ( 0.8) ";"";""
"   2";" 1949 ( 2.1) ";" 2073 ( 2.2) ";"";""
"outcome_hosp_status (%)";"";"";"<0.001";""
"   0";"89473 (96.9) ";"91409 (99.0) ";"";""
"   1";" 2534 ( 2.7) ";"  750 ( 0.8) ";"";""
"   2";"  365 ( 0.4) ";"  213 ( 0.2) ";"";""
"outcome_hosp_severe_status (%)";"";"";"<0.001";""
"   0";"89749 (97.2) ";"91556 (99.1) ";"";""
"   1";" 2573 ( 2.8) ";"  785 ( 0.8) ";"";""
"   2";"   50 ( 0.1) ";"   31 ( 0.0) ";"";""
"outcome_death_status (%)";"";"";"<0.001";""
"   0";"89785 (97.2) ";"91574 (99.1) ";"";""
"   1";" 2464 ( 2.7) ";"  710 ( 0.8) ";"";""
"   2";"  123 ( 0.1) ";"   88 ( 0.1) ";"";""
"outcome_hosp_death_status (%)";"";"";"<0.001";""
"   0";"89473 (96.9) ";"91409 (99.0) ";"";""
"   1";" 2464 ( 2.7) ";"  710 ( 0.8) ";"";""
"   2";"  435 ( 0.5) ";"  253 ( 0.3) ";"";""
"outcome_covid_time (median [IQR])";"27.00 [8.00, 114.00]";"28.00 [8.00, 131.25]";"<0.001";"nonnorm"
"outcome_hosp_time (median [IQR])";"28.00 [8.00, 116.00]";"29.00 [8.00, 135.00]";"<0.001";"nonnorm"
"outcome_hosp_severe_time (median [IQR])";"28.00 [8.00, 116.00]";"29.00 [8.00, 135.00]";"<0.001";"nonnorm"
"outcome_death_time (median [IQR])";"28.00 [8.00, 117.00]";"29.00 [8.00, 135.00]";"<0.001";"nonnorm"
"outcome_hosp_death_time (median [IQR])";"28.00 [8.00, 116.00]";"29.00 [8.00, 135.00]";"<0.001";"nonnorm"
"tx_group (mean (SD))";" 0.00 (0.00)";" 1.00 (0.00)";"<0.001";""
