"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"Age < 60";"-0.0856767816";"0.07299538";"Inf";"-0.247858761";" 0.0765051981";"V1 14D+";"no-vax";"1262";" 65808";"2705287.0";" 255";" 40612";" 572813";"89305.98";"89337.48";"353997";"2.388892e-16";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age < 60";"-0.3554429511";"0.05722376";"Inf";"-0.482583367";"-0.2283025347";"V2 7D+";"no-vax";"1262";" 65808";"2705287.0";" 451";" 19749";"1468010";"89305.98";"89337.48";"353997";"2.388892e-16";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age 60+";" 0.1026116220";"0.07275946";"Inf";"-0.059046185";" 0.2642694284";"V1 14D+";"no-vax";"1083";"133072";"4392656.0";" 267";" 60932";" 909458";"89305.98";"89337.48";"353997";"2.388892e-16";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age 60+";" 0.2615480790";"0.05172882";"Inf";" 0.146616373";" 0.3764797853";"V2 7D+";"no-vax";"1083";"133072";"4392656.0";" 704";" 33824";"2445829";"89305.98";"89337.48";"353997";"2.388892e-16";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age < 65";"-0.1497301403";"0.06410570";"Inf";"-0.292160938";"-0.0072993428";"V1 14D+";"no-vax";"1537";" 89373";"3625500.0";" 337";" 52349";" 876422";"89352.24";"89383.73";"353997";"1.126331e-13";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age < 65";"-0.2461960431";"0.05170899";"Inf";"-0.361083670";"-0.1313084158";"V2 7D+";"no-vax";"1537";" 89373";"3625500.0";" 573";" 25945";"1877140";"89352.24";"89383.73";"353997";"1.126331e-13";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age 65+";" 0.1958935296";"0.08636150";"Inf";" 0.004014536";" 0.3877725227";"V1 14D+";"no-vax";" 808";"109507";"3472443.0";" 185";" 49195";" 605849";"89352.24";"89383.73";"353997";"1.126331e-13";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age 65+";" 0.3064599628";"0.05732400";"Inf";" 0.179096819";" 0.4338231062";"V2 7D+";"no-vax";" 808";"109507";"3472443.0";" 582";" 27628";"2036699";"89352.24";"89383.73";"353997";"1.126331e-13";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age < 70";"-0.0895200128";"0.05856059";"Inf";"-0.219630619";" 0.0405905933";"V1 14D+";"no-vax";"1712";"115481";"4537234.0";" 421";" 65009";"1150501";"89461.13";"89492.63";"353997";"1.080176e-06";"age_bin_70"
"(V2 7D+) - (no-vax)";"Age < 70";"-0.1471146590";"0.04848308";"Inf";"-0.254834923";"-0.0393943950";"V2 7D+";"no-vax";"1712";"115481";"4537234.0";" 679";" 32108";"2274406";"89461.13";"89492.63";"353997";"1.080176e-06";"age_bin_70"
