"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"Age < 60";" -1.230484875";"  0.3318651";"Inf";"   -1.9678266";"-4.931431e-01";"V1 14D+";"no-vax";"138";" 65873";"2731437.0";" 10";" 40978";" 582245";"12731.68";"12753.48";"355385";"5.442561e-05";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age < 60";" -1.457416419";"  0.2411280";"Inf";"   -1.9931575";"-9.216753e-01";"V2 7D+";"no-vax";"138";" 65873";"2731437.0";" 20";" 20008";"1493377";"12731.68";"12753.48";"355385";"5.442561e-05";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age 60+";" -0.343118848";"  0.1644921";"Inf";"   -0.7085893";" 2.235161e-02";"V1 14D+";"no-vax";"262";"133224";"4428776.0";" 49";" 61154";" 915127";"12731.68";"12753.48";"355385";"5.442561e-05";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age 60+";" -0.478555152";"  0.1226961";"Inf";"   -0.7511629";"-2.059474e-01";"V2 7D+";"no-vax";"262";"133224";"4428776.0";" 99";" 34148";"2478811";"12731.68";"12753.48";"355385";"5.442561e-05";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age < 65";" -1.024330727";"  0.2394015";"Inf";"   -1.5562357";"-4.924258e-01";"V1 14D+";"no-vax";"194";" 89450";"3657160.0";" 20";" 52777";" 888122";"12729.29";"12751.09";"355385";"5.889980e-06";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age < 65";" -1.363504762";"  0.2014420";"Inf";"   -1.8110709";"-9.159387e-01";"V2 7D+";"no-vax";"194";" 89450";"3657160.0";" 29";" 26258";"1906973";"12729.29";"12751.09";"355385";"5.889980e-06";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age 65+";" -0.121410075";"  0.1857019";"Inf";"   -0.5340047";" 2.911846e-01";"V1 14D+";"no-vax";"206";"109647";"3503053.0";" 39";" 49355";" 609250";"12729.29";"12751.09";"355385";"5.889980e-06";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age 65+";" -0.411932290";"  0.1305603";"Inf";"   -0.7020127";"-1.218518e-01";"V2 7D+";"no-vax";"206";"109647";"3503053.0";" 90";" 27898";"2065215";"12729.29";"12751.09";"355385";"5.889980e-06";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age < 70";" -0.700867705";"  0.1893720";"Inf";"   -1.1216166";"-2.801188e-01";"V1 14D+";"no-vax";"227";"115568";"4572811.0";" 34";" 65477";"1163826";"12725.28";"12747.08";"355385";"2.644792e-03";"age_bin_70"
"(V2 7D+) - (no-vax)";"Age < 70";" -1.119120715";"  0.1709364";"Inf";"   -1.4989093";"-7.393322e-01";"V2 7D+";"no-vax";"227";"115568";"4572811.0";" 42";" 32462";"2307622";"12725.28";"12747.08";"355385";"2.644792e-03";"age_bin_70"
"(V1 14D+) - (no-vax)";"Age 70+";" -0.033737942";"  0.2313118";"Inf";"   -0.5476691";" 4.801932e-01";"V1 14D+";"no-vax";"173";" 83529";"2587402.0";" 25";" 36655";" 333546";"12725.28";"12747.08";"355385";"2.644792e-03";"age_bin_70"
"(V2 7D+) - (no-vax)";"Age 70+";" -0.497790172";"  0.1405543";"Inf";"   -0.8100754";"-1.855050e-01";"V2 7D+";"no-vax";"173";" 83529";"2587402.0";" 77";" 21694";"1664566";"12725.28";"12747.08";"355385";"2.644792e-03";"age_bin_70"
"(V1 14D+) - (no-vax)";"Age < 75";" -0.655854196";"  0.1739030";"Inf";"   -1.0422340";"-2.694744e-01";"V1 14D+";"no-vax";"278";"143157";"5389004.0";" 41";" 76926";"1294499";"12733.13";"12754.92";"355385";"4.187710e-03";"age_bin_75"
"(V2 7D+) - (no-vax)";"Age < 75";" -1.006313272";"  0.1468112";"Inf";"   -1.3325002";"-6.801263e-01";"V2 7D+";"no-vax";"278";"143157";"5389004.0";" 59";" 38709";"2769946";"12733.13";"12754.92";"355385";"4.187710e-03";"age_bin_75"
"(V1 14D+) - (no-vax)";"Age 75+";"  0.108330580";"  0.2723754";"Inf";"   -0.4968363";" 7.134975e-01";"V1 14D+";"no-vax";"122";" 55940";"1771209.0";" 18";" 25206";" 202873";"12733.13";"12754.92";"355385";"4.187710e-03";"age_bin_75"
"(V2 7D+) - (no-vax)";"Age 75+";" -0.440818938";"  0.1607688";"Inf";"   -0.7980169";"-8.362101e-02";"V2 7D+";"no-vax";"122";" 55940";"1771209.0";" 60";" 15447";"1202242";"12733.13";"12754.92";"355385";"4.187710e-03";"age_bin_75"
"(V1 14D+) - (no-vax)";"Age < 80";" -0.667980191";"  0.1649862";"Inf";"   -1.0345484";"-3.014120e-01";"V1 14D+";"no-vax";"334";"167203";"6071702.0";" 46";" 86090";"1373477";"12754.03";"12775.83";"355385";"1.494149e-03";"age_bin_80"
"(V2 7D+) - (no-vax)";"Age < 80";" -0.912931497";"  0.1284536";"Inf";"   -1.1983313";"-6.275317e-01";"V2 7D+";"no-vax";"334";"167203";"6071702.0";" 80";" 44302";"3210458";"12754.03";"12775.83";"355385";"1.494149e-03";"age_bin_80"
"(V1 14D+) - (no-vax)";"Age 80+";"  0.398769002";"  0.3218827";"Inf";"   -0.3163937";" 1.113932e+00";"V1 14D+";"no-vax";" 66";" 31894";"1088511.0";" 13";" 16042";" 123895";"12754.03";"12775.83";"355385";"1.494149e-03";"age_bin_80"
"(V2 7D+) - (no-vax)";"Age 80+";" -0.273241163";"  0.2044831";"Inf";"   -0.7275640";" 1.810817e-01";"V2 7D+";"no-vax";" 66";" 31894";"1088511.0";" 39";"  9854";" 761730";"12754.03";"12775.83";"355385";"1.494149e-03";"age_bin_80"
"(V1 14D+) - (no-vax)";"Age < 85";" -0.581901679";"  0.1558699";"Inf";"   -0.9282152";"-2.355881e-01";"V1 14D+";"no-vax";"363";"183873";"6622306.0";" 53";" 94168";"1437185";"12766.77";"12788.57";"355385";"1.190062e-01";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age < 85";" -0.809653088";"  0.1182140";"Inf";"   -1.0723022";"-5.470039e-01";"V2 7D+";"no-vax";"363";"183873";"6622306.0";" 98";" 49301";"3587918";"12766.77";"12788.57";"355385";"1.190062e-01";"age_bin_85"
"(V1 14D+) - (no-vax)";"Age 85+";"  0.190792990";"  0.4530572";"Inf";"   -0.8158149";" 1.197401e+00";"V1 14D+";"no-vax";" 37";" 15224";" 537907.0";"  6";"  7964";"  60187";"12766.77";"12788.57";"355385";"1.190062e-01";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age 85+";" -0.322171235";"  0.2751231";"Inf";"   -0.9334430";" 2.891005e-01";"V2 7D+";"no-vax";" 37";" 15224";" 537907.0";" 21";"  4855";" 384270";"12766.77";"12788.57";"355385";"1.190062e-01";"age_bin_85"
"(V1 14D+) - (no-vax)";"M";" -0.504033567";"  0.1920016";"Inf";"   -0.9306250";"-7.744216e-02";"V1 14D+";"no-vax";"220";" 97784";"3326774.0";" 34";" 47300";" 690705";"12750.14";"12771.94";"355385";"1.853320e-01";"gender_concept_id"
"(V2 7D+) - (no-vax)";"M";" -0.574217788";"  0.1364184";"Inf";"   -0.8773137";"-2.711219e-01";"V2 7D+";"no-vax";"220";" 97784";"3326774.0";" 77";" 25323";"1854909";"12750.14";"12771.94";"355385";"1.853320e-01";"gender_concept_id"
"(V1 14D+) - (no-vax)";"F";" -0.604320460";"  0.2198662";"Inf";"   -1.0928218";"-1.158192e-01";"V1 14D+";"no-vax";"180";"101313";"3833439.0";" 25";" 54832";" 806667";"12750.14";"12771.94";"355385";"1.853320e-01";"gender_concept_id"
"(V2 7D+) - (no-vax)";"F";" -0.967779567";"  0.1741675";"Inf";"   -1.3547471";"-5.808121e-01";"V2 7D+";"no-vax";"180";"101313";"3833439.0";" 42";" 28833";"2117279";"12750.14";"12771.94";"355385";"1.853320e-01";"gender_concept_id"
"(V1 14D+) - (no-vax)";"Other VOC";" -0.549902446";"  0.1493490";"Inf";"   -0.8817277";"-2.180772e-01";"V1 14D+";"no-vax";"390";"184744";"6640553.0";" 59";"101531";"1485285";"12777.38";"12794.82";"355385";"1.450221e-01";"covid_voc"
"(V2 7D+) - (no-vax)";"Other VOC";" -0.783050489";"  0.1139771";"Inf";"   -1.0362861";"-5.298149e-01";"V2 7D+";"no-vax";"390";"184744";"6640553.0";"107";" 38241";"3375654";"12777.38";"12794.82";"355385";"1.450221e-01";"covid_voc"
