"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"Age < 60";" -0.7940336";"1.666718e-01";"Inf";"-1.164347e+00";"  -0.42372013";"V1 14D+";"no-vax";" 361";" 65884";"2740771.0";" 41";" 41001";" 583882";"68384.72";"68415.04";"355610";"1.370325e-01";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age < 60";" -1.0983443";"1.298113e-01";"Inf";"-1.386761e+00";"  -0.80992802";"V2 7D+";"no-vax";" 361";" 65884";"2740771.0";" 72";" 20039";"1496374";"68384.72";"68415.04";"355610";"1.370325e-01";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age 60+";" -1.1586311";"8.473636e-02";"Inf";"-1.346899e+00";"  -0.97036282";"V1 14D+";"no-vax";"2135";"133280";"4443239.0";"164";" 61191";" 917262";"68384.72";"68415.04";"355610";"1.370325e-01";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age 60+";" -1.2024661";"5.627690e-02";"Inf";"-1.327503e+00";"  -1.07742945";"V2 7D+";"no-vax";"2135";"133280";"4443239.0";"401";" 34215";"2486317";"68384.72";"68415.04";"355610";"1.370325e-01";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age < 65";" -0.9836173";"1.284583e-01";"Inf";"-1.269028e+00";"  -0.69820714";"V1 14D+";"no-vax";" 656";" 89469";"3669402.0";" 69";" 52806";" 890445";"68425.94";"68456.26";"355610";"4.085712e-01";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age < 65";" -1.1052049";"9.857774e-02";"Inf";"-1.324226e+00";"  -0.88618370";"V2 7D+";"no-vax";" 656";" 89469";"3669402.0";"125";" 26294";"1910860";"68425.94";"68456.26";"355610";"4.085712e-01";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age 65+";" -1.0252456";"9.330650e-02";"Inf";"-1.232555e+00";"  -0.81793613";"V1 14D+";"no-vax";"1840";"109695";"3514608.0";"136";" 49386";" 610699";"68425.94";"68456.26";"355610";"4.085712e-01";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age 65+";" -1.2581767";"6.008791e-02";"Inf";"-1.391681e+00";"  -1.12467268";"V2 7D+";"no-vax";"1840";"109695";"3514608.0";"348";" 27960";"2071831";"68425.94";"68456.26";"355610";"4.085712e-01";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age < 70";" -1.1548531";"1.104787e-01";"Inf";"-1.400316e+00";"  -0.90939013";"V1 14D+";"no-vax";"1009";"115591";"4587420.0";" 93";" 65511";"1166586";"68468.69";"68499.01";"355610";"3.020587e-03";"age_bin_70"
"(V2 7D+) - (no-vax)";"Age < 70";" -1.1763099";"8.332451e-02";"Inf";"-1.361441e+00";"  -0.99117853";"V2 7D+";"no-vax";"1009";"115591";"4587420.0";"174";" 32511";"2312471";"68468.69";"68499.01";"355610";"3.020587e-03";"age_bin_70"
