"0";"1";"p";"test"
"n";"87137";"87034";"";""
"outcome_covid_status (%)";"";"";"<0.001";""
"   0";"82873 (95.1) ";"84365 (96.9) ";"";""
"   1";" 2429 ( 2.8) ";"  696 ( 0.8) ";"";""
"   2";" 1835 ( 2.1) ";" 1973 ( 2.3) ";"";""
"outcome_hosp_status (%)";"";"";"<0.001";""
"   0";"84287 (96.7) ";"86091 (98.9) ";"";""
"   1";" 2496 ( 2.9) ";"  735 ( 0.8) ";"";""
"   2";"  354 ( 0.4) ";"  208 ( 0.2) ";"";""
"outcome_hosp_severe_status (%)";"";"";"<0.001";""
"   0";"84559 (97.0) ";"86234 (99.1) ";"";""
"   1";" 2532 ( 2.9) ";"  770 ( 0.9) ";"";""
"   2";"   46 ( 0.1) ";"   30 ( 0.0) ";"";""
"outcome_death_status (%)";"";"";"<0.001";""
"   0";"84591 (97.1) ";"86251 (99.1) ";"";""
"   1";" 2429 ( 2.8) ";"  696 ( 0.8) ";"";""
"   2";"  117 ( 0.1) ";"   87 ( 0.1) ";"";""
"outcome_hosp_death_status (%)";"";"";"<0.001";""
"   0";"84287 (96.7) ";"86091 (98.9) ";"";""
"   1";" 2429 ( 2.8) ";"  696 ( 0.8) ";"";""
"   2";"  421 ( 0.5) ";"  247 ( 0.3) ";"";""
"outcome_covid_time (median [IQR])";"28.00 [8.00, 114.00]";"28.00 [8.00, 131.00]";"<0.001";"nonnorm"
"outcome_hosp_time (median [IQR])";"28.00 [8.00, 116.00]";"29.00 [8.00, 134.00]";"<0.001";"nonnorm"
"outcome_hosp_severe_time (median [IQR])";"28.00 [8.00, 117.00]";"29.00 [8.00, 135.00]";"<0.001";"nonnorm"
"outcome_death_time (median [IQR])";"28.00 [8.00, 117.00]";"29.00 [8.00, 135.00]";"<0.001";"nonnorm"
"outcome_hosp_death_time (median [IQR])";"28.00 [8.00, 117.00]";"29.00 [8.00, 135.00]";"<0.001";"nonnorm"
"tx_group (mean (SD))";" 0.00 (0.00)";" 1.00 (0.00)";"<0.001";""
