"level";"0";"1";"p";"test"
"n";"";"92372";"92372";"";""
"outcome_covid_status (%)";"0";"88367 (95.7) ";"90122 (97.6) ";"<0.001";""
"";"1";" 2505 ( 2.7) ";"  729 ( 0.8) ";"";""
"";"2";" 1500 ( 1.6) ";" 1521 ( 1.6) ";"";""
"outcome_hosp_status (%)";"0";"89482 (96.9) ";"91409 (99.0) ";"<0.001";""
"";"1";" 2531 ( 2.7) ";"  750 ( 0.8) ";"";""
"";"2";"  359 ( 0.4) ";"  213 ( 0.2) ";"";""
"outcome_hosp_severe_status (%)";"0";"89753 (97.2) ";"91556 (99.1) ";"<0.001";""
"";"1";" 2569 ( 2.8) ";"  785 ( 0.8) ";"";""
"";"2";"   50 ( 0.1) ";"   31 ( 0.0) ";"";""
"outcome_death_status (%)";"0";"89789 (97.2) ";"91574 (99.1) ";"<0.001";""
"";"1";" 2511 ( 2.7) ";"  735 ( 0.8) ";"";""
"";"2";"   72 ( 0.1) ";"   63 ( 0.1) ";"";""
"outcome_hosp_death_status (%)";"0";"89482 (96.9) ";"91409 (99.0) ";"<0.001";""
"";"1";" 2505 ( 2.7) ";"  729 ( 0.8) ";"";""
"";"2";"  385 ( 0.4) ";"  234 ( 0.3) ";"";""
"outcome_covid_time (median [IQR])";"";"28.00 [8.00, 116.00]";"28.00 [8.00, 133.00]";"<0.001";"nonnorm"
"outcome_hosp_time (median [IQR])";"";"28.00 [8.00, 117.00]";"29.00 [8.00, 135.00]";"<0.001";"nonnorm"
"outcome_hosp_severe_time (median [IQR])";"";"28.00 [8.00, 118.00]";"29.00 [8.00, 136.00]";"<0.001";"nonnorm"
"outcome_death_time (median [IQR])";"";"28.00 [8.00, 118.00]";"29.00 [8.00, 136.00]";"<0.001";"nonnorm"
"outcome_hosp_death_time (median [IQR])";"";"28.00 [8.00, 117.00]";"29.00 [8.00, 135.00]";"<0.001";"nonnorm"
"tx_group (mean (SD))";"";" 0.00 (0.00)";" 1.00 (0.00)";"<0.001";""
