"level";"0";"1";"p";"test"
"n";"";"92372";"92372";"";""
"age (mean (SD))";"";"64.80 (15.12)";"64.89 (15.14)";" 0.223";""
"age_group (%)";"18-49";"15521 ( 16.8) ";"15521 ( 16.8) ";" 1.000";""
"";"50-59";"15805 ( 17.1) ";"15805 ( 17.1) ";"";""
"";"60-69";"22831 ( 24.7) ";"22831 ( 24.7) ";"";""
"";"70-79";"23728 ( 25.7) ";"23728 ( 25.7) ";"";""
"";"80-115";"14487 ( 15.7) ";"14487 ( 15.7) ";"";""
"gender_concept_id (%)";"M";"45355 ( 49.1) ";"45355 ( 49.1) ";" 1.000";""
"";"F";"47017 ( 50.9) ";"47017 ( 50.9) ";"";""
"medea_group_2001 (%)";"0N";"11119 ( 12.0) ";"10459 ( 11.3) ";"<0.001";""
"";"R";"13519 ( 14.6) ";"13765 ( 14.9) ";"";""
"";"U1";"14099 ( 15.3) ";"15154 ( 16.4) ";"";""
"";"U2";"13920 ( 15.1) ";"14353 ( 15.5) ";"";""
"";"U3";"13600 ( 14.7) ";"13624 ( 14.7) ";"";""
"";"U4";"13723 ( 14.9) ";"13448 ( 14.6) ";"";""
"";"U5";"12392 ( 13.4) ";"11569 ( 12.5) ";"";""
"aga_name (%)";"Alt Camp i Conca de Barberà";"  769 (  0.8) ";"  769 (  0.8) ";" 1.000";""
"";"Alt Empordà";" 1593 (  1.7) ";" 1593 (  1.7) ";"";""
"";"Alt Maresme";" 1213 (  1.3) ";" 1213 (  1.3) ";"";""
"";"Alt Penedès";" 1372 (  1.5) ";" 1372 (  1.5) ";"";""
"";"Alt Urgell";"  214 (  0.2) ";"  214 (  0.2) ";"";""
"";"Alta Ribagorça";"   18 (  0.0) ";"   18 (  0.0) ";"";""
"";"Altebrat";"  522 (  0.6) ";"  522 (  0.6) ";"";""
"";"Anoia";" 1365 (  1.5) ";" 1365 (  1.5) ";"";""
"";"Bages i Solsonès";" 2709 (  2.9) ";" 2709 (  2.9) ";"";""
"";"Baix Camp i Priorat";" 1764 (  1.9) ";" 1764 (  1.9) ";"";""
"";"Baix Ebre";" 1268 (  1.4) ";" 1268 (  1.4) ";"";""
"";"Baix Empordà";"  450 (  0.5) ";"  450 (  0.5) ";"";""
"";"Baix Llobregat Centre i Fontsanta -L'H N";" 6198 (  6.7) ";" 6198 (  6.7) ";"";""
"";"Baix Llobregat Litoral i Sant Boi";" 1908 (  2.1) ";" 1908 (  2.1) ";"";""
"";"Baix Llobregat Litoral i Viladecans";" 2554 (  2.8) ";" 2554 (  2.8) ";"";""
"";"Baix Llobregat Nord";" 1904 (  2.1) ";" 1904 (  2.1) ";"";""
"";"Baix Montseny";"  765 (  0.8) ";"  765 (  0.8) ";"";""
"";"Baix Penedès";"    4 (  0.0) ";"    4 (  0.0) ";"";""
"";"Baix Vallès";" 2750 (  3.0) ";" 2750 (  3.0) ";"";""
"";"Barcelona Dreta";" 4691 (  5.1) ";" 4691 (  5.1) ";"";""
"";"Barcelona Esquerra";" 6709 (  7.3) ";" 6709 (  7.3) ";"";""
"";"Barcelona Litoral Mar";" 4064 (  4.4) ";" 4064 (  4.4) ";"";""
"";"Barcelona Nord";" 6736 (  7.3) ";" 6736 (  7.3) ";"";""
"";"Barcelonès Nord i Baix Maresme";" 5184 (  5.6) ";" 5184 (  5.6) ";"";""
"";"Berguedà";"  567 (  0.6) ";"  567 (  0.6) ";"";""
"";"Garraf";" 2288 (  2.5) ";" 2288 (  2.5) ";"";""
"";"Garrotxa";"  515 (  0.6) ";"  515 (  0.6) ";"";""
"";"Gironès Nord i Pla de l'Estany";" 2218 (  2.4) ";" 2218 (  2.4) ";"";""
"";"Gironès Sud i Selva Interior";" 1224 (  1.3) ";" 1224 (  1.3) ";"";""
"";"L'Hospitalet Sud i el Prat de Llobregat";" 3652 (  4.0) ";" 3652 (  4.0) ";"";""
"";"Lleida";" 5343 (  5.8) ";" 5343 (  5.8) ";"";""
"";"Maresme Central";" 3368 (  3.6) ";" 3368 (  3.6) ";"";""
"";"Montsià";" 1001 (  1.1) ";" 1001 (  1.1) ";"";""
"";"Osona";" 1633 (  1.8) ";" 1633 (  1.8) ";"";""
"";"Pallars";"  233 (  0.3) ";"  233 (  0.3) ";"";""
"";"Ripollès";"  201 (  0.2) ";"  201 (  0.2) ";"";""
"";"Selva Marítima";"  540 (  0.6) ";"  540 (  0.6) ";"";""
"";"Tarragonès";" 2596 (  2.8) ";" 2596 (  2.8) ";"";""
"";"Vallès Occidental Est";" 6424 (  7.0) ";" 6424 (  7.0) ";"";""
"";"Vallès Occidental Oest";"  381 (  0.4) ";"  381 (  0.4) ";"";""
"";"Vallès Oriental Central";" 3434 (  3.7) ";" 3434 (  3.7) ";"";""
"";NA;"   30 (  0.0) ";"   30 (  0.0) ";"";""
"vac_concept_id_1 (%)";"Pfizer-mRNA-BNT162b";"42580 ( 46.1) ";"54266 ( 58.7) ";"<0.001";""
"";"Moderna-mRNA-1273";" 9801 ( 10.6) ";"17375 ( 18.8) ";"";""
"";"AZ-ChAdOx1";"10066 ( 10.9) ";"17319 ( 18.7) ";"";""
"";"Jansen-Ad26";" 4500 (  4.9) ";" 3412 (  3.7) ";"";""
"";NA;"25425 ( 27.5) ";"    0 (  0.0) ";"";""
"vac_concept_id_2 (%)";"Pfizer-mRNA-BNT162b";"41805 ( 45.3) ";"54101 ( 58.6) ";"   NaN";""
"";"Moderna-mRNA-1273";" 9423 ( 10.2) ";"17037 ( 18.4) ";"";""
"";"AZ-ChAdOx1";" 9761 ( 10.6) ";"16820 ( 18.2) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"";NA;"31383 ( 34.0) ";" 4414 (  4.8) ";"";""
"vac_concept_id_3 (%)";"Pfizer-mRNA-BNT162b";" 7179 (  7.8) ";"12706 ( 13.8) ";"   NaN";""
"";"Moderna-mRNA-1273";" 3102 (  3.4) ";" 7363 (  8.0) ";"";""
"";"AZ-ChAdOx1";"    2 (  0.0) ";"    2 (  0.0) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"";NA;"82089 ( 88.9) ";"72301 ( 78.3) ";"";""
"vac_scheme (%)";"AZ-ChAdOx1-AZ-ChAdOx1";" 9760 ( 10.6) ";"16819 ( 18.2) ";"<0.001";""
"";"AZ-ChAdOx1-Moderna-mRNA-1273";"    1 (  0.0) ";"    5 (  0.0) ";"";""
"";"AZ-ChAdOx1-NA";"  221 (  0.2) ";"  239 (  0.3) ";"";""
"";"AZ-ChAdOx1-Pfizer-mRNA-BNT162b";"   84 (  0.1) ";"  256 (  0.3) ";"";""
"";"Jansen-Ad26-Moderna-mRNA-1273";"   72 (  0.1) ";"   75 (  0.1) ";"";""
"";"Jansen-Ad26-NA";" 4079 (  4.4) ";" 2967 (  3.2) ";"";""
"";"Jansen-Ad26-Pfizer-mRNA-BNT162b";"  349 (  0.4) ";"  370 (  0.4) ";"";""
"";"Moderna-mRNA-1273-AZ-ChAdOx1";"    1 (  0.0) ";"    1 (  0.0) ";"";""
"";"Moderna-mRNA-1273-Moderna-mRNA-1273";" 9341 ( 10.1) ";"16946 ( 18.3) ";"";""
"";"Moderna-mRNA-1273-NA";"  456 (  0.5) ";"  419 (  0.5) ";"";""
"";"Moderna-mRNA-1273-Pfizer-mRNA-BNT162b";"    3 (  0.0) ";"    9 (  0.0) ";"";""
"";"NA-NA";"25425 ( 27.5) ";"    0 (  0.0) ";"";""
"";"Pfizer-mRNA-BNT162b-Moderna-mRNA-1273";"    9 (  0.0) ";"   11 (  0.0) ";"";""
"";"Pfizer-mRNA-BNT162b-NA";" 1202 (  1.3) ";"  789 (  0.9) ";"";""
"";"Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"41369 ( 44.8) ";"53466 ( 57.9) ";"";""
"vac_heterologous (mean (SD))";"";" 0.35 (0.48)";" 0.06 (0.23)";"<0.001";""
"cancer_diagnosis_time (%)";"0";"23985 ( 26.0) ";"23985 ( 26.0) ";" 1.000";""
"";"1";"18775 ( 20.3) ";"18775 ( 20.3) ";"";""
"";"2";"17554 ( 19.0) ";"17554 ( 19.0) ";"";""
"";"3";"16285 ( 17.6) ";"16285 ( 17.6) ";"";""
"";"4";"15773 ( 17.1) ";"15773 ( 17.1) ";"";""
"cancer_dx_breast (%)";"0";"77213 ( 83.6) ";"76682 ( 83.0) ";" 0.001";""
"";"1";"15159 ( 16.4) ";"15690 ( 17.0) ";"";""
"cancer_dx_prostate (%)";"0";"81113 ( 87.8) ";"81034 ( 87.7) ";" 0.580";""
"";"1";"11259 ( 12.2) ";"11338 ( 12.3) ";"";""
"cancer_dx_colorectal (%)";"0";"80298 ( 86.9) ";"80247 ( 86.9) ";" 0.730";""
"";"1";"12074 ( 13.1) ";"12125 ( 13.1) ";"";""
"cancer_dx_lung (%)";"0";"86881 ( 94.1) ";"87174 ( 94.4) ";" 0.004";""
"";"1";" 5491 (  5.9) ";" 5198 (  5.6) ";"";""
"cancer_dx_head_neck (%)";"0";"89545 ( 96.9) ";"89669 ( 97.1) ";" 0.093";""
"";"1";" 2827 (  3.1) ";" 2703 (  2.9) ";"";""
"cancer_dx_endometrium (%)";"0";"90331 ( 97.8) ";"90443 ( 97.9) ";" 0.075";""
"";"1";" 2041 (  2.2) ";" 1929 (  2.1) ";"";""
"cancer_dx_cervix_uterus (%)";"0";"90230 ( 97.7) ";"90537 ( 98.0) ";"<0.001";""
"";"1";" 2142 (  2.3) ";" 1835 (  2.0) ";"";""
"cancer_dx_bladder (%)";"0";"84129 ( 91.1) ";"84163 ( 91.1) ";" 0.787";""
"";"1";" 8243 (  8.9) ";" 8209 (  8.9) ";"";""
"cancer_dx_liver_biliary (%)";"0";"90552 ( 98.0) ";"90719 ( 98.2) ";" 0.004";""
"";"1";" 1820 (  2.0) ";" 1653 (  1.8) ";"";""
"cancer_dx_melanoma (%)";"0";"88912 ( 96.3) ";"88775 ( 96.1) ";" 0.099";""
"";"1";" 3460 (  3.7) ";" 3597 (  3.9) ";"";""
"cancer_dx_pancreas (%)";"0";"90916 ( 98.4) ";"91030 ( 98.5) ";" 0.031";""
"";"1";" 1456 (  1.6) ";" 1342 (  1.5) ";"";""
"cancer_dx_kidney (%)";"0";"89093 ( 96.5) ";"88990 ( 96.3) ";" 0.203";""
"";"1";" 3279 (  3.5) ";" 3382 (  3.7) ";"";""
"cancer_dx_gastric (%)";"0";"90715 ( 98.2) ";"90870 ( 98.4) ";" 0.006";""
"";"1";" 1657 (  1.8) ";" 1502 (  1.6) ";"";""
"cancer_dx_esophagus (%)";"0";"91854 ( 99.4) ";"91895 ( 99.5) ";" 0.204";""
"";"1";"  518 (  0.6) ";"  477 (  0.5) ";"";""
"cancer_dx_testis (%)";"0";"91748 ( 99.3) ";"91765 ( 99.3) ";" 0.647";""
"";"1";"  624 (  0.7) ";"  607 (  0.7) ";"";""
"cancer_dx_thyroid (%)";"0";"90594 ( 98.1) ";"90705 ( 98.2) ";" 0.059";""
"";"1";" 1778 (  1.9) ";" 1667 (  1.8) ";"";""
"cancer_dx_CNS (%)";"0";"91470 ( 99.0) ";"91460 ( 99.0) ";" 0.832";""
"";"1";"  902 (  1.0) ";"  912 (  1.0) ";"";""
"cancer_dx_neuroendocrine (%)";"0";"91978 ( 99.6) ";"91943 ( 99.5) ";" 0.235";""
"";"1";"  394 (  0.4) ";"  429 (  0.5) ";"";""
"cancer_dx_sarcomas (%)";"0";"91404 ( 99.0) ";"91452 ( 99.0) ";" 0.277";""
"";"1";"  968 (  1.0) ";"  920 (  1.0) ";"";""
"cancer_dx_leukemia (%)";"0";"90102 ( 97.5) ";"89941 ( 97.4) ";" 0.018";""
"";"1";" 2270 (  2.5) ";" 2431 (  2.6) ";"";""
"cancer_dx_myeloma (%)";"0";"91496 ( 99.1) ";"91241 ( 98.8) ";"<0.001";""
"";"1";"  876 (  0.9) ";" 1131 (  1.2) ";"";""
"cancer_dx_lymphoma (%)";"0";"89402 ( 96.8) ";"89202 ( 96.6) ";" 0.010";""
"";"1";" 2970 (  3.2) ";" 3170 (  3.4) ";"";""
"cancer_dx_other (%)";"0";"90056 ( 97.5) ";"90110 ( 97.6) ";" 0.428";""
"";"1";" 2316 (  2.5) ";" 2262 (  2.4) ";"";""
"cancer_dx_other_2 (%)";"0";"84495 ( 91.5) ";"84483 ( 91.5) ";" 0.927";""
"";"1";" 7877 (  8.5) ";" 7889 (  8.5) ";"";""
"cancer_dx_undefined (%)";"0";"83539 ( 90.4) ";"83423 ( 90.3) ";" 0.364";""
"";"1";" 8833 (  9.6) ";" 8949 (  9.7) ";"";""
"cancer_group_gastro_intestinal (%)";"0";"75005 ( 81.2) ";"75339 ( 81.6) ";" 0.047";""
"";"1";"17367 ( 18.8) ";"17033 ( 18.4) ";"";""
"cancer_group_genito_urinary (%)";"0";"69793 ( 75.6) ";"69709 ( 75.5) ";" 0.653";""
"";"1";"22579 ( 24.4) ";"22663 ( 24.5) ";"";""
"cancer_group_thyroid (%)";"0";"90594 ( 98.1) ";"90705 ( 98.2) ";" 0.059";""
"";"1";" 1778 (  1.9) ";" 1667 (  1.8) ";"";""
"cancer_group_breast (%)";"0";"77213 ( 83.6) ";"76682 ( 83.0) ";" 0.001";""
"";"1";"15159 ( 16.4) ";"15690 ( 17.0) ";"";""
