"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"Age < 60";" -0.99951847";"  0.30491194";"Inf";"   -1.6769754";"-3.220616e-01";"V1 14D+";"no-vax";"142";" 65878";"2737001.0";" 12";" 40987";" 583282";"14970.79";"14993.44";"355455";"0.0004976636";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age < 60";" -1.36714760";"  0.22216713";"Inf";"   -1.8607611";"-8.735341e-01";"V2 7D+";"no-vax";"142";" 65878";"2737001.0";" 24";" 20030";"1495407";"14970.79";"14993.44";"355455";"0.0004976636";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age 60+";" -0.31271306";"  0.15234248";"Inf";"   -0.6511894";" 2.576323e-02";"V1 14D+";"no-vax";"325";"133228";"4432454.0";" 57";" 61160";" 915825";"14970.79";"14993.44";"355455";"0.0004976636";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age 60+";" -0.54921536";"  0.10898336";"Inf";"   -0.7913559";"-3.070749e-01";"V2 7D+";"no-vax";"325";"133228";"4432454.0";"125";" 34172";"2481534";"14970.79";"14993.44";"355455";"0.0004976636";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age < 65";" -0.87016102";"  0.22903673";"Inf";"   -1.3790375";"-3.612845e-01";"V1 14D+";"no-vax";"198";" 89457";"3664020.0";" 22";" 52790";" 889515";"14959.26";"14981.91";"355455";"0.0001707688";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age < 65";" -1.24399254";"  0.18304420";"Inf";"   -1.6506823";"-8.373028e-01";"V2 7D+";"no-vax";"198";" 89457";"3664020.0";" 36";" 26283";"1909617";"14959.26";"14981.91";"355455";"0.0001707688";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age 65+";" -0.10353109";"  0.16899667";"Inf";"   -0.4790099";" 2.719477e-01";"V1 14D+";"no-vax";"269";"109649";"3505435.0";" 47";" 49357";" 609592";"14959.26";"14981.91";"355455";"0.0001707688";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age 65+";" -0.53017306";"  0.11540281";"Inf";"   -0.7865764";"-2.737698e-01";"V2 7D+";"no-vax";"269";"109649";"3505435.0";"113";" 27919";"2067324";"14959.26";"14981.91";"355455";"0.0001707688";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age < 70";" -0.60147961";"  0.18399032";"Inf";"   -1.0102714";"-1.926878e-01";"V1 14D+";"no-vax";"236";"115575";"4580697.0";" 36";" 65492";"1165396";"14935.48";"14958.13";"355455";"0.0070873593";"age_bin_70"
"(V2 7D+) - (no-vax)";"Age < 70";" -1.04520264";"  0.15672900";"Inf";"   -1.3934250";"-6.969803e-01";"V2 7D+";"no-vax";"236";"115575";"4580697.0";" 51";" 32495";"2310752";"14935.48";"14958.13";"355455";"0.0070873593";"age_bin_70"
"(V1 14D+) - (no-vax)";"Age 70+";"  0.07864613";"  0.20387677";"Inf";"   -0.3743297";" 5.316219e-01";"V1 14D+";"no-vax";"231";" 83531";"2588758.0";" 33";" 36655";" 333711";"14935.48";"14958.13";"355455";"0.0070873593";"age_bin_70"
"(V2 7D+) - (no-vax)";"Age 70+";" -0.61496293";"  0.12332667";"Inf";"   -0.8889716";"-3.409543e-01";"V2 7D+";"no-vax";"231";" 83531";"2588758.0";" 98";" 21707";"1666189";"14935.48";"14958.13";"355455";"0.0070873593";"age_bin_70"
"(V1 14D+) - (no-vax)";"Age < 75";" -0.53617495";"  0.16795786";"Inf";"   -0.9093457";"-1.630042e-01";"V1 14D+";"no-vax";"288";"143164";"5397380.0";" 44";" 76941";"1296146";"14931.43";"14954.08";"355455";"0.0150827727";"age_bin_75"
"(V2 7D+) - (no-vax)";"Age < 75";" -0.93566768";"  0.13517982";"Inf";"   -1.2360118";"-6.353236e-01";"V2 7D+";"no-vax";"288";"143164";"5397380.0";" 71";" 38750";"2773605";"14931.43";"14954.08";"355455";"0.0150827727";"age_bin_75"
"(V1 14D+) - (no-vax)";"Age 75+";"  0.21173561";"  0.23551787";"Inf";"   -0.3115407";" 7.350120e-01";"V1 14D+";"no-vax";"179";" 55942";"1772075.0";" 25";" 25206";" 202961";"14931.43";"14954.08";"355455";"0.0150827727";"age_bin_75"
