"level";"0";"1";"p";"test"
"n";"";"88960";"88960";"";""
"outcome_covid_status (%)";"0";"84737 (95.3) ";"86283 (97.0) ";"<0.001";""
"";"1";" 2371 ( 2.7) ";"  695 ( 0.8) ";"";""
"";"2";" 1852 ( 2.1) ";" 1982 ( 2.2) ";"";""
"outcome_hosp_status (%)";"0";"86168 (96.9) ";"88022 (98.9) ";"<0.001";""
"";"1";" 2440 ( 2.7) ";"  733 ( 0.8) ";"";""
"";"2";"  352 ( 0.4) ";"  205 ( 0.2) ";"";""
"outcome_hosp_severe_status (%)";"0";"86433 (97.2) ";"88163 (99.1) ";"<0.001";""
"";"1";" 2478 ( 2.8) ";"  768 ( 0.9) ";"";""
"";"2";"   49 ( 0.1) ";"   29 ( 0.0) ";"";""
"outcome_death_status (%)";"0";"86468 (97.2) ";"88180 (99.1) ";"<0.001";""
"";"1";" 2371 ( 2.7) ";"  695 ( 0.8) ";"";""
"";"2";"  121 ( 0.1) ";"   85 ( 0.1) ";"";""
"outcome_hosp_death_status (%)";"0";"86168 (96.9) ";"88022 (98.9) ";"<0.001";""
"";"1";" 2371 ( 2.7) ";"  695 ( 0.8) ";"";""
"";"2";"  421 ( 0.5) ";"  243 ( 0.3) ";"";""
"outcome_covid_time (median [IQR])";"";"27.00 [8.00, 109.00]";"28.00 [8.00, 127.00]";"<0.001";"nonnorm"
"outcome_hosp_time (median [IQR])";"";"28.00 [8.00, 111.00]";"28.00 [8.00, 130.00]";"<0.001";"nonnorm"
"outcome_hosp_severe_time (median [IQR])";"";"28.00 [8.00, 112.00]";"28.00 [8.00, 131.00]";"<0.001";"nonnorm"
"outcome_death_time (median [IQR])";"";"28.00 [8.00, 112.00]";"28.00 [8.00, 131.00]";"<0.001";"nonnorm"
"outcome_hosp_death_time (median [IQR])";"";"28.00 [8.00, 112.00]";"28.00 [8.00, 131.00]";"<0.001";"nonnorm"
"tx_group (mean (SD))";"";" 0.00 (0.00)";" 1.00 (0.00)";"<0.001";""
