"level";"0";"1";"p";"test"
"n";"";"88960";"88960";"";""
"age (mean (SD))";"";"65.02 (15.12)";"65.11 (15.14)";" 0.215";""
"age_group (%)";"18-49";"14484 ( 16.3) ";"14484 ( 16.3) ";" 1.000";""
"";"50-59";"15394 ( 17.3) ";"15394 ( 17.3) ";"";""
"";"60-69";"21909 ( 24.6) ";"21909 ( 24.6) ";"";""
"";"70-79";"22710 ( 25.5) ";"22710 ( 25.5) ";"";""
"";"80-115";"14463 ( 16.3) ";"14463 ( 16.3) ";"";""
"gender_concept_id (%)";"M";"43624 ( 49.0) ";"43624 ( 49.0) ";" 1.000";""
"";"F";"45336 ( 51.0) ";"45336 ( 51.0) ";"";""
"medea_group_2001 (%)";"0N";"10706 ( 12.0) ";"10093 ( 11.3) ";"<0.001";""
"";"R";"13118 ( 14.7) ";"13345 ( 15.0) ";"";""
"";"U1";"13619 ( 15.3) ";"14773 ( 16.6) ";"";""
"";"U2";"13401 ( 15.1) ";"13867 ( 15.6) ";"";""
"";"U3";"13062 ( 14.7) ";"13072 ( 14.7) ";"";""
"";"U4";"13157 ( 14.8) ";"12862 ( 14.5) ";"";""
"";"U5";"11897 ( 13.4) ";"10948 ( 12.3) ";"";""
"aga_name (%)";"Alt Camp i Conca de Barberà";"  758 (  0.9) ";"  758 (  0.9) ";" 1.000";""
"";"Alt Empordà";" 1536 (  1.7) ";" 1536 (  1.7) ";"";""
"";"Alt Maresme";" 1187 (  1.3) ";" 1187 (  1.3) ";"";""
"";"Alt Penedès";" 1308 (  1.5) ";" 1308 (  1.5) ";"";""
"";"Alt Urgell";"  209 (  0.2) ";"  209 (  0.2) ";"";""
"";"Alta Ribagorça";"   18 (  0.0) ";"   18 (  0.0) ";"";""
"";"Altebrat";"  516 (  0.6) ";"  516 (  0.6) ";"";""
"";"Anoia";" 1318 (  1.5) ";" 1318 (  1.5) ";"";""
"";"Bages i Solsonès";" 2591 (  2.9) ";" 2591 (  2.9) ";"";""
"";"Baix Camp i Priorat";" 1718 (  1.9) ";" 1718 (  1.9) ";"";""
"";"Baix Ebre";" 1235 (  1.4) ";" 1235 (  1.4) ";"";""
"";"Baix Empordà";"  443 (  0.5) ";"  443 (  0.5) ";"";""
"";"Baix Llobregat Centre i Fontsanta -L'H N";" 5953 (  6.7) ";" 5953 (  6.7) ";"";""
"";"Baix Llobregat Litoral i Sant Boi";" 1792 (  2.0) ";" 1792 (  2.0) ";"";""
"";"Baix Llobregat Litoral i Viladecans";" 2433 (  2.7) ";" 2433 (  2.7) ";"";""
"";"Baix Llobregat Nord";" 1845 (  2.1) ";" 1845 (  2.1) ";"";""
"";"Baix Montseny";"  739 (  0.8) ";"  739 (  0.8) ";"";""
"";"Baix Penedès";"    4 (  0.0) ";"    4 (  0.0) ";"";""
"";"Baix Vallès";" 2667 (  3.0) ";" 2667 (  3.0) ";"";""
"";"Barcelona Dreta";" 4559 (  5.1) ";" 4559 (  5.1) ";"";""
"";"Barcelona Esquerra";" 6471 (  7.3) ";" 6471 (  7.3) ";"";""
"";"Barcelona Litoral Mar";" 3823 (  4.3) ";" 3823 (  4.3) ";"";""
"";"Barcelona Nord";" 6315 (  7.1) ";" 6315 (  7.1) ";"";""
"";"Barcelonès Nord i Baix Maresme";" 5035 (  5.7) ";" 5035 (  5.7) ";"";""
"";"Berguedà";"  550 (  0.6) ";"  550 (  0.6) ";"";""
"";"Garraf";" 2184 (  2.5) ";" 2184 (  2.5) ";"";""
"";"Garrotxa";"  499 (  0.6) ";"  499 (  0.6) ";"";""
"";"Gironès Nord i Pla de l'Estany";" 2143 (  2.4) ";" 2143 (  2.4) ";"";""
"";"Gironès Sud i Selva Interior";" 1180 (  1.3) ";" 1180 (  1.3) ";"";""
"";"L'Hospitalet Sud i el Prat de Llobregat";" 3453 (  3.9) ";" 3453 (  3.9) ";"";""
"";"Lleida";" 5238 (  5.9) ";" 5238 (  5.9) ";"";""
"";"Maresme Central";" 3276 (  3.7) ";" 3276 (  3.7) ";"";""
"";"Montsià";"  957 (  1.1) ";"  957 (  1.1) ";"";""
"";"Osona";" 1583 (  1.8) ";" 1583 (  1.8) ";"";""
"";"Pallars";"  230 (  0.3) ";"  230 (  0.3) ";"";""
"";"Ripollès";"  197 (  0.2) ";"  197 (  0.2) ";"";""
"";"Selva Marítima";"  520 (  0.6) ";"  520 (  0.6) ";"";""
"";"Tarragonès";" 2521 (  2.8) ";" 2521 (  2.8) ";"";""
"";"Vallès Occidental Est";" 6237 (  7.0) ";" 6237 (  7.0) ";"";""
"";"Vallès Occidental Oest";"  374 (  0.4) ";"  374 (  0.4) ";"";""
"";"Vallès Oriental Central";" 3316 (  3.7) ";" 3316 (  3.7) ";"";""
"";NA;"   29 (  0.0) ";"   29 (  0.0) ";"";""
"vac_concept_id_1 (%)";"Pfizer-mRNA-BNT162b";"41472 ( 46.6) ";"54266 ( 61.0) ";"<0.001";""
"";"Moderna-mRNA-1273";" 9541 ( 10.7) ";"17375 ( 19.5) ";"";""
"";"AZ-ChAdOx1";" 9999 ( 11.2) ";"17319 ( 19.5) ";"";""
"";"Jansen-Ad26";" 4202 (  4.7) ";"    0 (  0.0) ";"";""
"";NA;"23746 ( 26.7) ";"    0 (  0.0) ";"";""
"vac_concept_id_2 (%)";"Pfizer-mRNA-BNT162b";"40723 ( 45.8) ";"53731 ( 60.4) ";"   NaN";""
"";"Moderna-mRNA-1273";" 9190 ( 10.3) ";"16962 ( 19.1) ";"";""
"";"AZ-ChAdOx1";" 9701 ( 10.9) ";"16820 ( 18.9) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"";NA;"29346 ( 33.0) ";" 1447 (  1.6) ";"";""
"vac_concept_id_3 (%)";"Pfizer-mRNA-BNT162b";" 7151 (  8.0) ";"12706 ( 14.3) ";"   NaN";""
"";"Moderna-mRNA-1273";" 3060 (  3.4) ";" 7363 (  8.3) ";"";""
"";"AZ-ChAdOx1";"    2 (  0.0) ";"    2 (  0.0) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"";NA;"78747 ( 88.5) ";"68889 ( 77.4) ";"";""
"vac_scheme (%)";"AZ-ChAdOx1-AZ-ChAdOx1";" 9700 ( 10.9) ";"16819 ( 18.9) ";"<0.001";""
"";"AZ-ChAdOx1-Moderna-mRNA-1273";"    1 (  0.0) ";"    5 (  0.0) ";"";""
"";"AZ-ChAdOx1-NA";"  216 (  0.2) ";"  239 (  0.3) ";"";""
"";"AZ-ChAdOx1-Pfizer-mRNA-BNT162b";"   82 (  0.1) ";"  256 (  0.3) ";"";""
"";"Jansen-Ad26-Moderna-mRNA-1273";"   70 (  0.1) ";"    0 (  0.0) ";"";""
"";"Jansen-Ad26-NA";" 3808 (  4.3) ";"    0 (  0.0) ";"";""
"";"Jansen-Ad26-Pfizer-mRNA-BNT162b";"  324 (  0.4) ";"    0 (  0.0) ";"";""
"";"Moderna-mRNA-1273-AZ-ChAdOx1";"    1 (  0.0) ";"    1 (  0.0) ";"";""
"";"Moderna-mRNA-1273-Moderna-mRNA-1273";" 9110 ( 10.2) ";"16946 ( 19.0) ";"";""
"";"Moderna-mRNA-1273-NA";"  427 (  0.5) ";"  419 (  0.5) ";"";""
"";"Moderna-mRNA-1273-Pfizer-mRNA-BNT162b";"    3 (  0.0) ";"    9 (  0.0) ";"";""
"";"NA-NA";"23746 ( 26.7) ";"    0 (  0.0) ";"";""
"";"Pfizer-mRNA-BNT162b-Moderna-mRNA-1273";"    9 (  0.0) ";"   11 (  0.0) ";"";""
"";"Pfizer-mRNA-BNT162b-NA";" 1149 (  1.3) ";"  789 (  0.9) ";"";""
"";"Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"40314 ( 45.3) ";"53466 ( 60.1) ";"";""
"vac_heterologous (mean (SD))";"";" 0.34 (0.47)";" 0.02 (0.14)";"<0.001";""
"cancer_diagnosis_time (%)";"0";"22986 ( 25.8) ";"22986 ( 25.8) ";" 1.000";""
"";"1";"18122 ( 20.4) ";"18122 ( 20.4) ";"";""
"";"2";"16936 ( 19.0) ";"16936 ( 19.0) ";"";""
"";"3";"15678 ( 17.6) ";"15678 ( 17.6) ";"";""
"";"4";"15238 ( 17.1) ";"15238 ( 17.1) ";"";""
"cancer_dx_breast (%)";"0";"74342 ( 83.6) ";"73776 ( 82.9) ";"<0.001";""
"";"1";"14618 ( 16.4) ";"15184 ( 17.1) ";"";""
"cancer_dx_prostate (%)";"0";"78100 ( 87.8) ";"78037 ( 87.7) ";" 0.654";""
"";"1";"10860 ( 12.2) ";"10923 ( 12.3) ";"";""
"cancer_dx_colorectal (%)";"0";"77286 ( 86.9) ";"77231 ( 86.8) ";" 0.705";""
"";"1";"11674 ( 13.1) ";"11729 ( 13.2) ";"";""
"cancer_dx_lung (%)";"0";"83694 ( 94.1) ";"83915 ( 94.3) ";" 0.026";""
"";"1";" 5266 (  5.9) ";" 5045 (  5.7) ";"";""
"cancer_dx_head_neck (%)";"0";"86234 ( 96.9) ";"86380 ( 97.1) ";" 0.043";""
"";"1";" 2726 (  3.1) ";" 2580 (  2.9) ";"";""
"cancer_dx_endometrium (%)";"0";"86988 ( 97.8) ";"87120 ( 97.9) ";" 0.032";""
"";"1";" 1972 (  2.2) ";" 1840 (  2.1) ";"";""
"cancer_dx_cervix_uterus (%)";"0";"86900 ( 97.7) ";"87215 ( 98.0) ";"<0.001";""
"";"1";" 2060 (  2.3) ";" 1745 (  2.0) ";"";""
"cancer_dx_bladder (%)";"0";"81002 ( 91.1) ";"81050 ( 91.1) ";" 0.696";""
"";"1";" 7958 (  8.9) ";" 7910 (  8.9) ";"";""
"cancer_dx_liver_biliary (%)";"0";"87230 ( 98.1) ";"87370 ( 98.2) ";" 0.015";""
"";"1";" 1730 (  1.9) ";" 1590 (  1.8) ";"";""
"cancer_dx_melanoma (%)";"0";"85618 ( 96.2) ";"85482 ( 96.1) ";" 0.096";""
"";"1";" 3342 (  3.8) ";" 3478 (  3.9) ";"";""
"cancer_dx_pancreas (%)";"0";"87565 ( 98.4) ";"87653 ( 98.5) ";" 0.092";""
"";"1";" 1395 (  1.6) ";" 1307 (  1.5) ";"";""
"cancer_dx_kidney (%)";"0";"85792 ( 96.4) ";"85705 ( 96.3) ";" 0.274";""
"";"1";" 3168 (  3.6) ";" 3255 (  3.7) ";"";""
"cancer_dx_gastric (%)";"0";"87370 ( 98.2) ";"87507 ( 98.4) ";" 0.013";""
"";"1";" 1590 (  1.8) ";" 1453 (  1.6) ";"";""
"cancer_dx_esophagus (%)";"0";"88457 ( 99.4) ";"88498 ( 99.5) ";" 0.197";""
"";"1";"  503 (  0.6) ";"  462 (  0.5) ";"";""
"cancer_dx_testis (%)";"0";"88374 ( 99.3) ";"88392 ( 99.4) ";" 0.616";""
"";"1";"  586 (  0.7) ";"  568 (  0.6) ";"";""
"cancer_dx_thyroid (%)";"0";"87259 ( 98.1) ";"87375 ( 98.2) ";" 0.043";""
"";"1";" 1701 (  1.9) ";" 1585 (  1.8) ";"";""
"cancer_dx_CNS (%)";"0";"88099 ( 99.0) ";"88082 ( 99.0) ";" 0.700";""
"";"1";"  861 (  1.0) ";"  878 (  1.0) ";"";""
"cancer_dx_neuroendocrine (%)";"0";"88585 ( 99.6) ";"88543 ( 99.5) ";" 0.144";""
"";"1";"  375 (  0.4) ";"  417 (  0.5) ";"";""
"cancer_dx_sarcomas (%)";"0";"88025 ( 98.9) ";"88077 ( 99.0) ";" 0.229";""
"";"1";"  935 (  1.1) ";"  883 (  1.0) ";"";""
