"0";"1";"p";"test";"SMD"
"n";"88960";"88960";"";"";""
"age (mean (SD))";"65.02 (15.12)";"65.11 (15.14)";" 0.215";"";" 0.006"
"age_group (%)";"";"";" 1.000";"";"<0.001"
"   18-49";"14484 ( 16.3) ";"14484 ( 16.3) ";"";"";""
"   50-59";"15394 ( 17.3) ";"15394 ( 17.3) ";"";"";""
"   60-69";"21909 ( 24.6) ";"21909 ( 24.6) ";"";"";""
"   70-79";"22710 ( 25.5) ";"22710 ( 25.5) ";"";"";""
"   80-115";"14463 ( 16.3) ";"14463 ( 16.3) ";"";"";""
"gender_concept_id = F (%)";"45336 ( 51.0) ";"45336 ( 51.0) ";" 1.000";"";"<0.001"
"medea_group_2001 (%)";"";"";"<0.001";"";" 0.051"
"   0N";"10706 ( 12.0) ";"10093 ( 11.3) ";"";"";""
"   R";"13118 ( 14.7) ";"13345 ( 15.0) ";"";"";""
"   U1";"13619 ( 15.3) ";"14773 ( 16.6) ";"";"";""
"   U2";"13401 ( 15.1) ";"13867 ( 15.6) ";"";"";""
"   U3";"13062 ( 14.7) ";"13072 ( 14.7) ";"";"";""
"   U4";"13157 ( 14.8) ";"12862 ( 14.5) ";"";"";""
"   U5";"11897 ( 13.4) ";"10948 ( 12.3) ";"";"";""
"aga_name (%)";"";"";" 1.000";"";"<0.001"
"   Alt Camp i Conca de Barberà";"  758 (  0.9) ";"  758 (  0.9) ";"";"";""
"   Alt Empordà";" 1536 (  1.7) ";" 1536 (  1.7) ";"";"";""
"   Alt Maresme";" 1187 (  1.3) ";" 1187 (  1.3) ";"";"";""
"   Alt Penedès";" 1308 (  1.5) ";" 1308 (  1.5) ";"";"";""
"   Alt Urgell";"  209 (  0.2) ";"  209 (  0.2) ";"";"";""
"   Alta Ribagorça";"   18 (  0.0) ";"   18 (  0.0) ";"";"";""
"   Altebrat";"  516 (  0.6) ";"  516 (  0.6) ";"";"";""
"   Anoia";" 1318 (  1.5) ";" 1318 (  1.5) ";"";"";""
