"level";"0";"1";"p";"test"
"n";"";"68573";"73197";"";""
"outcome_covid_status (%)";"0";"65091 (94.9) ";"70586 (96.4) ";"<0.001";""
"";"1";" 1697 ( 2.5) ";"  665 ( 0.9) ";"";""
"";"2";" 1785 ( 2.6) ";" 1946 ( 2.7) ";"";""
"outcome_hosp_status (%)";"0";"66473 (96.9) ";"72280 (98.7) ";"<0.001";""
"";"1";" 1757 ( 2.6) ";"  705 ( 1.0) ";"";""
"";"2";"  343 ( 0.5) ";"  212 ( 0.3) ";"";""
"outcome_hosp_severe_status (%)";"0";"66727 (97.3) ";"72426 (98.9) ";"<0.001";""
"";"1";" 1796 ( 2.6) ";"  740 ( 1.0) ";"";""
"";"2";"   50 ( 0.1) ";"   31 ( 0.0) ";"";""
"outcome_death_status (%)";"0";"66763 (97.4) ";"72444 (99.0) ";"<0.001";""
"";"1";" 1697 ( 2.5) ";"  665 ( 0.9) ";"";""
"";"2";"  113 ( 0.2) ";"   88 ( 0.1) ";"";""
"outcome_hosp_death_status (%)";"0";"66473 (96.9) ";"72280 (98.7) ";"<0.001";""
"";"1";" 1697 ( 2.5) ";"  665 ( 0.9) ";"";""
"";"2";"  403 ( 0.6) ";"  252 ( 0.3) ";"";""
"outcome_covid_time (median [IQR])";"";"25.00 [7.00, 93.00]";"29.00 [8.00, 128.00]";"<0.001";"nonnorm"
"outcome_hosp_time (median [IQR])";"";"26.00 [7.00, 96.00]";"30.00 [8.00, 131.00]";"<0.001";"nonnorm"
"outcome_hosp_severe_time (median [IQR])";"";"26.00 [8.00, 97.00]";"30.00 [8.00, 131.00]";"<0.001";"nonnorm"
"outcome_death_time (median [IQR])";"";"26.00 [8.00, 98.00]";"30.00 [8.00, 132.00]";"<0.001";"nonnorm"
"outcome_hosp_death_time (median [IQR])";"";"26.00 [7.00, 96.00]";"30.00 [8.00, 131.00]";"<0.001";"nonnorm"
"tx_group (mean (SD))";"";" 0.00 (0.00)";" 1.00 (0.00)";"<0.001";""
