"0";"1";"p";"test"
"n";"68573";"73197";"";""
"age (mean (SD))";"64.44 (15.21)";"64.26 (15.31)";" 0.033";""
"age_group (%)";"";"";" 0.014";""
"   18-49";"12012 ( 17.5) ";"13183 ( 18.0) ";"";""
"   50-59";"11863 ( 17.3) ";"12767 ( 17.4) ";"";""
"   60-69";"16660 ( 24.3) ";"17947 ( 24.5) ";"";""
"   70-79";"17664 ( 25.8) ";"18445 ( 25.2) ";"";""
"   80-115";"10374 ( 15.1) ";"10855 ( 14.8) ";"";""
"gender_concept_id = F (%)";"34850 ( 50.8) ";"37272 ( 50.9) ";" 0.715";""
"medea_group_2001 (%)";"";"";"<0.001";""
"   0N";" 8087 ( 11.8) ";" 8494 ( 11.6) ";"";""
"   R";"10190 ( 14.9) ";"10853 ( 14.8) ";"";""
"   U1";"10104 ( 14.7) ";"11650 ( 15.9) ";"";""
"   U2";"10211 ( 14.9) ";"11183 ( 15.3) ";"";""
"   U3";"10188 ( 14.9) ";"10865 ( 14.8) ";"";""
"   U4";"10378 ( 15.1) ";"10747 ( 14.7) ";"";""
"   U5";" 9415 ( 13.7) ";" 9405 ( 12.8) ";"";""
"aga_name (%)";"";"";" 0.998";""
"   Alt Camp i Conca de Barberà";"  581 (  0.8) ";"  599 (  0.8) ";"";""
"   Alt Empordà";" 1210 (  1.8) ";" 1293 (  1.8) ";"";""
"   Alt Maresme";"  860 (  1.3) ";"  963 (  1.3) ";"";""
"   Alt Penedès";" 1033 (  1.5) ";" 1096 (  1.5) ";"";""
"   Alt Urgell";"  160 (  0.2) ";"  178 (  0.2) ";"";""
"   Alta Ribagorça";"   16 (  0.0) ";"   17 (  0.0) ";"";""
"   Altebrat";"  380 (  0.6) ";"  398 (  0.5) ";"";""
"   Anoia";" 1012 (  1.5) ";" 1080 (  1.5) ";"";""
"   Bages i Solsonès";" 2159 (  3.1) ";" 2240 (  3.1) ";"";""
"   Baix Camp i Priorat";" 1329 (  1.9) ";" 1374 (  1.9) ";"";""
"   Baix Ebre";"  947 (  1.4) ";"  989 (  1.4) ";"";""
"   Baix Empordà";"  305 (  0.4) ";"  347 (  0.5) ";"";""
"   Baix Llobregat Centre i Fontsanta -L'H N";" 4526 (  6.6) ";" 4831 (  6.6) ";"";""
"   Baix Llobregat Litoral i Sant Boi";" 1491 (  2.2) ";" 1575 (  2.2) ";"";""
"   Baix Llobregat Litoral i Viladecans";" 1994 (  2.9) ";" 2149 (  2.9) ";"";""
"   Baix Llobregat Nord";" 1480 (  2.2) ";" 1503 (  2.1) ";"";""
"   Baix Montseny";"  598 (  0.9) ";"  623 (  0.9) ";"";""
"   Baix Penedès";"    4 (  0.0) ";"    4 (  0.0) ";"";""
"   Baix Vallès";" 2198 (  3.2) ";" 2317 (  3.2) ";"";""
"   Barcelona Dreta";" 3199 (  4.7) ";" 3517 (  4.8) ";"";""
"   Barcelona Esquerra";" 4686 (  6.8) ";" 5096 (  7.0) ";"";""
"   Barcelona Litoral Mar";" 2752 (  4.0) ";" 3073 (  4.2) ";"";""
"   Barcelona Nord";" 5047 (  7.4) ";" 5445 (  7.4) ";"";""
"   Barcelonès Nord i Baix Maresme";" 3917 (  5.7) ";" 4255 (  5.8) ";"";""
"   Berguedà";"  413 (  0.6) ";"  450 (  0.6) ";"";""
"   Garraf";" 1610 (  2.3) ";" 1714 (  2.3) ";"";""
"   Garrotxa";"  358 (  0.5) ";"  392 (  0.5) ";"";""
