"0";"1";"p";"test";"SMD"
"n";"54267";"54267";"";"";""
"age (mean (SD))";"69.74 (12.43)";"69.74 (12.42)";" 0.984";"";"<0.001"
"age_group (%)";"";"";" 1.000";"";"<0.001"
"   18-49";" 3631 (  6.7) ";" 3631 (  6.7) ";"";"";""
"   50-59";" 8024 ( 14.8) ";" 8024 ( 14.8) ";"";"";""
"   60-69";"14332 ( 26.4) ";"14332 ( 26.4) ";"";"";""
"   70-79";"16521 ( 30.4) ";"16521 ( 30.4) ";"";"";""
"   80-115";"11759 ( 21.7) ";"11759 ( 21.7) ";"";"";""
"gender_concept_id = F (%)";"26653 ( 49.1) ";"26653 ( 49.1) ";" 1.000";"";"<0.001"
"medea_group_2001 (%)";"";"";" 0.389";"";" 0.015"
"   0N";" 5163 (  9.5) ";" 4972 (  9.2) ";"";"";""
"   R";" 8337 ( 15.4) ";" 8430 ( 15.5) ";"";"";""
"   U1";" 9312 ( 17.2) ";" 9469 ( 17.4) ";"";"";""
"   U2";" 8789 ( 16.2) ";" 8841 ( 16.3) ";"";"";""
"   U3";" 8141 ( 15.0) ";" 8164 ( 15.0) ";"";"";""
"   U4";" 8044 ( 14.8) ";" 7946 ( 14.6) ";"";"";""
"   U5";" 6481 ( 11.9) ";" 6445 ( 11.9) ";"";"";""
"aga_name (%)";"";"";" 1.000";"";"<0.001"
"   Alt Camp i Conca de Barberà";"  475 (  0.9) ";"  475 (  0.9) ";"";"";""
"   Alt Empordà";"  887 (  1.6) ";"  887 (  1.6) ";"";"";""
"   Alt Maresme";"  714 (  1.3) ";"  714 (  1.3) ";"";"";""
"   Alt Penedès";"  738 (  1.4) ";"  738 (  1.4) ";"";"";""
"   Alt Urgell";"   91 (  0.2) ";"   91 (  0.2) ";"";"";""
"   Alta Ribagorça";"    6 (  0.0) ";"    6 (  0.0) ";"";"";""
"   Altebrat";"  306 (  0.6) ";"  306 (  0.6) ";"";"";""
"   Anoia";"  760 (  1.4) ";"  760 (  1.4) ";"";"";""
"   Bages i Solsonès";" 1558 (  2.9) ";" 1558 (  2.9) ";"";"";""
"   Baix Camp i Priorat";" 1022 (  1.9) ";" 1022 (  1.9) ";"";"";""
"   Baix Ebre";"  757 (  1.4) ";"  757 (  1.4) ";"";"";""
"   Baix Empordà";"  210 (  0.4) ";"  210 (  0.4) ";"";"";""
"   Baix Llobregat Centre i Fontsanta -L'H N";" 3905 (  7.2) ";" 3905 (  7.2) ";"";"";""
"   Baix Llobregat Litoral i Sant Boi";" 1116 (  2.1) ";" 1116 (  2.1) ";"";"";""
"   Baix Llobregat Litoral i Viladecans";" 1471 (  2.7) ";" 1471 (  2.7) ";"";"";""
"   Baix Llobregat Nord";" 1112 (  2.0) ";" 1112 (  2.0) ";"";"";""
"   Baix Montseny";"  393 (  0.7) ";"  393 (  0.7) ";"";"";""
"   Baix Penedès";"    1 (  0.0) ";"    1 (  0.0) ";"";"";""
"   Baix Vallès";" 1635 (  3.0) ";" 1635 (  3.0) ";"";"";""
"   Barcelona Dreta";" 2694 (  5.0) ";" 2694 (  5.0) ";"";"";""
"   Barcelona Esquerra";" 4149 (  7.6) ";" 4149 (  7.6) ";"";"";""
"   Barcelona Litoral Mar";" 2138 (  3.9) ";" 2138 (  3.9) ";"";"";""
"   Barcelona Nord";" 3816 (  7.0) ";" 3816 (  7.0) ";"";"";""
"   Barcelonès Nord i Baix Maresme";" 2980 (  5.5) ";" 2980 (  5.5) ";"";"";""
"   Berguedà";"  312 (  0.6) ";"  312 (  0.6) ";"";"";""
"   Garraf";" 1297 (  2.4) ";" 1297 (  2.4) ";"";"";""
"   Garrotxa";"  290 (  0.5) ";"  290 (  0.5) ";"";"";""
"   Gironès Nord i Pla de l'Estany";" 1296 (  2.4) ";" 1296 (  2.4) ";"";"";""
"   Gironès Sud i Selva Interior";"  622 (  1.1) ";"  622 (  1.1) ";"";"";""
"   L'Hospitalet Sud i el Prat de Llobregat";" 2265 (  4.2) ";" 2265 (  4.2) ";"";"";""
"   Lleida";" 3499 (  6.4) ";" 3499 (  6.4) ";"";"";""
"   Maresme Central";" 1914 (  3.5) ";" 1914 (  3.5) ";"";"";""
"   Montsià";"  551 (  1.0) ";"  551 (  1.0) ";"";"";""
"   Osona";"  954 (  1.8) ";"  954 (  1.8) ";"";"";""
"   Pallars";"  109 (  0.2) ";"  109 (  0.2) ";"";"";""
"   Ripollès";"   91 (  0.2) ";"   91 (  0.2) ";"";"";""
"   Selva Marítima";"  276 (  0.5) ";"  276 (  0.5) ";"";"";""
"   Tarragonès";" 1555 (  2.9) ";" 1555 (  2.9) ";"";"";""
"   Vallès Occidental Est";" 3945 (  7.3) ";" 3945 (  7.3) ";"";"";""
"   Vallès Occidental Oest";"  200 (  0.4) ";"  200 (  0.4) ";"";"";""
"   Vallès Oriental Central";" 2155 (  4.0) ";" 2155 (  4.0) ";"";"";""
"   NA";"    2 (  0.0) ";"    2 (  0.0) ";"";"";""
"vac_concept_id_1 (%)";"";"";"   NaN";"";"<0.001"
"   Pfizer-mRNA-BNT162b";"36416 ( 67.1) ";"36416 ( 67.1) ";"";"";""
"   Moderna-mRNA-1273";" 5037 (  9.3) ";" 5037 (  9.3) ";"";"";""
"   AZ-ChAdOx1";"12814 ( 23.6) ";"12814 ( 23.6) ";"";"";""
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";"";""
"vac_concept_id_2 (%)";"";"";"   NaN";"";"<0.001"
"   Pfizer-mRNA-BNT162b";"36416 ( 67.1) ";"36416 ( 67.1) ";"";"";""
"   Moderna-mRNA-1273";" 5037 (  9.3) ";" 5037 (  9.3) ";"";"";""
"   AZ-ChAdOx1";"12814 ( 23.6) ";"12814 ( 23.6) ";"";"";""
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";"";""
"vac_concept_id_3 (%)";"";"";"   NaN";"";" 0.758"
"   Pfizer-mRNA-BNT162b";" 6197 ( 11.4) ";"13649 ( 25.2) ";"";"";""
"   Moderna-mRNA-1273";"37362 ( 68.8) ";"40613 ( 74.8) ";"";"";""
"   AZ-ChAdOx1";"    7 (  0.0) ";"    5 (  0.0) ";"";"";""
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";"";""
"   NA";"10701 ( 19.7) ";"    0 (  0.0) ";"";"";""
"vac_scheme (%)";"";"";"<0.001";"";" 2.544"
"   AZ-ChAdOx1-AZ-ChAdOx1";"    0 (  0.0) ";"12814 ( 23.6) ";"";"";""
"   Moderna-mRNA-1273-Moderna-mRNA-1273";"    0 (  0.0) ";" 5037 (  9.3) ";"";"";""
"   Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"    0 (  0.0) ";"36416 ( 67.1) ";"";"";""
"   NA";"54267 (100.0) ";"    0 (  0.0) ";"";"";""
"cancer_diagnosis_time (%)";"";"";" 1.000";"";"<0.001"
"   0";"11604 ( 21.4) ";"11604 ( 21.4) ";"";"";""
"   1";"11263 ( 20.8) ";"11263 ( 20.8) ";"";"";""
"   2";"10869 ( 20.0) ";"10869 ( 20.0) ";"";"";""
"   3";"10254 ( 18.9) ";"10254 ( 18.9) ";"";"";""
"   4";"10277 ( 18.9) ";"10277 ( 18.9) ";"";"";""
"cancer_dx_breast = 1 (%)";" 8911 ( 16.4) ";" 9137 ( 16.8) ";" 0.067";"";" 0.011"
"cancer_dx_prostate = 1 (%)";" 7810 ( 14.4) ";" 8036 ( 14.8) ";" 0.053";"";" 0.012"
"cancer_dx_colorectal = 1 (%)";" 7687 ( 14.2) ";" 7706 ( 14.2) ";" 0.876";"";" 0.001"
"cancer_dx_lung = 1 (%)";" 2717 (  5.0) ";" 2509 (  4.6) ";" 0.003";"";" 0.018"
"cancer_dx_head_neck = 1 (%)";" 1617 (  3.0) ";" 1539 (  2.8) ";" 0.164";"";" 0.009"
"cancer_dx_endometrium = 1 (%)";" 1299 (  2.4) ";" 1182 (  2.2) ";" 0.018";"";" 0.014"
"cancer_dx_cervix_uterus = 1 (%)";" 1070 (  2.0) ";"  971 (  1.8) ";" 0.029";"";" 0.013"
"cancer_dx_bladder = 1 (%)";" 5654 ( 10.4) ";" 5453 ( 10.0) ";" 0.045";"";" 0.012"
"cancer_dx_liver_biliary = 1 (%)";"  808 (  1.5) ";"  791 (  1.5) ";" 0.687";"";" 0.003"
"cancer_dx_melanoma = 1 (%)";" 1984 (  3.7) ";" 2219 (  4.1) ";"<0.001";"";" 0.022"
"cancer_dx_pancreas = 1 (%)";"  654 (  1.2) ";"  576 (  1.1) ";" 0.027";"";" 0.014"
"cancer_dx_kidney = 1 (%)";" 1938 (  3.6) ";" 2064 (  3.8) ";" 0.044";"";" 0.012"
"cancer_dx_gastric = 1 (%)";"  860 (  1.6) ";"  817 (  1.5) ";" 0.301";"";" 0.006"
"cancer_dx_esophagus = 1 (%)";"  219 (  0.4) ";"  224 (  0.4) ";" 0.849";"";" 0.001"
"cancer_dx_testis = 1 (%)";"  197 (  0.4) ";"  186 (  0.3) ";" 0.609";"";" 0.003"
"cancer_dx_thyroid = 1 (%)";"  852 (  1.6) ";"  828 (  1.5) ";" 0.572";"";" 0.004"
