"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"Age < 60";" -1.54260429";"   1.0346425";"Inf";"   -3.841385";" 7.561765e-01";"V3 14-60D";"no-vax";" 17";" 26311";" 775575";" 1";" 6867";" 230432";"6159.510";"6178.551";"167779";"0.4677887424";"age_bin_60"
"(V3 60+) - (no-vax)";"Age < 60";" -2.78609186";"   1.0296596";"Inf";"   -5.073802";"-4.983821e-01";"V3 60+";"no-vax";" 17";" 26311";" 775575";" 1";" 7926";" 400218";"6159.510";"6178.551";"167779";"0.4677887424";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age 60+";" -1.77138031";"   0.3132068";"Inf";"   -2.467267";"-1.075494e+00";"V3 14-60D";"no-vax";"256";" 90220";"2060738";"12";"22009";" 560927";"6159.510";"6178.551";"167779";"0.4677887424";"age_bin_60"
"(V3 60+) - (no-vax)";"Age 60+";" -1.71694305";"   0.1647723";"Inf";"   -2.083036";"-1.350850e+00";"V3 60+";"no-vax";"256";" 90220";"2060738";"46";"14446";" 890391";"6159.510";"6178.551";"167779";"0.4677887424";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age < 65";" -1.09506018";"   0.6131558";"Inf";"   -2.457377";" 2.672565e-01";"V3 14-60D";"no-vax";" 32";" 40175";"1081712";" 3";" 9819";" 316355";"6147.597";"6166.638";"167779";"0.4266098356";"age_bin_65"
"(V3 60+) - (no-vax)";"Age < 65";" -2.05078528";"   0.5316774";"Inf";"   -3.232072";"-8.694983e-01";"V3 60+";"no-vax";" 32";" 40175";"1081712";" 4";"10460";" 546479";"6147.597";"6166.638";"167779";"0.4266098356";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age 65+";" -1.89045630";"   0.3391398";"Inf";"   -2.643961";"-1.136952e+00";"V3 14-60D";"no-vax";"241";" 76356";"1754601";"10";"19057";" 475004";"6147.597";"6166.638";"167779";"0.4266098356";"age_bin_65"
"(V3 60+) - (no-vax)";"Age 65+";" -1.71498718";"   0.1700497";"Inf";"   -2.092805";"-1.337169e+00";"V3 60+";"no-vax";"241";" 76356";"1754601";"43";"11912";" 744130";"6147.597";"6166.638";"167779";"0.4266098356";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age < 70";" -1.71964545";"   0.6012388";"Inf";"   -3.055485";"-3.838060e-01";"V3 14-60D";"no-vax";" 59";" 56730";"1432010";" 3";"13319";" 410958";"6155.398";"6174.439";"167779";"0.9965540937";"age_bin_70"
"(V3 60+) - (no-vax)";"Age < 70";" -1.75444168";"   0.3441284";"Inf";"   -2.519030";"-9.898532e-01";"V3 60+";"no-vax";" 59";" 56730";"1432010";"10";"13168";" 703274";"6155.398";"6174.439";"167779";"0.9965540937";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age 70+";" -1.76284949";"   0.3399566";"Inf";"   -2.518169";"-1.007530e+00";"V3 14-60D";"no-vax";"214";" 59801";"1404303";"10";"15557";" 380401";"6155.398";"6174.439";"167779";"0.9965540937";"age_bin_70"
"(V3 60+) - (no-vax)";"Age 70+";" -1.73600771";"   0.1822776";"Inf";"   -2.140994";"-1.331021e+00";"V3 60+";"no-vax";"214";" 59801";"1404303";"37";" 9204";" 587335";"6155.398";"6174.439";"167779";"0.9965540937";"age_bin_70"
