"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"Age < 60";" -1.134832482";"   0.4409821";"Inf";"-2.114612e+00";"  -0.15505327";"V3 14-60D";"no-vax";" 40";" 26302";" 774393";"  6";" 6866";" 230383";"13341.835";"13364.453";"167675";"5.735872e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age < 60";" -1.099776226";"   0.3903883";"Inf";"-1.967146e+00";"  -0.23240695";"V3 60+";"no-vax";" 40";" 26302";" 774393";"  8";" 7926";" 400207";"13341.835";"13364.453";"167675";"5.735872e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age 60+";" -1.621413472";"   0.1655423";"Inf";"-1.989217e+00";"  -1.25360957";"V3 14-60D";"no-vax";"483";" 90171";"2051279";" 44";"22003";" 560385";"13341.835";"13364.453";"167675";"5.735872e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age 60+";" -1.016064789";"   0.1217802";"Inf";"-1.286637e+00";"  -0.74549214";"V3 60+";"no-vax";"483";" 90171";"2051279";"100";"14407";" 887924";"13341.835";"13364.453";"167675";"5.735872e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age < 65";" -0.854237917";"   0.2973683";"Inf";"-1.514934e+00";"  -0.19354152";"V3 14-60D";"no-vax";" 70";" 40165";"1080222";" 14";" 9817";" 316231";"13319.610";"13342.228";"167675";"4.267609e-02";"age_bin_65"
"(V3 60+) - (no-vax)";"Age < 65";" -0.904235292";"   0.2749418";"Inf";"-1.515104e+00";"  -0.29336642";"V3 60+";"no-vax";" 70";" 40165";"1080222";" 17";"10456";" 546347";"13319.610";"13342.228";"167675";"4.267609e-02";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age 65+";" -1.756675369";"   0.1805476";"Inf";"-2.157818e+00";"  -1.35553257";"V3 14-60D";"no-vax";"453";" 76308";"1745450";" 36";"19052";" 474537";"13319.610";"13342.228";"167675";"4.267609e-02";"age_bin_65"
"(V3 60+) - (no-vax)";"Age 65+";" -1.034623968";"   0.1264048";"Inf";"-1.315472e+00";"  -0.75377623";"V3 60+";"no-vax";"453";" 76308";"1745450";" 91";"11877";" 741784";"13319.610";"13342.228";"167675";"4.267609e-02";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age < 70";" -1.397837437";"   0.2614260";"Inf";"-1.978677e+00";"  -0.81699815";"V3 14-60D";"no-vax";"146";" 56707";"1428350";" 17";"13317";" 410801";"13371.878";"13394.496";"167675";"4.400565e-01";"age_bin_70"
"(V3 60+) - (no-vax)";"Age < 70";" -1.164434709";"   0.2155372";"Inf";"-1.643318e+00";"  -0.68555154";"V3 60+";"no-vax";"146";" 56707";"1428350";" 27";"13158";" 702888";"13371.878";"13394.496";"167675";"4.400565e-01";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age 70+";" -1.651673301";"   0.1886283";"Inf";"-2.070770e+00";"  -1.23257673";"V3 14-60D";"no-vax";"377";" 59766";"1397322";" 33";"15552";" 379967";"13371.878";"13394.496";"167675";"4.400565e-01";"age_bin_70"
"(V3 60+) - (no-vax)";"Age 70+";" -0.948788531";"   0.1335884";"Inf";"-1.245597e+00";"  -0.65198019";"V3 60+";"no-vax";"377";" 59766";"1397322";" 81";" 9175";" 585243";"13371.878";"13394.496";"167675";"4.400565e-01";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age < 75";" -1.465497728";"   0.2254208";"Inf";"-1.966340e+00";"  -0.96465510";"V3 14-60D";"no-vax";"216";" 73658";"1808765";" 23";"17200";" 507622";"13374.071";"13396.689";"167675";"4.041502e-01";"age_bin_75"
"(V3 60+) - (no-vax)";"Age < 75";" -1.156301132";"   0.1793750";"Inf";"-1.554839e+00";"  -0.75776375";"V3 60+";"no-vax";"216";" 73658";"1808765";" 40";"15813";" 866658";"13374.071";"13396.689";"167675";"4.041502e-01";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age 75+";" -1.658041934";"   0.2071111";"Inf";"-2.118204e+00";"  -1.19788011";"V3 14-60D";"no-vax";"307";" 42815";"1016907";" 27";"11669";" 283146";"13374.071";"13396.689";"167675";"4.041502e-01";"age_bin_75"
"(V3 60+) - (no-vax)";"Age 75+";" -0.918039935";"   0.1446406";"Inf";"-1.239404e+00";"  -0.59667575";"V3 60+";"no-vax";"307";" 42815";"1016907";" 68";" 6520";" 421473";"13374.071";"13396.689";"167675";"4.041502e-01";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age < 80";" -1.616389002";"   0.2040729";"Inf";"-2.069801e+00";"  -1.16297747";"V3 14-60D";"no-vax";"306";" 91621";"2216481";" 28";"21876";" 617806";"13401.571";"13424.189";"167675";"9.226397e-01";"age_bin_80"
"(V3 60+) - (no-vax)";"Age < 80";" -0.997331873";"   0.1458733";"Inf";"-1.321435e+00";"  -0.67322883";"V3 60+";"no-vax";"306";" 91621";"2216481";" 65";"18406";"1031374";"13401.571";"13424.189";"167675";"9.226397e-01";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age 80+";" -1.517025273";"   0.2295065";"Inf";"-2.026945e+00";"  -1.00710512";"V3 14-60D";"no-vax";"217";" 24852";" 609191";" 22";" 6993";" 172962";"13401.571";"13424.189";"167675";"9.226397e-01";"age_bin_80"
"(V3 60+) - (no-vax)";"Age 80+";" -1.037166416";"   0.1757891";"Inf";"-1.427737e+00";"  -0.64659608";"V3 60+";"no-vax";"217";" 24852";" 609191";" 43";" 3927";" 256757";"13401.571";"13424.189";"167675";"9.226397e-01";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age < 85";" -1.569738935";"   0.1752939";"Inf";"-1.959209e+00";"  -1.18026880";"V3 14-60D";"no-vax";"407";"104205";"2514757";" 39";"25335";" 700448";"13467.360";"13489.977";"167675";"7.331039e-01";"age_bin_85"
"(V3 60+) - (no-vax)";"Age < 85";" -1.061015632";"   0.1327898";"Inf";"-1.356050e+00";"  -0.76598173";"V3 60+";"no-vax";"407";"104205";"2514757";" 80";"20240";"1152288";"13467.360";"13489.977";"167675";"7.331039e-01";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age 85+";" -1.589092711";"   0.3196201";"Inf";"-2.299228e+00";"  -0.87895704";"V3 14-60D";"no-vax";"116";" 12268";" 310915";" 11";" 3534";"  90320";"13467.360";"13489.977";"167675";"7.331039e-01";"age_bin_85"
"(V3 60+) - (no-vax)";"Age 85+";" -0.870153165";"   0.2179267";"Inf";"-1.354345e+00";"  -0.38596119";"V3 60+";"no-vax";"116";" 12268";" 310915";" 28";" 2093";" 135843";"13467.360";"13489.977";"167675";"7.331039e-01";"age_bin_85"
"(V3 14-60D) - (no-vax)";"M";" -1.694172833";"   0.1969703";"Inf";"-2.131804e+00";"  -1.25654200";"V3 14-60D";"no-vax";"351";" 58756";"1345448";" 30";"14168";" 371998";"13444.492";"13467.110";"167675";"3.924557e-02";"gender_concept_id"
"(V3 60+) - (no-vax)";"M";" -1.226769329";"   0.1502760";"Inf";"-1.560654e+00";"  -0.89288426";"V3 60+";"no-vax";"351";" 58756";"1345448";" 59";"10137";" 596609";"13444.492";"13467.110";"167675";"3.924557e-02";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"F";" -1.373899774";"   0.2416977";"Inf";"-1.910907e+00";"  -0.83689303";"V3 14-60D";"no-vax";"172";" 57717";"1480224";" 20";"14701";" 418770";"13444.492";"13467.110";"167675";"3.924557e-02";"gender_concept_id"
"(V3 60+) - (no-vax)";"F";" -0.700739202";"   0.1697539";"Inf";"-1.077900e+00";"  -0.32357802";"V3 60+";"no-vax";"172";" 57717";"1480224";" 49";"12196";" 691522";"13444.492";"13467.110";"167675";"3.924557e-02";"gender_concept_id"
