"level";"0";"1";"p";"test"
"n";"";"54267";"54267";"";""
"age (mean (SD))";"";"69.74 (12.43)";"69.74 (12.42)";" 0.984";""
"age_group (%)";"18-49";" 3631 (  6.7) ";" 3631 (  6.7) ";" 1.000";""
"";"50-59";" 8024 ( 14.8) ";" 8024 ( 14.8) ";"";""
"";"60-69";"14332 ( 26.4) ";"14332 ( 26.4) ";"";""
"";"70-79";"16521 ( 30.4) ";"16521 ( 30.4) ";"";""
"";"80-115";"11759 ( 21.7) ";"11759 ( 21.7) ";"";""
"gender_concept_id (%)";"M";"    0 (  0.0) ";"27614 ( 50.9) ";"<0.001";""
"";"F";"    0 (  0.0) ";"26653 ( 49.1) ";"";""
"";NA;"54267 (100.0) ";"    0 (  0.0) ";"";""
"medea_group_2001 (%)";"0N";" 5163 (  9.5) ";" 4972 (  9.2) ";" 0.389";""
"";"R";" 8337 ( 15.4) ";" 8430 ( 15.5) ";"";""
"";"U1";" 9312 ( 17.2) ";" 9469 ( 17.4) ";"";""
"";"U2";" 8789 ( 16.2) ";" 8841 ( 16.3) ";"";""
"";"U3";" 8141 ( 15.0) ";" 8164 ( 15.0) ";"";""
"";"U4";" 8044 ( 14.8) ";" 7946 ( 14.6) ";"";""
"";"U5";" 6481 ( 11.9) ";" 6445 ( 11.9) ";"";""
"aga_name (%)";"Alt Camp i Conca de Barberà";"  475 (  0.9) ";"  475 (  0.9) ";" 1.000";""
"";"Alt Empordà";"  887 (  1.6) ";"  887 (  1.6) ";"";""
"";"Alt Maresme";"  714 (  1.3) ";"  714 (  1.3) ";"";""
"";"Alt Penedès";"  738 (  1.4) ";"  738 (  1.4) ";"";""
"";"Alt Urgell";"   91 (  0.2) ";"   91 (  0.2) ";"";""
"";"Alta Ribagorça";"    6 (  0.0) ";"    6 (  0.0) ";"";""
"";"Altebrat";"  306 (  0.6) ";"  306 (  0.6) ";"";""
"";"Anoia";"  760 (  1.4) ";"  760 (  1.4) ";"";""
"";"Bages i Solsonès";" 1558 (  2.9) ";" 1558 (  2.9) ";"";""
"";"Baix Camp i Priorat";" 1022 (  1.9) ";" 1022 (  1.9) ";"";""
"";"Baix Ebre";"  757 (  1.4) ";"  757 (  1.4) ";"";""
"";"Baix Empordà";"  210 (  0.4) ";"  210 (  0.4) ";"";""
"";"Baix Llobregat Centre i Fontsanta -L'H N";" 3905 (  7.2) ";" 3905 (  7.2) ";"";""
"";"Baix Llobregat Litoral i Sant Boi";" 1116 (  2.1) ";" 1116 (  2.1) ";"";""
"";"Baix Llobregat Litoral i Viladecans";" 1471 (  2.7) ";" 1471 (  2.7) ";"";""
"";"Baix Llobregat Nord";" 1112 (  2.0) ";" 1112 (  2.0) ";"";""
"";"Baix Montseny";"  393 (  0.7) ";"  393 (  0.7) ";"";""
"";"Baix Penedès";"    1 (  0.0) ";"    1 (  0.0) ";"";""
"";"Baix Vallès";" 1635 (  3.0) ";" 1635 (  3.0) ";"";""
"";"Barcelona Dreta";" 2694 (  5.0) ";" 2694 (  5.0) ";"";""
"";"Barcelona Esquerra";" 4149 (  7.6) ";" 4149 (  7.6) ";"";""
"";"Barcelona Litoral Mar";" 2138 (  3.9) ";" 2138 (  3.9) ";"";""
"";"Barcelona Nord";" 3816 (  7.0) ";" 3816 (  7.0) ";"";""
"";"Barcelonès Nord i Baix Maresme";" 2980 (  5.5) ";" 2980 (  5.5) ";"";""
"";"Berguedà";"  312 (  0.6) ";"  312 (  0.6) ";"";""
"";"Garraf";" 1297 (  2.4) ";" 1297 (  2.4) ";"";""
"";"Garrotxa";"  290 (  0.5) ";"  290 (  0.5) ";"";""
"";"Gironès Nord i Pla de l'Estany";" 1296 (  2.4) ";" 1296 (  2.4) ";"";""
"";"Gironès Sud i Selva Interior";"  622 (  1.1) ";"  622 (  1.1) ";"";""
"";"L'Hospitalet Sud i el Prat de Llobregat";" 2265 (  4.2) ";" 2265 (  4.2) ";"";""
"";"Lleida";" 3499 (  6.4) ";" 3499 (  6.4) ";"";""
"";"Maresme Central";" 1914 (  3.5) ";" 1914 (  3.5) ";"";""
"";"Montsià";"  551 (  1.0) ";"  551 (  1.0) ";"";""
"";"Osona";"  954 (  1.8) ";"  954 (  1.8) ";"";""
"";"Pallars";"  109 (  0.2) ";"  109 (  0.2) ";"";""
"";"Ripollès";"   91 (  0.2) ";"   91 (  0.2) ";"";""
"";"Selva Marítima";"  276 (  0.5) ";"  276 (  0.5) ";"";""
"";"Tarragonès";" 1555 (  2.9) ";" 1555 (  2.9) ";"";""
"";"Vallès Occidental Est";" 3945 (  7.3) ";" 3945 (  7.3) ";"";""
"";"Vallès Occidental Oest";"  200 (  0.4) ";"  200 (  0.4) ";"";""
"";"Vallès Oriental Central";" 2155 (  4.0) ";" 2155 (  4.0) ";"";""
"";NA;"    2 (  0.0) ";"    2 (  0.0) ";"";""
"vac_concept_id_1 (%)";"Pfizer-mRNA-BNT162b";"36416 ( 67.1) ";"36416 ( 67.1) ";"   NaN";""
"";"Moderna-mRNA-1273";" 5037 (  9.3) ";" 5037 (  9.3) ";"";""
"";"AZ-ChAdOx1";"12814 ( 23.6) ";"12814 ( 23.6) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"vac_concept_id_2 (%)";"Pfizer-mRNA-BNT162b";"36416 ( 67.1) ";"36416 ( 67.1) ";"   NaN";""
"";"Moderna-mRNA-1273";" 5037 (  9.3) ";" 5037 (  9.3) ";"";""
