"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"Age < 60";" -1.04713502";"   0.4433969";"Inf";"-2.032279e+00";"-6.199064e-02";"V3 14-60D";"no-vax";" 37";" 26302";" 774475";"  6";" 6866";" 230383";"13042.609";"13065.123";"167681";"4.378610e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age < 60";" -1.16546004";"   0.4150674";"Inf";"-2.087662e+00";"-2.432584e-01";"V3 60+";"no-vax";" 37";" 26302";" 774475";"  7";" 7927";" 400214";"13042.609";"13065.123";"167681";"4.378610e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age 60+";" -1.64164910";"   0.1691951";"Inf";"-2.017569e+00";"-1.265729e+00";"V3 14-60D";"no-vax";"477";" 90176";"2051918";" 42";"22003";" 560371";"13042.609";"13065.123";"167681";"4.378610e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age 60+";" -1.03738674";"   0.1226593";"Inf";"-1.309913e+00";"-7.648609e-01";"V3 60+";"no-vax";"477";" 90176";"2051918";" 98";"14407";" 888017";"13042.609";"13065.123";"167681";"4.378610e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age < 65";" -0.95491933";"   0.3179281";"Inf";"-1.661296e+00";"-2.485430e-01";"V3 14-60D";"no-vax";" 67";" 40165";"1080301";" 12";" 9817";" 316218";"13021.913";"13044.427";"167681";"1.210993e-01";"age_bin_65"
"(V3 60+) - (no-vax)";"Age < 65";" -0.93152362";"   0.2826720";"Inf";"-1.559567e+00";"-3.034798e-01";"V3 60+";"no-vax";" 67";" 40165";"1080301";" 16";"10457";" 546354";"13021.913";"13044.427";"167681";"1.210993e-01";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age 65+";" -1.72929903";"   0.1809483";"Inf";"-2.131332e+00";"-1.327266e+00";"V3 14-60D";"no-vax";"447";" 76313";"1746092";" 36";"19052";" 474536";"13021.913";"13044.427";"167681";"1.210993e-01";"age_bin_65"
"(V3 60+) - (no-vax)";"Age 65+";" -1.05704519";"   0.1274368";"Inf";"-1.340186e+00";"-7.739046e-01";"V3 60+";"no-vax";"447";" 76313";"1746092";" 89";"11877";" 741877";"13021.913";"13044.427";"167681";"1.210993e-01";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age < 70";" -1.46328681";"   0.2768417";"Inf";"-2.078377e+00";"-8.481968e-01";"V3 14-60D";"no-vax";"139";" 56711";"1428651";" 15";"13317";" 410788";"13067.115";"13089.629";"167681";"5.238304e-01";"age_bin_70"
"(V3 60+) - (no-vax)";"Age < 70";" -1.20396423";"   0.2230555";"Inf";"-1.699551e+00";"-7.083770e-01";"V3 60+";"no-vax";"139";" 56711";"1428651";" 25";"13159";" 702905";"13067.115";"13089.629";"167681";"5.238304e-01";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age 70+";" -1.63190439";"   0.1889725";"Inf";"-2.051766e+00";"-1.212043e+00";"V3 14-60D";"no-vax";"375";" 59767";"1397742";" 33";"15552";" 379966";"13067.115";"13089.629";"167681";"5.238304e-01";"age_bin_70"
"(V3 60+) - (no-vax)";"Age 70+";" -0.97004751";"   0.1341506";"Inf";"-1.268105e+00";"-6.719901e-01";"V3 60+";"no-vax";"375";" 59767";"1397742";" 80";" 9175";" 585326";"13067.115";"13089.629";"167681";"5.238304e-01";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age < 75";" -1.50724877";"   0.2350449";"Inf";"-2.029474e+00";"-9.850232e-01";"V3 14-60D";"no-vax";"208";" 73663";"1809188";" 21";"17200";" 507609";"13071.694";"13094.208";"167681";"4.794024e-01";"age_bin_75"
"(V3 60+) - (no-vax)";"Age < 75";" -1.18190907";"   0.1834587";"Inf";"-1.589520e+00";"-7.742985e-01";"V3 60+";"no-vax";"208";" 73663";"1809188";" 38";"15814";" 866675";"13071.694";"13094.208";"167681";"4.794024e-01";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age 75+";" -1.63977248";"   0.2074192";"Inf";"-2.100619e+00";"-1.178926e+00";"V3 14-60D";"no-vax";"306";" 42815";"1017205";" 27";"11669";" 283145";"13071.694";"13094.208";"167681";"4.794024e-01";"age_bin_75"
"(V3 60+) - (no-vax)";"Age 75+";" -0.94442918";"   0.1453673";"Inf";"-1.267408e+00";"-6.214503e-01";"V3 60+";"no-vax";"306";" 42815";"1017205";" 67";" 6520";" 421556";"13071.694";"13094.208";"167681";"4.794024e-01";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age < 80";" -1.65186764";"   0.2111725";"Inf";"-2.121053e+00";"-1.182682e+00";"V3 14-60D";"no-vax";"298";" 91626";"2216904";" 26";"21876";" 617793";"13103.732";"13126.246";"167681";"8.339245e-01";"age_bin_80"
"(V3 60+) - (no-vax)";"Age < 80";" -1.01444117";"   0.1477964";"Inf";"-1.342817e+00";"-6.860655e-01";"V3 60+";"no-vax";"298";" 91626";"2216904";" 63";"18407";"1031391";"13103.732";"13126.246";"167681";"8.339245e-01";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age 80+";" -1.49650438";"   0.2298102";"Inf";"-2.007099e+00";"-9.859094e-01";"V3 14-60D";"no-vax";"216";" 24852";" 609489";" 22";" 6993";" 172961";"13103.732";"13126.246";"167681";"8.339245e-01";"age_bin_80"
"(V3 60+) - (no-vax)";"Age 80+";" -1.07080695";"   0.1773685";"Inf";"-1.464886e+00";"-6.767275e-01";"V3 60+";"no-vax";"216";" 24852";" 609489";" 42";" 3927";" 256840";"13103.732";"13126.246";"167681";"8.339245e-01";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age < 85";" -1.58713840";"   0.1796734";"Inf";"-1.986339e+00";"-1.187938e+00";"V3 14-60D";"no-vax";"398";"104210";"2515445";" 37";"25335";" 700434";"13170.098";"13192.612";"167681";"7.099882e-01";"age_bin_85"
"(V3 60+) - (no-vax)";"Age < 85";" -1.08952826";"   0.1347741";"Inf";"-1.388971e+00";"-7.900855e-01";"V3 60+";"no-vax";"398";"104210";"2515445";" 77";"20241";"1152378";"13170.098";"13192.612";"167681";"7.099882e-01";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age 85+";" -1.57406422";"   0.3198083";"Inf";"-2.284618e+00";"-8.635103e-01";"V3 14-60D";"no-vax";"116";" 12268";" 310948";" 11";" 3534";"  90320";"13170.098";"13192.612";"167681";"7.099882e-01";"age_bin_85"
"(V3 60+) - (no-vax)";"Age 85+";" -0.88494327";"   0.2178829";"Inf";"-1.369038e+00";"-4.008484e-01";"V3 60+";"no-vax";"116";" 12268";" 310948";" 28";" 2093";" 135853";"13170.098";"13192.612";"167681";"7.099882e-01";"age_bin_85"
"(V3 14-60D) - (no-vax)";"M";"  0.00000000";"   0.0000000";"Inf";" 0.000000e+00";" 0.000000e+00";"V3 14-60D";"no-vax";" 11";" 27614";" 287361";" 29";"14168";" 371980";" 3088.641";" 3097.977";"105470";"1.523699e-01";"gender_concept_id"
"(V3 60+) - (no-vax)";"M";"  0.00000000";"   0.0000000";"Inf";" 0.000000e+00";" 0.000000e+00";"V3 60+";"no-vax";" 11";" 27614";" 287361";" 58";"10137";" 596682";" 3088.641";" 3097.977";"105470";"1.523699e-01";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"F";"  1.15064914";"   0.8234566";"Inf";"-6.789163e-01";" 2.980215e+00";"V3 14-60D";"no-vax";"  2";" 26653";" 285474";" 19";"14701";" 418774";" 3088.641";" 3097.977";"105470";"1.523699e-01";"gender_concept_id"
"(V3 60+) - (no-vax)";"F";"  1.35317473";"   0.7934107";"Inf";"-4.096345e-01";" 3.115984e+00";"V3 60+";"no-vax";"  2";" 26653";" 285474";" 47";"12197";" 691549";" 3088.641";" 3097.977";"105470";"1.523699e-01";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"0";" -1.40677658";"   0.5249657";"Inf";"-2.573151e+00";"-2.404017e-01";"V3 14-60D";"no-vax";" 44";" 10442";" 308909";"  4";" 2408";"  74327";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"0";" -1.00147373";"   0.3873254";"Inf";"-1.862038e+00";"-1.409096e-01";"V3 60+";"no-vax";" 44";" 10442";" 308909";"  8";" 2397";" 132745";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"1";" -2.40950690";"   1.0211346";"Inf";"-4.678276e+00";"-1.407380e-01";"V3 14-60D";"no-vax";" 25";" 11147";" 272131";"  1";" 2630";"  74453";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"1";" -1.07660409";"   0.4925907";"Inf";"-2.171048e+00";" 1.783958e-02";"V3 60+";"no-vax";" 25";" 11147";" 272131";"  5";" 2225";" 127977";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"2";" -0.38709113";"   0.4684739";"Inf";"-1.427952e+00";" 6.537697e-01";"V3 14-60D";"no-vax";" 20";" 10993";" 276006";"  6";" 2666";"  75598";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"2";" -0.24853245";"   0.4045227";"Inf";"-1.147306e+00";" 6.502407e-01";"V3 60+";"no-vax";" 20";" 10993";" 276006";"  9";" 2231";" 127337";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
