"0";"1";"p";"test"
"n";"40610";"41010";"";""
"outcome_covid_status (%)";"";"";"<0.001";""
"   0";"36309 (89.4) ";"38206 (93.2) ";"";""
"   1";"  682 ( 1.7) ";"  168 ( 0.4) ";"";""
"   2";" 3619 ( 8.9) ";" 2636 ( 6.4) ";"";""
"outcome_hosp_status (%)";"";"";"<0.001";""
"   0";"39438 (97.1) ";"40672 (99.2) ";"";""
"   1";"  827 ( 2.0) ";"  195 ( 0.5) ";"";""
"   2";"  345 ( 0.8) ";"  143 ( 0.3) ";"";""
"outcome_hosp_severe_status (%)";"";"";"<0.001";""
"   0";"39633 (97.6) ";"40779 (99.4) ";"";""
"   1";"  946 ( 2.3) ";"  223 ( 0.5) ";"";""
"   2";"   31 ( 0.1) ";"    8 ( 0.0) ";"";""
"outcome_death_status (%)";"";"";"<0.001";""
"   0";"39661 (97.7) ";"40782 (99.4) ";"";""
"   1";"  682 ( 1.7) ";"  168 ( 0.4) ";"";""
"   2";"  267 ( 0.7) ";"   60 ( 0.1) ";"";""
"outcome_hosp_death_status (%)";"";"";"<0.001";""
"   0";"39438 (97.1) ";"40672 (99.2) ";"";""
"   1";"  682 ( 1.7) ";"  168 ( 0.4) ";"";""
"   2";"  490 ( 1.2) ";"  170 ( 0.4) ";"";""
"outcome_covid_time (median [IQR])";"15.00 [6.00, 35.00]";"16.00 [7.00, 42.00]";"<0.001";"nonnorm"
"outcome_hosp_time (median [IQR])";"16.00 [7.00, 39.00]";"16.00 [7.00, 45.00]";"<0.001";"nonnorm"
"outcome_hosp_severe_time (median [IQR])";"16.00 [7.00, 39.00]";"16.00 [7.00, 45.00]";"<0.001";"nonnorm"
"outcome_death_time (median [IQR])";"16.00 [7.00, 41.00]";"16.00 [7.00, 46.00]";"<0.001";"nonnorm"
"outcome_hosp_death_time (median [IQR])";"16.00 [7.00, 40.00]";"16.00 [7.00, 46.00]";"<0.001";"nonnorm"
"tx_group (mean (SD))";" 0.00 (0.00)";" 1.00 (0.00)";"<0.001";""
