"level";"0";"1";"p";"test"
"n";"";"40610";"41010";"";""
"age (mean (SD))";"";"69.31 (12.52)";"69.32 (12.52)";" 0.892";""
"age_group (%)";"18-49";" 2962 (  7.3) ";" 2967 (  7.2) ";" 0.992";""
"";"50-59";" 6173 ( 15.2) ";" 6205 ( 15.1) ";"";""
"";"60-69";"10836 ( 26.7) ";"10950 ( 26.7) ";"";""
"";"70-79";"12199 ( 30.0) ";"12367 ( 30.2) ";"";""
"";"80-115";" 8440 ( 20.8) ";" 8521 ( 20.8) ";"";""
"gender_concept_id (%)";"M";"20776 ( 51.2) ";"20989 ( 51.2) ";" 0.959";""
"";"F";"19834 ( 48.8) ";"20021 ( 48.8) ";"";""
"medea_group_2001 (%)";"0N";" 3894 (  9.6) ";" 3764 (  9.2) ";" 0.173";""
"";"R";" 6146 ( 15.1) ";" 6359 ( 15.5) ";"";""
"";"U1";" 6743 ( 16.6) ";" 6973 ( 17.0) ";"";""
"";"U2";" 6499 ( 16.0) ";" 6581 ( 16.0) ";"";""
"";"U3";" 6156 ( 15.2) ";" 6221 ( 15.2) ";"";""
"";"U4";" 6128 ( 15.1) ";" 6057 ( 14.8) ";"";""
"";"U5";" 5044 ( 12.4) ";" 5055 ( 12.3) ";"";""
"aga_name (%)";"Alt Camp i Conca de Barberà";"  339 (  0.8) ";"  358 (  0.9) ";" 1.000";""
"";"Alt Empordà";"  677 (  1.7) ";"  691 (  1.7) ";"";""
"";"Alt Maresme";"  507 (  1.2) ";"  515 (  1.3) ";"";""
"";"Alt Penedès";"  544 (  1.3) ";"  548 (  1.3) ";"";""
"";"Alt Urgell";"   66 (  0.2) ";"   73 (  0.2) ";"";""
"";"Alta Ribagorça";"    5 (  0.0) ";"    5 (  0.0) ";"";""
"";"Altebrat";"  213 (  0.5) ";"  229 (  0.6) ";"";""
"";"Anoia";"  526 (  1.3) ";"  561 (  1.4) ";"";""
"";"Bages i Solsonès";" 1251 (  3.1) ";" 1224 (  3.0) ";"";""
"";"Baix Camp i Priorat";"  779 (  1.9) ";"  762 (  1.9) ";"";""
"";"Baix Ebre";"  551 (  1.4) ";"  593 (  1.4) ";"";""
"";"Baix Empordà";"  155 (  0.4) ";"  151 (  0.4) ";"";""
"";"Baix Llobregat Centre i Fontsanta -L'H N";" 2849 (  7.0) ";" 2871 (  7.0) ";"";""
"";"Baix Llobregat Litoral i Sant Boi";"  861 (  2.1) ";"  900 (  2.2) ";"";""
"";"Baix Llobregat Litoral i Viladecans";" 1202 (  3.0) ";" 1197 (  2.9) ";"";""
"";"Baix Llobregat Nord";"  821 (  2.0) ";"  820 (  2.0) ";"";""
"";"Baix Montseny";"  304 (  0.7) ";"  295 (  0.7) ";"";""
"";"Baix Penedès";"    1 (  0.0) ";"    1 (  0.0) ";"";""
"";"Baix Vallès";" 1327 (  3.3) ";" 1331 (  3.2) ";"";""
"";"Barcelona Dreta";" 1903 (  4.7) ";" 1908 (  4.7) ";"";""
"";"Barcelona Esquerra";" 3024 (  7.4) ";" 2975 (  7.3) ";"";""
"";"Barcelona Litoral Mar";" 1539 (  3.8) ";" 1558 (  3.8) ";"";""
"";"Barcelona Nord";" 2901 (  7.1) ";" 2952 (  7.2) ";"";""
"";"Barcelonès Nord i Baix Maresme";" 2301 (  5.7) ";" 2350 (  5.7) ";"";""
"";"Berguedà";"  232 (  0.6) ";"  243 (  0.6) ";"";""
"";"Garraf";"  894 (  2.2) ";"  907 (  2.2) ";"";""
"";"Garrotxa";"  206 (  0.5) ";"  215 (  0.5) ";"";""
"";"Gironès Nord i Pla de l'Estany";"  986 (  2.4) ";" 1012 (  2.5) ";"";""
"";"Gironès Sud i Selva Interior";"  501 (  1.2) ";"  502 (  1.2) ";"";""
"";"L'Hospitalet Sud i el Prat de Llobregat";" 1800 (  4.4) ";" 1807 (  4.4) ";"";""
"";"Lleida";" 2537 (  6.2) ";" 2584 (  6.3) ";"";""
"";"Maresme Central";" 1434 (  3.5) ";" 1391 (  3.4) ";"";""
"";"Montsià";"  396 (  1.0) ";"  426 (  1.0) ";"";""
"";"Osona";"  681 (  1.7) ";"  693 (  1.7) ";"";""
"";"Pallars";"   86 (  0.2) ";"   88 (  0.2) ";"";""
"";"Ripollès";"   70 (  0.2) ";"   78 (  0.2) ";"";""
"";"Selva Marítima";"  205 (  0.5) ";"  204 (  0.5) ";"";""
"";"Tarragonès";" 1107 (  2.7) ";" 1111 (  2.7) ";"";""
"";"Vallès Occidental Est";" 3044 (  7.5) ";" 3047 (  7.4) ";"";""
"";"Vallès Occidental Oest";"  162 (  0.4) ";"  153 (  0.4) ";"";""
"";"Vallès Oriental Central";" 1621 (  4.0) ";" 1679 (  4.1) ";"";""
"";NA;"    2 (  0.0) ";"    2 (  0.0) ";"";""
"vac_concept_id_1 (%)";"Pfizer-mRNA-BNT162b";"26776 ( 65.9) ";"27073 ( 66.0) ";"   NaN";""
"";"Moderna-mRNA-1273";" 4217 ( 10.4) ";" 4249 ( 10.4) ";"";""
"";"AZ-ChAdOx1";" 9617 ( 23.7) ";" 9688 ( 23.6) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"vac_concept_id_2 (%)";"Pfizer-mRNA-BNT162b";"26776 ( 65.9) ";"27073 ( 66.0) ";"   NaN";""
"";"Moderna-mRNA-1273";" 4217 ( 10.4) ";" 4249 ( 10.4) ";"";""
"";"AZ-ChAdOx1";" 9617 ( 23.7) ";" 9688 ( 23.6) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"vac_concept_id_3 (%)";"Pfizer-mRNA-BNT162b";" 4655 ( 11.5) ";"10258 ( 25.0) ";"   NaN";""
"";"Moderna-mRNA-1273";"27645 ( 68.1) ";"30749 ( 75.0) ";"";""
"";"AZ-ChAdOx1";"    6 (  0.0) ";"    3 (  0.0) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"";NA;" 8304 ( 20.4) ";"    0 (  0.0) ";"";""
"vac_scheme (%)";"AZ-ChAdOx1-AZ-ChAdOx1";" 9617 ( 23.7) ";" 9688 ( 23.6) ";" 0.971";""
"";"Moderna-mRNA-1273-Moderna-mRNA-1273";" 4217 ( 10.4) ";" 4249 ( 10.4) ";"";""
"";"Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"26776 ( 65.9) ";"27073 ( 66.0) ";"";""
"cancer_diagnosis_time (%)";"0";"10334 ( 25.4) ";"10431 ( 25.4) ";" 0.949";""
"";"1";" 8421 ( 20.7) ";" 8465 ( 20.6) ";"";""
"";"2";" 7671 ( 18.9) ";" 7726 ( 18.8) ";"";""
"";"3";" 7191 ( 17.7) ";" 7237 ( 17.6) ";"";""
"";"4";" 6993 ( 17.2) ";" 7151 ( 17.4) ";"";""
"cancer_dx_breast (%)";"0";"33881 ( 83.4) ";"34108 ( 83.2) ";" 0.324";""
"";"1";" 6729 ( 16.6) ";" 6902 ( 16.8) ";"";""
"cancer_dx_prostate (%)";"0";"35030 ( 86.3) ";"35160 ( 85.7) ";" 0.032";""
"";"1";" 5580 ( 13.7) ";" 5850 ( 14.3) ";"";""
"cancer_dx_colorectal (%)";"0";"34616 ( 85.2) ";"34845 ( 85.0) ";" 0.278";""
"";"1";" 5994 ( 14.8) ";" 6165 ( 15.0) ";"";""
"cancer_dx_lung (%)";"0";"38335 ( 94.4) ";"38895 ( 94.8) ";" 0.005";""
"";"1";" 2275 (  5.6) ";" 2115 (  5.2) ";"";""
"cancer_dx_head_neck (%)";"0";"39361 ( 96.9) ";"39798 ( 97.0) ";" 0.325";""
"";"1";" 1249 (  3.1) ";" 1212 (  3.0) ";"";""
"cancer_dx_endometrium (%)";"0";"39658 ( 97.7) ";"40130 ( 97.9) ";" 0.059";""
"";"1";"  952 (  2.3) ";"  880 (  2.1) ";"";""
