"0";"1";"p";"test";"SMD"
"n";"40610";"41010";"";"";""
"age (mean (SD))";"69.31 (12.52)";"69.32 (12.52)";" 0.892";"";" 0.001"
"age_group (%)";"";"";" 0.992";"";" 0.004"
"   18-49";" 2962 (  7.3) ";" 2967 (  7.2) ";"";"";""
"   50-59";" 6173 ( 15.2) ";" 6205 ( 15.1) ";"";"";""
"   60-69";"10836 ( 26.7) ";"10950 ( 26.7) ";"";"";""
"   70-79";"12199 ( 30.0) ";"12367 ( 30.2) ";"";"";""
"   80-115";" 8440 ( 20.8) ";" 8521 ( 20.8) ";"";"";""
"gender_concept_id = F (%)";"19834 ( 48.8) ";"20021 ( 48.8) ";" 0.959";"";"<0.001"
"medea_group_2001 (%)";"";"";" 0.173";"";" 0.021"
"   0N";" 3894 (  9.6) ";" 3764 (  9.2) ";"";"";""
"   R";" 6146 ( 15.1) ";" 6359 ( 15.5) ";"";"";""
"   U1";" 6743 ( 16.6) ";" 6973 ( 17.0) ";"";"";""
"   U2";" 6499 ( 16.0) ";" 6581 ( 16.0) ";"";"";""
"   U3";" 6156 ( 15.2) ";" 6221 ( 15.2) ";"";"";""
"   U4";" 6128 ( 15.1) ";" 6057 ( 14.8) ";"";"";""
"   U5";" 5044 ( 12.4) ";" 5055 ( 12.3) ";"";"";""
"aga_name (%)";"";"";" 1.000";"";" 0.023"
"   Alt Camp i Conca de Barberà";"  339 (  0.8) ";"  358 (  0.9) ";"";"";""
"   Alt Empordà";"  677 (  1.7) ";"  691 (  1.7) ";"";"";""
"   Alt Maresme";"  507 (  1.2) ";"  515 (  1.3) ";"";"";""
"   Alt Penedès";"  544 (  1.3) ";"  548 (  1.3) ";"";"";""
"   Alt Urgell";"   66 (  0.2) ";"   73 (  0.2) ";"";"";""
"   Alta Ribagorça";"    5 (  0.0) ";"    5 (  0.0) ";"";"";""
"   Altebrat";"  213 (  0.5) ";"  229 (  0.6) ";"";"";""
"   Anoia";"  526 (  1.3) ";"  561 (  1.4) ";"";"";""
"   Bages i Solsonès";" 1251 (  3.1) ";" 1224 (  3.0) ";"";"";""
"   Baix Camp i Priorat";"  779 (  1.9) ";"  762 (  1.9) ";"";"";""
"   Baix Ebre";"  551 (  1.4) ";"  593 (  1.4) ";"";"";""
