"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 0-14D) - (no-vax)";"Age < 60";" 0.1515595687";"0.05799497";"Inf";" 0.01472470";" 0.288394438";"V3 0-14D";"no-vax";"1454";"11655";" 608058";" 486";"11655";" 124013";"137734.32";"137781.95";"166225";" 9.003562e-81";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age < 60";"-0.8451302222";"0.06460181";"Inf";"-0.99755346";"-0.692706987";"V3 14-60D";"no-vax";"1454";"11655";" 608058";" 318";" 6530";" 218151";"137734.32";"137781.95";"166225";" 9.003562e-81";"age_bin_60"
"(V3 60+) - (no-vax)";"Age < 60";"-0.5914118925";"0.06980932";"Inf";"-0.75612186";"-0.426701920";"V3 60+";"no-vax";"1454";"11655";" 608058";" 293";" 4016";" 391419";"137734.32";"137781.95";"166225";" 9.003562e-81";"age_bin_60"
"(V3 0-14D) - (no-vax)";"Age 60+";"-1.0108892842";"0.06387933";"Inf";"-1.16160788";"-0.860170693";"V3 0-14D";"no-vax";"2384";"42612";"1544462";" 315";"42612";" 444086";"137734.32";"137781.95";"166225";" 9.003562e-81";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age 60+";"-0.5818299085";"0.04919868";"Inf";"-0.69791059";"-0.465749228";"V3 14-60D";"no-vax";"2384";"42612";"1544462";" 612";"21779";" 546392";"137734.32";"137781.95";"166225";" 9.003562e-81";"age_bin_60"
"(V3 60+) - (no-vax)";"Age 60+";" 0.0563889189";"0.05046956";"Inf";"-0.06269029";" 0.175468130";"V3 60+";"no-vax";"2384";"42612";"1544462";" 807";" 7440";" 864963";"137734.32";"137781.95";"166225";" 9.003562e-81";"age_bin_60"
"(V3 0-14D) - (no-vax)";"Age < 65";"-0.0378072977";"0.05321741";"Inf";"-0.16336987";" 0.087755276";"V3 0-14D";"no-vax";"1953";"18167";" 837285";" 575";"18167";" 186082";"137710.87";"137758.50";"166225";" 2.339682e-72";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age < 65";"-0.7986821693";"0.05594697";"Inf";"-0.93068493";"-0.666679413";"V3 14-60D";"no-vax";"1953";"18167";" 837285";" 440";" 9415";" 300691";"137710.87";"137758.50";"166225";" 2.339682e-72";"age_bin_65"
"(V3 60+) - (no-vax)";"Age < 65";"-0.5236907783";"0.06081848";"Inf";"-0.66718753";"-0.380194031";"V3 60+";"no-vax";"1953";"18167";" 837285";" 416";" 5319";" 533791";"137710.87";"137758.50";"166225";" 2.339682e-72";"age_bin_65"
"(V3 0-14D) - (no-vax)";"Age 65+";"-1.1106113907";"0.07375640";"Inf";"-1.28463420";"-0.936588577";"V3 0-14D";"no-vax";"1885";"36100";"1315235";" 226";"36100";" 382017";"137710.87";"137758.50";"166225";" 2.339682e-72";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age 65+";"-0.5633020876";"0.05420738";"Inf";"-0.69120041";"-0.435403761";"V3 14-60D";"no-vax";"1885";"36100";"1315235";" 490";"18894";" 463852";"137710.87";"137758.50";"166225";" 2.339682e-72";"age_bin_65"
"(V3 60+) - (no-vax)";"Age 65+";" 0.1391180552";"0.05380746";"Inf";" 0.01216329";" 0.266072818";"V3 60+";"no-vax";"1885";"36100";"1315235";" 684";" 6137";" 722591";"137710.87";"137758.50";"166225";" 2.339682e-72";"age_bin_65"
"(V3 0-14D) - (no-vax)";"Age < 70";"-0.1954050316";"0.04991492";"Inf";"-0.31317562";"-0.077634442";"V3 0-14D";"no-vax";"2466";"25987";"1096020";" 652";"25987";" 262331";"137737.94";"137785.58";"166225";" 2.710090e-58";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age < 70";"-0.7613682425";"0.05016432";"Inf";"-0.87972726";"-0.643009224";"V3 14-60D";"no-vax";"2466";"25987";"1096020";" 568";"12862";" 391951";"137737.94";"137785.58";"166225";" 2.710090e-58";"age_bin_70"
"(V3 60+) - (no-vax)";"Age < 70";"-0.4469807533";"0.05478782";"Inf";"-0.57624859";"-0.317712919";"V3 60+";"no-vax";"2466";"25987";"1096020";" 556";" 6705";" 686274";"137737.94";"137785.58";"166225";" 2.710090e-58";"age_bin_70"
"(V3 0-14D) - (no-vax)";"Age 70+";"-1.1924841562";"0.08907514";"Inf";"-1.40265041";"-0.982317902";"V3 0-14D";"no-vax";"1372";"28280";"1056500";" 149";"28280";" 305768";"137737.94";"137785.58";"166225";" 2.710090e-58";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age 70+";"-0.5474247853";"0.06208807";"Inf";"-0.69391704";"-0.400932532";"V3 14-60D";"no-vax";"1372";"28280";"1056500";" 362";"15447";" 372592";"137737.94";"137785.58";"166225";" 2.710090e-58";"age_bin_70"
"(V3 60+) - (no-vax)";"Age 70+";" 0.2278337467";"0.05908975";"Inf";" 0.08841582";" 0.367251669";"V3 60+";"no-vax";"1372";"28280";"1056500";" 544";" 4751";" 570108";"137737.94";"137785.58";"166225";" 2.710090e-58";"age_bin_70"
"(V3 0-14D) - (no-vax)";"Age < 75";"-0.2953529087";"0.04813307";"Inf";"-0.40891935";"-0.181786472";"V3 0-14D";"no-vax";"2870";"33969";"1383703";" 700";"33969";" 344016";"137977.35";"138024.99";"166225";" 2.484631e-42";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age < 75";"-0.7160255159";"0.04667140";"Inf";"-0.82614326";"-0.605907767";"V3 14-60D";"no-vax";"2870";"33969";"1383703";" 678";"16711";" 486452";"137977.35";"138024.99";"166225";" 2.484631e-42";"age_bin_75"
"(V3 60+) - (no-vax)";"Age < 75";"-0.3639900971";"0.05093594";"Inf";"-0.48416971";"-0.243810485";"V3 60+";"no-vax";"2870";"33969";"1383703";" 691";" 8060";" 845861";"137977.35";"138024.99";"166225";" 2.484631e-42";"age_bin_75"
"(V3 0-14D) - (no-vax)";"Age 75+";"-1.2210124193";"0.10693812";"Inf";"-1.47332505";"-0.968699788";"V3 0-14D";"no-vax";" 968";"20298";" 768817";" 101";"20298";" 224083";"137977.35";"138024.99";"166225";" 2.484631e-42";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age 75+";"-0.5819791468";"0.07316844";"Inf";"-0.75461470";"-0.409343589";"V3 14-60D";"no-vax";" 968";"20298";" 768817";" 252";"11598";" 278091";"137977.35";"138024.99";"166225";" 2.484631e-42";"age_bin_75"
"(V3 60+) - (no-vax)";"Age 75+";" 0.2996151685";"0.06660127";"Inf";" 0.14247437";" 0.456755964";"V3 60+";"no-vax";" 968";"20298";" 768817";" 409";" 3396";" 410521";"137977.35";"138024.99";"166225";" 2.484631e-42";"age_bin_75"
"(V3 0-14D) - (no-vax)";"Age < 80";"-0.4021826582";"0.04683440";"Inf";"-0.51268500";"-0.291680321";"V3 0-14D";"no-vax";"3298";"42508";"1687872";" 735";"42508";" 436666";"138223.71";"138271.35";"166225";" 2.040697e-24";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age < 80";"-0.6938633841";"0.04385916";"Inf";"-0.79734585";"-0.590380916";"V3 14-60D";"no-vax";"3298";"42508";"1687872";" 790";"21359";" 594364";"138223.71";"138271.35";"166225";" 2.040697e-24";"age_bin_80"
"(V3 60+) - (no-vax)";"Age < 80";"-0.3006261264";"0.04807544";"Inf";"-0.41405659";"-0.187195664";"V3 60+";"no-vax";"3298";"42508";"1687872";" 833";" 9393";"1006596";"138223.71";"138271.35";"166225";" 2.040697e-24";"age_bin_80"
"(V3 0-14D) - (no-vax)";"Age 80+";"-1.0236983747";"0.13238834";"Inf";"-1.33605895";"-0.711337801";"V3 0-14D";"no-vax";" 540";"11759";" 464648";"  66";"11759";" 131433";"138223.71";"138271.35";"166225";" 2.040697e-24";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age 80+";"-0.5987426318";"0.09663624";"Inf";"-0.82674874";"-0.370736523";"V3 14-60D";"no-vax";" 540";"11759";" 464648";" 140";" 6950";" 170179";"138223.71";"138271.35";"166225";" 2.040697e-24";"age_bin_80"
