"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 0-14D) - (no-vax)";"Age < 60";"-1.499098e+01";"3.794296e+03";"Inf";" -8967.354449";" 8.937372e+03";"V3 0-14D";"no-vax";"  4";"11655";" 648539";" 0";"11655";" 127036";"2562.1733";"2582.4581";"167779";"6.586488e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age < 60";"-9.050815e-01";"1.121743e+00";"Inf";"    -3.551752";" 1.741589e+00";"V3 14-60D";"no-vax";"  4";"11655";" 648539";" 1";" 6867";" 230432";"2562.1733";"2582.4581";"167779";"6.586488e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age < 60";"-1.503890e+01";"1.306475e+03";"Inf";" -3097.571174";" 3.067493e+03";"V3 60+";"no-vax";"  4";"11655";" 648539";" 0";" 4142";" 400218";"2562.1733";"2582.4581";"167779";"6.586488e-01";"age_bin_60"
"(V3 0-14D) - (no-vax)";"Age 60+";"-2.056503e+00";"1.060757e+00";"Inf";"    -4.559282";" 4.462763e-01";"V3 0-14D";"no-vax";"101";"42612";"1614872";" 1";"42612";" 445866";"2562.1733";"2582.4581";"167779";"6.586488e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age 60+";"-1.662876e+00";"3.305130e-01";"Inf";"    -2.442697";"-8.830546e-01";"V3 14-60D";"no-vax";"101";"42612";"1614872";"11";"22009";" 560927";"2562.1733";"2582.4581";"167779";"6.586488e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age 60+";"-1.250408e+00";"2.956715e-01";"Inf";"    -1.948023";"-5.527925e-01";"V3 60+";"no-vax";"101";"42612";"1614872";"16";" 7743";" 890391";"2562.1733";"2582.4581";"167779";"6.586488e-01";"age_bin_60"
"(V3 0-14D) - (no-vax)";"Age < 65";"-1.660133e+01";"5.531853e+03";"Inf";"-13068.602831";" 1.303540e+04";"V3 0-14D";"no-vax";"  9";"18167";" 892100";" 0";"18167";" 189612";"2552.1995";"2572.4844";"167779";"1.505760e-01";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age < 65";"-6.170019e-01";"6.726785e-01";"Inf";"    -2.204137";" 9.701336e-01";"V3 14-60D";"no-vax";"  9";"18167";" 892100";" 3";" 9819";" 316355";"2552.1995";"2572.4844";"167779";"1.505760e-01";"age_bin_65"
"(V3 60+) - (no-vax)";"Age < 65";"-1.664931e+01";"1.930311e+03";"Inf";" -4571.075481";" 4.537777e+03";"V3 60+";"no-vax";"  9";"18167";" 892100";" 0";" 5488";" 546479";"2552.1995";"2572.4844";"167779";"1.505760e-01";"age_bin_65"
"(V3 0-14D) - (no-vax)";"Age 65+";"-2.017120e+00";"1.060913e+00";"Inf";"    -4.520265";" 4.860251e-01";"V3 0-14D";"no-vax";" 96";"36100";"1371311";" 1";"36100";" 383290";"2552.1995";"2572.4844";"167779";"1.505760e-01";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age 65+";"-1.808542e+00";"3.605821e-01";"Inf";"    -2.659309";"-9.577749e-01";"V3 14-60D";"no-vax";" 96";"36100";"1371311";" 9";"19057";" 475004";"2552.1995";"2572.4844";"167779";"1.505760e-01";"age_bin_65"
"(V3 60+) - (no-vax)";"Age 65+";"-1.193352e+00";"2.965636e-01";"Inf";"    -1.893072";"-4.936318e-01";"V3 60+";"no-vax";" 96";"36100";"1371311";"16";" 6397";" 744130";"2552.1995";"2572.4844";"167779";"1.505760e-01";"age_bin_65"
"(V3 0-14D) - (no-vax)";"Age < 70";"-1.399500e+01";"1.213198e+03";"Inf";" -2876.445968";" 2.848456e+03";"V3 0-14D";"no-vax";" 13";"25987";"1165742";" 0";"25987";" 266268";"2541.9896";"2562.2745";"167779";"4.235341e-01";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age < 70";"-9.902636e-01";"6.466824e-01";"Inf";"    -2.516063";" 5.355359e-01";"V3 14-60D";"no-vax";" 13";"25987";"1165742";" 3";"13319";" 410958";"2541.9896";"2562.2745";"167779";"4.235341e-01";"age_bin_70"
"(V3 60+) - (no-vax)";"Age < 70";"-4.991621e-01";"5.866628e-01";"Inf";"    -1.883350";" 8.850259e-01";"V3 60+";"no-vax";" 13";"25987";"1165742";" 4";" 6933";" 703274";"2541.9896";"2562.2745";"167779";"4.235341e-01";"age_bin_70"
"(V3 0-14D) - (no-vax)";"Age 70+";"-1.979175e+00";"1.061090e+00";"Inf";"    -4.482740";" 5.243903e-01";"V3 0-14D";"no-vax";" 92";"28280";"1097669";" 1";"28280";" 306634";"2541.9896";"2562.2745";"167779";"4.235341e-01";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age 70+";"-1.758733e+00";"3.613015e-01";"Inf";"    -2.611197";"-9.062685e-01";"V3 14-60D";"no-vax";" 92";"28280";"1097669";" 9";"15557";" 380401";"2541.9896";"2562.2745";"167779";"4.235341e-01";"age_bin_70"
"(V3 60+) - (no-vax)";"Age 70+";"-1.433617e+00";"3.305290e-01";"Inf";"    -2.213476";"-6.537578e-01";"V3 60+";"no-vax";" 92";"28280";"1097669";"12";" 4952";" 587335";"2541.9896";"2562.2745";"167779";"4.235341e-01";"age_bin_70"
"(V3 0-14D) - (no-vax)";"Age < 75";"-1.486639e+01";"1.221126e+03";"Inf";" -2896.023484";" 2.866291e+03";"V3 0-14D";"no-vax";" 29";"33969";"1465955";" 0";"33969";" 348234";"2551.2371";"2571.5220";"167779";"8.460397e-01";"age_bin_75"
