"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 0-14D) - (no-vax)";"Age < 60";" -1.44592097";"   1.0199845";"Inf";"   -3.8524995";"   0.96065753";"V3 0-14D";"no-vax";" 37";"11655";" 647364";" 1";"11655";" 127029";"11716.883";"11747.58";"167675";"7.925589e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age < 60";" -1.21797151";"   0.4429272";"Inf";"   -2.2630257";"  -0.17291727";"V3 14-60D";"no-vax";" 37";"11655";" 647364";" 6";" 6866";" 230383";"11716.883";"11747.58";"167675";"7.925589e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age < 60";" -0.96394985";"   0.4171043";"Inf";"   -1.9480769";"   0.02017719";"V3 60+";"no-vax";" 37";"11655";" 647364";" 7";" 4142";" 400207";"11716.883";"11747.58";"167675";"7.925589e-01";"age_bin_60"
"(V3 0-14D) - (no-vax)";"Age 60+";" -1.72078876";"   0.3122880";"Inf";"   -2.4576094";"  -0.98396809";"V3 0-14D";"no-vax";"398";"42612";"1605473";"12";"42612";" 445806";"11716.883";"11747.58";"167675";"7.925589e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age 60+";" -1.58265710";"   0.1660969";"Inf";"   -1.9745506";"  -1.19076362";"V3 14-60D";"no-vax";"398";"42612";"1605473";"44";"22003";" 560385";"11716.883";"11747.58";"167675";"7.925589e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age 60+";" -0.74341663";"   0.1357606";"Inf";"   -1.0637338";"  -0.42309950";"V3 60+";"no-vax";"398";"42612";"1605473";"88";" 7724";" 887924";"11716.883";"11747.58";"167675";"7.925589e-01";"age_bin_60"
"(V3 0-14D) - (no-vax)";"Age < 65";" -0.82898290";"   0.6035408";"Inf";"   -2.2529930";"   0.59502723";"V3 0-14D";"no-vax";" 56";"18167";" 890629";" 3";"18167";" 189593";"11679.234";"11709.93";"167675";"4.040939e-02";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age < 65";" -0.78866042";"   0.3028306";"Inf";"   -1.5031669";"  -0.07415396";"V3 14-60D";"no-vax";" 56";"18167";" 890629";"14";" 9817";" 316231";"11679.234";"11709.93";"167675";"4.040939e-02";"age_bin_65"
"(V3 60+) - (no-vax)";"Age < 65";" -0.68239088";"   0.3057302";"Inf";"   -1.4037389";"   0.03895710";"V3 60+";"no-vax";" 56";"18167";" 890629";"14";" 5486";" 546347";"11679.234";"11709.93";"167675";"4.040939e-02";"age_bin_65"
"(V3 0-14D) - (no-vax)";"Age 65+";" -1.86357303";"   0.3380496";"Inf";"   -2.6611762";"  -1.06596988";"V3 0-14D";"no-vax";"379";"36100";"1362208";"10";"36100";" 383242";"11679.234";"11709.93";"167675";"4.040939e-02";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age 65+";" -1.73360945";"   0.1810252";"Inf";"   -2.1607252";"  -1.30649372";"V3 14-60D";"no-vax";"379";"36100";"1362208";"36";"19052";" 474537";"11679.234";"11709.93";"167675";"4.040939e-02";"age_bin_65"
"(V3 60+) - (no-vax)";"Age 65+";" -0.76686003";"   0.1398497";"Inf";"   -1.0968250";"  -0.43689501";"V3 60+";"no-vax";"379";"36100";"1362208";"81";" 6380";" 741784";"11679.234";"11709.93";"167675";"4.040939e-02";"age_bin_65"
"(V3 0-14D) - (no-vax)";"Age < 70";" -1.44010783";"   0.5203149";"Inf";"   -2.6677527";"  -0.21246294";"V3 0-14D";"no-vax";"124";"25987";"1162111";" 4";"25987";" 266239";"11733.366";"11764.06";"167675";"4.822679e-01";"age_bin_70"
