"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 0-14D) - (no-vax)";"Age < 60";" -1.39639250";"   1.0223925";"Inf";"   -3.8086526";" 1.015868e+00";"V3 0-14D";"no-vax";" 33";"11655";" 637898";" 1";"11655";" 127029";" 9996.782";"10026.327";"167481";"6.600583e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age < 60";" -1.09375202";"   0.4473817";"Inf";"   -2.1493163";"-3.818775e-02";"V3 14-60D";"no-vax";" 33";"11655";" 637898";" 6";" 6866";" 227888";" 9996.782";"10026.327";"167481";"6.600583e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age < 60";" -0.87020057";"   0.4218596";"Inf";"   -1.8655472";" 1.251461e-01";"V3 60+";"no-vax";" 33";"11655";" 637898";" 7";" 4117";" 398361";" 9996.782";"10026.327";"167481";"6.600583e-01";"age_bin_60"
"(V3 0-14D) - (no-vax)";"Age 60+";" -1.68334099";"   0.3269859";"Inf";"   -2.4548403";"-9.118417e-01";"V3 0-14D";"no-vax";"327";"42612";"1592964";"11";"42612";" 445806";" 9996.782";"10026.327";"167481";"6.600583e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age 60+";" -1.56381854";"   0.1815748";"Inf";"   -1.9922309";"-1.135406e+00";"V3 14-60D";"no-vax";"327";"42612";"1592964";"37";"22003";" 558483";" 9996.782";"10026.327";"167481";"6.600583e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age 60+";" -0.59824403";"   0.1452642";"Inf";"   -0.9409841";"-2.555039e-01";"V3 60+";"no-vax";"327";"42612";"1592964";"81";" 7672";" 883065";" 9996.782";"10026.327";"167481";"6.600583e-01";"age_bin_60"
"(V3 0-14D) - (no-vax)";"Age < 65";" -0.72153437";"   0.6076615";"Inf";"   -2.1552672";" 7.121984e-01";"V3 0-14D";"no-vax";" 47";"18167";" 877943";" 3";"18167";" 189593";" 9960.751";" 9990.295";"167481";"2.782978e-02";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age < 65";" -0.67901353";"   0.3182712";"Inf";"   -1.4299511";" 7.192402e-02";"V3 14-60D";"no-vax";" 47";"18167";" 877943";"13";" 9817";" 313229";" 9960.751";" 9990.295";"167481";"2.782978e-02";"age_bin_65"
"(V3 60+) - (no-vax)";"Age < 65";" -0.52601910";"   0.3124877";"Inf";"   -1.2633109";" 2.112727e-01";"V3 60+";"no-vax";" 47";"18167";" 877943";"14";" 5450";" 543769";" 9960.751";" 9990.295";"167481";"2.782978e-02";"age_bin_65"
"(V3 0-14D) - (no-vax)";"Age 65+";" -1.84775501";"   0.3566793";"Inf";"   -2.6893136";"-1.006196e+00";"V3 0-14D";"no-vax";"313";"36100";"1352919";" 9";"36100";" 383242";" 9960.751";" 9990.295";"167481";"2.782978e-02";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age 65+";" -1.72762675";"   0.1985247";"Inf";"   -2.1960312";"-1.259222e+00";"V3 14-60D";"no-vax";"313";"36100";"1352919";"30";"19052";" 473142";" 9960.751";" 9990.295";"167481";"2.782978e-02";"age_bin_65"
"(V3 60+) - (no-vax)";"Age 65+";" -0.63223760";"   0.1497689";"Inf";"   -0.9856064";"-2.788688e-01";"V3 60+";"no-vax";"313";"36100";"1352919";"74";" 6339";" 737657";" 9960.751";" 9990.295";"167481";"2.782978e-02";"age_bin_65"
"(V3 0-14D) - (no-vax)";"Age < 70";" -1.40399847";"   0.5226120";"Inf";"   -2.6370630";"-1.709339e-01";"V3 0-14D";"no-vax";"111";"25987";"1146578";" 4";"25987";" 266239";"10018.444";"10047.988";"167481";"2.602109e-01";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age < 70";" -1.33267727";"   0.2730278";"Inf";"   -1.9768664";"-6.884882e-01";"V3 14-60D";"no-vax";"111";"25987";"1146578";"16";"13317";" 407315";"10018.444";"10047.988";"167481";"2.602109e-01";"age_bin_70"
"(V3 60+) - (no-vax)";"Age < 70";" -0.90842149";"   0.2441311";"Inf";"   -1.4844309";"-3.324121e-01";"V3 60+";"no-vax";"111";"25987";"1146578";"22";" 6881";" 699426";"10018.444";"10047.988";"167481";"2.602109e-01";"age_bin_70"
"(V3 0-14D) - (no-vax)";"Age 70+";" -1.77028181";"   0.3764968";"Inf";"   -2.6585985";"-8.819652e-01";"V3 0-14D";"no-vax";"249";"28280";"1084284";" 8";"28280";" 306596";"10018.444";"10047.988";"167481";"2.602109e-01";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age 70+";" -1.59801583";"   0.2095866";"Inf";"   -2.0925200";"-1.103512e+00";"V3 14-60D";"no-vax";"249";"28280";"1084284";"27";"15552";" 379056";"10018.444";"10047.988";"167481";"2.602109e-01";"age_bin_70"
"(V3 60+) - (no-vax)";"Age 70+";" -0.48422360";"   0.1583329";"Inf";"   -0.8577985";"-1.106487e-01";"V3 60+";"no-vax";"249";"28280";"1084284";"66";" 4908";" 582000";"10018.444";"10047.988";"167481";"2.602109e-01";"age_bin_70"
"(V3 0-14D) - (no-vax)";"Age < 75";" -1.62383171";"   0.4689752";"Inf";"   -2.7303443";"-5.173191e-01";"V3 0-14D";"no-vax";"163";"33969";"1442842";" 5";"33969";" 348200";"10019.758";"10049.302";"167481";"1.219423e-01";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age < 75";" -1.42739854";"   0.2383657";"Inf";"   -1.9898050";"-8.649921e-01";"V3 14-60D";"no-vax";"163";"33969";"1442842";"21";"17200";" 503813";"10019.758";"10049.302";"167481";"1.219423e-01";"age_bin_75"
"(V3 60+) - (no-vax)";"Age < 75";" -0.93377041";"   0.2086891";"Inf";"   -1.4261570";"-4.413838e-01";"V3 60+";"no-vax";"163";"33969";"1442842";"31";" 8285";" 862292";"10019.758";"10049.302";"167481";"1.219423e-01";"age_bin_75"
"(V3 0-14D) - (no-vax)";"Age 75+";" -1.68935500";"   0.4007044";"Inf";"   -2.6347875";"-7.439224e-01";"V3 0-14D";"no-vax";"197";"20298";" 788020";" 7";"20298";" 224635";"10019.758";"10049.302";"167481";"1.219423e-01";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age 75+";" -1.58117006";"   0.2309690";"Inf";"   -2.1261245";"-1.036216e+00";"V3 14-60D";"no-vax";"197";"20298";" 788020";"22";"11669";" 282558";"10019.758";"10049.302";"167481";"1.219423e-01";"age_bin_75"
"(V3 60+) - (no-vax)";"Age 75+";" -0.38278127";"   0.1695557";"Inf";"   -0.7828354";" 1.727288e-02";"V3 60+";"no-vax";"197";"20298";" 788020";"57";" 3504";" 419134";"10019.758";"10049.302";"167481";"1.219423e-01";"age_bin_75"
"(V3 0-14D) - (no-vax)";"Age < 80";" -1.67162280";"   0.4009179";"Inf";"   -2.6175591";"-7.256865e-01";"V3 0-14D";"no-vax";"223";"42508";"1755562";" 7";"42508";" 441078";"10037.329";"10066.873";"167481";"7.143495e-01";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age < 80";" -1.65015623";"   0.2257614";"Inf";"   -2.1828236";"-1.117489e+00";"V3 14-60D";"no-vax";"223";"42508";"1755562";"23";"21876";" 613694";"10037.329";"10066.873";"167481";"7.143495e-01";"age_bin_80"
"(V3 60+) - (no-vax)";"Age < 80";" -0.67858235";"   0.1693858";"Inf";"   -1.0782357";"-2.789290e-01";"V3 60+";"no-vax";"223";"42508";"1755562";"53";" 9669";"1026101";"10037.329";"10066.873";"167481";"7.143495e-01";"age_bin_80"
"(V3 0-14D) - (no-vax)";"Age 80+";" -1.64947047";"   0.4690546";"Inf";"   -2.7561703";"-5.427707e-01";"V3 0-14D";"no-vax";"137";"11759";" 475300";" 5";"11759";" 131757";"10037.329";"10066.873";"167481";"7.143495e-01";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age 80+";" -1.31812377";"   0.2451150";"Inf";"   -1.8964546";"-7.397930e-01";"V3 14-60D";"no-vax";"137";"11759";" 475300";"20";" 6993";" 172677";"10037.329";"10066.873";"167481";"7.143495e-01";"age_bin_80"
"(V3 60+) - (no-vax)";"Age 80+";" -0.50528620";"   0.2052691";"Inf";"   -0.9896037";"-2.096872e-02";"V3 60+";"no-vax";"137";"11759";" 475300";"35";" 2120";" 255325";"10037.329";"10066.873";"167481";"7.143495e-01";"age_bin_80"
"(V3 0-14D) - (no-vax)";"Age < 85";" -1.86721042";"   0.3761839";"Inf";"   -2.7547888";"-9.796320e-01";"V3 0-14D";"no-vax";"298";"48484";"1986550";" 8";"48484";" 507300";"10086.217";"10115.761";"167481";"1.361124e-01";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age < 85";" -1.58243616";"   0.1913082";"Inf";"   -2.0338138";"-1.131058e+00";"V3 14-60D";"no-vax";"298";"48484";"1986550";"33";"25335";" 696188";"10086.217";"10115.761";"167481";"1.361124e-01";"age_bin_85"
"(V3 60+) - (no-vax)";"Age < 85";" -0.73680424";"   0.1556482";"Inf";"   -1.1040447";"-3.695638e-01";"V3 60+";"no-vax";"298";"48484";"1986550";"65";"10652";"1146314";"10086.217";"10115.761";"167481";"1.361124e-01";"age_bin_85"
"(V3 0-14D) - (no-vax)";"Age 85+";" -1.05453476";"   0.5282174";"Inf";"   -2.3008249";" 1.917553e-01";"V3 0-14D";"no-vax";" 62";" 5783";" 244312";" 4";" 5783";"  65535";"10086.217";"10115.761";"167481";"1.361124e-01";"age_bin_85"
