"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"Age < 60";" -2.1171734";"5.132932e-01";"Inf";"   -3.2576143";"  -0.97673246";"V3 14-60D";"no-vax";" 89";" 26311";" 775575";"  4";" 6867";" 230432";"22054.083";"22079.219";"167779";"7.624239e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age < 60";" -1.1585623";"2.548165e-01";"Inf";"   -1.7247166";"  -0.59240792";"V3 60+";"no-vax";" 89";" 26311";" 775575";" 19";" 7926";" 400218";"22054.083";"22079.219";"167779";"7.624239e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age 60+";" -1.9830865";"1.646158e-01";"Inf";"   -2.3488317";"  -1.61734129";"V3 14-60D";"no-vax";"833";" 90220";"2060738";" 42";"22009";" 560927";"22054.083";"22079.219";"167779";"7.624239e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age 60+";" -1.3406561";"9.815462e-02";"Inf";"   -1.5587372";"  -1.12257504";"V3 60+";"no-vax";"833";" 90220";"2060738";"140";"14446";" 890391";"22054.083";"22079.219";"167779";"7.624239e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age < 65";" -1.9434701";"3.659086e-01";"Inf";"   -2.7564500";"  -1.13049022";"V3 14-60D";"no-vax";"149";" 40175";"1081712";"  8";" 9819";" 316355";"22011.632";"22036.768";"167779";"8.684759e-01";"age_bin_65"
"(V3 60+) - (no-vax)";"Age < 65";" -1.2178893";"2.028580e-01";"Inf";"   -1.6686016";"  -0.76717703";"V3 60+";"no-vax";"149";" 40175";"1081712";" 30";"10460";" 546479";"22011.632";"22036.768";"167779";"8.684759e-01";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age 65+";" -2.0061560";"1.723392e-01";"Inf";"   -2.3890614";"  -1.62325067";"V3 14-60D";"no-vax";"773";" 76356";"1754601";" 38";"19057";" 475004";"22011.632";"22036.768";"167779";"8.684759e-01";"age_bin_65"
"(V3 60+) - (no-vax)";"Age 65+";" -1.3340087";"1.017384e-01";"Inf";"   -1.5600522";"  -1.10796512";"V3 60+";"no-vax";"773";" 76356";"1754601";"129";"11912";" 744130";"22011.632";"22036.768";"167779";"8.684759e-01";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age < 70";" -1.9775380";"2.996713e-01";"Inf";"   -2.6433511";"  -1.31172486";"V3 14-60D";"no-vax";"232";" 56730";"1432010";" 12";"13319";" 410958";"21969.438";"21994.575";"167779";"9.689252e-01";"age_bin_70"
"(V3 60+) - (no-vax)";"Age < 70";" -1.3395851";"1.727685e-01";"Inf";"   -1.7234442";"  -0.95572599";"V3 60+";"no-vax";"232";" 56730";"1432010";" 41";"13168";" 703274";"21969.438";"21994.575";"167779";"9.689252e-01";"age_bin_70"
